villcode,county,town,name,2020_tpp_votes,2020_total_votes,2020_tpp_rate,2022_tpp_votes,2022_total_votes,2022_tpp_rate,2022_tpp_candidates,2022_tpp_elected,2024_tpp_votes,2024_total_votes,2024_tpp_rate,2024pres_tpp_votes,2024pres_total_votes,2024pres_tpp_rate,party_rate_change
65000020006,新北市,三重區,德厚里,29,272,10.66,10,236,4.24,陳俊霖,,141,489,28.83,171,492,34.76,18.17
65000020095,新北市,三重區,五常里,362,2688,13.47,142,2616,5.43,陳俊霖,,1269,4170,30.43,1382,4223,32.73,16.96
65000020004,新北市,三重區,谷王里,66,661,9.98,39,733,5.32,陳俊霖,,323,1209,26.72,364,1218,29.89,16.74
65000020060,新北市,三重區,大德里,67,607,11.04,57,480,11.88,陳俊霖,,133,532,25,140,536,26.12,13.96
65000020119,新北市,三重區,五順里,262,2562,10.23,62,1613,3.84,陳俊霖,,541,2298,23.54,622,2339,26.59,13.31
65000020061,新北市,三重區,長元里,183,1622,11.28,147,1227,11.98,陳俊霖,,374,1557,24.02,437,1579,27.68,12.74
65000020097,新北市,三重區,仁忠里,243,1990,12.21,60,1511,3.97,陳俊霖,,447,1808,24.72,541,1842,29.37,12.51
65000020023,新北市,三重區,同慶里,145,1202,12.06,90,902,9.98,陳俊霖,,275,1121,24.53,302,1136,26.58,12.47
65000020007,新北市,三重區,成功里,579,4136,14,200,3311,6.04,陳俊霖,,1261,4784,26.36,1379,4815,28.64,12.36
65000020094,新北市,三重區,福隆里,408,2853,14.3,131,2046,6.4,陳俊霖,,719,2731,26.33,796,2768,28.76,12.03
65000020053,新北市,三重區,雙園里,72,650,11.08,50,558,8.96,陳俊霖,,137,593,23.1,159,604,26.32,12.02
65000020031,新北市,三重區,大安里,129,1060,12.17,50,828,6.04,陳俊霖,,252,1042,24.18,309,1063,29.07,12.01
65000020069,新北市,三重區,龍門里,146,1201,12.16,55,1007,5.46,陳俊霖,,281,1163,24.16,320,1180,27.12,12
65000020065,新北市,三重區,介壽里,80,780,10.26,120,647,18.55,陳俊霖,,161,726,22.18,196,734,26.7,11.92
65000020105,新北市,三重區,富貴里,522,4200,12.43,153,2967,5.16,陳俊霖,,1042,4286,24.31,1128,4316,26.14,11.88
65000020033,新北市,三重區,忠孝里,139,1178,11.8,49,930,5.27,陳俊霖,,272,1149,23.67,320,1149,27.85,11.87
65000020104,新北市,三重區,五華里,389,3339,11.65,147,2481,5.93,陳俊霖,,753,3225,23.35,833,3268,25.49,11.7
65000020003,新北市,三重區,頂崁里,199,1522,13.07,71,1168,6.08,陳俊霖,,416,1684,24.7,473,1705,27.74,11.63
65000020042,新北市,三重區,大園里,228,1806,12.62,71,1198,5.93,陳俊霖,,417,1720,24.24,502,1734,28.95,11.62
65000020117,新北市,三重區,福樂里,306,2367,12.93,90,1709,5.27,陳俊霖,,553,2254,24.53,629,2288,27.49,11.6
65000020084,新北市,三重區,維德里,237,1933,12.26,86,1477,5.82,陳俊霖,,431,1808,23.84,485,1829,26.52,11.58
65000020114,新北市,三重區,永順里,458,3196,14.33,136,2124,6.4,陳俊霖,,774,2994,25.85,902,3028,29.79,11.52
65000020102,新北市,三重區,慈化里,217,1640,13.23,74,1249,5.92,陳俊霖,,370,1501,24.65,428,1521,28.14,11.42
65000020048,新北市,三重區,正義里,139,1215,11.44,59,883,6.68,陳俊霖,,254,1112,22.84,275,1121,24.53,11.4
65000020008,新北市,三重區,福祉里,491,3573,13.74,164,2648,6.19,陳俊霖,,924,3677,25.13,1036,3719,27.86,11.39
65000020080,新北市,三重區,承德里,131,1197,10.94,40,899,4.45,陳俊霖,,252,1133,22.24,287,1142,25.13,11.3
65000020101,新北市,三重區,慈愛里,236,2271,10.39,104,1904,5.46,陳俊霖,,463,2135,21.69,560,2175,25.75,11.3
65000020092,新北市,三重區,永煇里,200,1697,11.79,64,1305,4.9,陳俊霖,,364,1579,23.05,425,1603,26.51,11.26
65000020108,新北市,三重區,碧華里,756,5176,14.61,218,3839,5.68,陳俊霖,,1419,5509,25.76,1509,5551,27.18,11.15
65000020100,新北市,三重區,慈惠里,181,1497,12.09,56,1136,4.93,陳俊霖,,338,1455,23.23,397,1477,26.88,11.14
65000020037,新北市,三重區,福星里,104,793,13.11,40,595,6.72,陳俊霖,,196,809,24.23,232,828,28.02,11.12
65000020083,新北市,三重區,厚德里,290,2372,12.23,90,1887,4.77,陳俊霖,,535,2298,23.28,597,2307,25.88,11.05
65000020093,新北市,三重區,溪美里,757,5593,13.53,203,4333,4.68,陳俊霖,,1356,5534,24.5,1528,5593,27.32,10.97
65000020001,新北市,三重區,大有里,469,3556,13.19,128,2422,5.28,陳俊霖,,808,3347,24.14,937,3388,27.66,10.95
65000020027,新北市,三重區,吉利里,106,932,11.37,30,653,4.59,陳俊霖,,187,838,22.32,202,854,23.65,10.95
65000020043,新北市,三重區,國隆里,242,1806,13.4,82,1393,5.89,陳俊霖,,478,1963,24.35,542,1980,27.37,10.95
65000020079,新北市,三重區,順德里,166,1460,11.37,51,1109,4.6,陳俊霖,,305,1370,22.26,379,1389,27.29,10.89
65000020087,新北市,三重區,永德里,394,3202,12.3,123,2430,5.06,陳俊霖,,669,2889,23.16,768,2934,26.18,10.86
65000020016,新北市,三重區,福田里,340,2457,13.84,105,1894,5.54,陳俊霖,,564,2286,24.67,641,2311,27.74,10.83
65000020077,新北市,三重區,六合里,282,2507,11.25,124,1987,6.24,陳俊霖,,518,2349,22.05,601,2367,25.39,10.8
65000020062,新北市,三重區,長江里,169,1386,12.19,110,930,11.83,陳俊霖,,288,1255,22.95,323,1283,25.18,10.76
65000020058,新北市,三重區,長生里,67,583,11.49,39,475,8.21,陳俊霖,,127,572,22.2,138,571,24.17,10.71
65000020111,新北市,三重區,福德里,328,2689,12.2,100,1843,5.43,陳俊霖,,579,2531,22.88,661,2550,25.92,10.68
