villcode,county,town,name,2020_tpp_votes,2020_total_votes,2020_tpp_rate,2022_tpp_votes,2022_total_votes,2022_tpp_rate,2022_tpp_candidates,2022_tpp_elected,2024_tpp_votes,2024_total_votes,2024_tpp_rate,2024pres_tpp_votes,2024pres_total_votes,2024pres_tpp_rate,party_rate_change
10014100001,臺東縣,大武鄉,大竹村,12,416,2.88,0,19,0,,,58,414,14.01,89,432,20.6,11.13
10014100005,臺東縣,大武鄉,南興村,8,332,2.41,0,145,0,,,44,327,13.46,86,341,25.22,11.05
10014100003,臺東縣,大武鄉,大武村,36,697,5.16,0,421,0,,,94,644,14.6,137,668,20.51,9.44
10014100004,臺東縣,大武鄉,尚武村,44,670,6.57,0,615,0,,,93,648,14.35,142,671,21.16,7.78
10014100002,臺東縣,大武鄉,大鳥村,23,625,3.68,0,20,0,,,57,573,9.95,133,595,22.35,6.27
