villcode,county,town,name,2020_tpp_votes,2020_total_votes,2020_tpp_rate,2022_tpp_votes,2022_total_votes,2022_tpp_rate,2022_tpp_candidates,2022_tpp_elected,2024_tpp_votes,2024_total_votes,2024_tpp_rate,2024pres_tpp_votes,2024pres_total_votes,2024pres_tpp_rate,party_rate_change
64000170009,高雄市,仁武區,八卦里,1232,12290,10.02,469,9081,5.16,陳惠君,,2929,13643,21.47,3709,13740,26.99,11.45
64000170010,高雄市,仁武區,高楠里,194,1749,11.09,78,1454,5.36,陳惠君,,486,2178,22.31,620,2200,28.18,11.22
64000170013,高雄市,仁武區,五和里,358,3601,9.94,126,2720,4.63,陳惠君,,772,3706,20.83,967,3740,25.86,10.89
64000170004,高雄市,仁武區,烏林里,215,2682,8.02,58,2181,2.66,陳惠君,,412,2268,18.17,558,2291,24.36,10.15
64000170006,高雄市,仁武區,仁武里,343,3804,9.02,62,2796,2.22,陳惠君,,677,3557,19.03,857,3598,23.82,10.01
64000170002,高雄市,仁武區,灣內里,575,5725,10.04,176,3931,4.48,陳惠君,,1154,5830,19.79,1517,5894,25.74,9.75
64000170015,高雄市,仁武區,赤山里,506,4808,10.52,219,3842,5.7,陳惠君,,1030,5096,20.21,1277,5123,24.93,9.69
64000170007,高雄市,仁武區,文武里,627,6675,9.39,159,5239,3.03,陳惠君,,1236,6528,18.93,1548,6601,23.45,9.54
64000170012,高雄市,仁武區,中華里,91,1205,7.55,40,1009,3.96,陳惠君,,182,1065,17.09,254,1070,23.74,9.54
64000170014,高雄市,仁武區,仁和里,296,2881,10.27,111,2117,5.24,陳惠君,,538,2786,19.31,666,2799,23.79,9.04
64000170016,高雄市,仁武區,仁慈里,159,1690,9.41,68,1434,4.74,陳惠君,,300,1742,17.22,355,1744,20.36,7.81
64000170001,高雄市,仁武區,大灣里,358,3112,11.5,178,2498,7.13,陳惠君,,665,3453,19.26,872,3476,25.09,7.76
64000170011,高雄市,仁武區,後安里,139,1875,7.41,35,1485,2.36,陳惠君,,266,1764,15.08,362,1777,20.37,7.67
64000170003,高雄市,仁武區,考潭里,160,2002,7.99,54,1563,3.45,陳惠君,,282,1841,15.32,379,1864,20.33,7.33
64000170008,高雄市,仁武區,竹後里,115,1678,6.85,31,1405,2.21,陳惠君,,217,1555,13.95,293,1569,18.67,7.1
64000170005,高雄市,仁武區,仁福里,31,585,5.3,17,484,3.51,陳惠君,,64,544,11.76,110,554,19.86,6.46
