villcode,county,town,name,2020_tpp_votes,2020_total_votes,2020_tpp_rate,2022_tpp_votes,2022_total_votes,2022_tpp_rate,2022_tpp_candidates,2022_tpp_elected,2024_tpp_votes,2024_total_votes,2024_tpp_rate,2024pres_tpp_votes,2024pres_total_votes,2024pres_tpp_rate,party_rate_change
10005150004,苗栗縣,造橋鄉,大西村,205,2356,8.7,95,2199,4.32,謝端容,,462,2143,21.56,632,2201,28.71,12.86
10005150008,苗栗縣,造橋鄉,談文村,52,538,9.67,5,562,0.89,謝端容,,125,569,21.97,173,581,29.78,12.3
10005150002,苗栗縣,造橋鄉,平興村,22,318,6.92,9,255,3.53,謝端容,,51,279,18.28,74,282,26.24,11.36
10005150005,苗栗縣,造橋鄉,錦水村,27,355,7.61,8,333,2.4,謝端容,,60,319,18.81,74,324,22.84,11.2
10005150001,苗栗縣,造橋鄉,造橋村,146,1432,10.2,46,1237,3.72,謝端容,,275,1295,21.24,390,1305,29.89,11.04
10005150007,苗栗縣,造橋鄉,朝陽村,85,868,9.79,31,883,3.51,謝端容,,150,814,18.43,228,838,27.21,8.64
10005150003,苗栗縣,造橋鄉,豐湖村,90,705,12.77,4,645,0.62,謝端容,,144,685,21.02,192,694,27.67,8.25
10005150009,苗栗縣,造橋鄉,龍昇村,57,648,8.8,13,631,2.06,謝端容,,87,573,15.18,160,592,27.03,6.38
10005150006,苗栗縣,造橋鄉,大龍村,32,383,8.36,14,347,4.03,謝端容,,47,319,14.73,68,326,20.86,6.37
