villcode,county,town,name,2020_tpp_votes,2020_total_votes,2020_tpp_rate,2022_tpp_votes,2022_total_votes,2022_tpp_rate,2022_tpp_candidates,2022_tpp_elected,2024_tpp_votes,2024_total_votes,2024_tpp_rate,2024pres_tpp_votes,2024pres_total_votes,2024pres_tpp_rate,party_rate_change
10009180004,雲林縣,四湖鄉,鹿場村,44,528,8.33,0,530,0,,,101,470,21.49,114,487,23.41,13.16
10009180019,雲林縣,四湖鄉,溪尾村,19,383,4.96,0,387,0,,,59,351,16.81,75,363,20.66,11.85
10009180001,雲林縣,四湖鄉,四湖村,100,1078,9.28,0,1131,0,,,213,1032,20.64,290,1056,27.46,11.36
10009180006,雲林縣,四湖鄉,施湖村,49,657,7.46,0,687,0,,,104,575,18.09,129,605,21.32,10.63
10009180020,雲林縣,四湖鄉,飛東村,19,279,6.81,0,274,0,,,43,255,16.86,55,261,21.07,10.05
10009180007,雲林縣,四湖鄉,湖寮村,34,373,9.12,0,484,0,,,63,329,19.15,79,339,23.3,10.03
10009180014,雲林縣,四湖鄉,崙南村,35,415,8.43,0,428,0,,,68,380,17.89,83,393,21.12,9.46
10009180017,雲林縣,四湖鄉,林厝村,37,553,6.69,0,611,0,,,74,500,14.8,88,516,17.05,8.11
10009180010,雲林縣,四湖鄉,三姓村,13,212,6.13,0,257,0,,,27,192,14.06,34,205,16.59,7.93
10009180011,雲林縣,四湖鄉,內湖村,29,383,7.57,0,444,0,,,51,335,15.22,66,351,18.8,7.65
10009180021,雲林縣,四湖鄉,萡東村,44,548,8.03,0,605,0,,,77,491,15.68,97,494,19.64,7.65
10009180005,雲林縣,四湖鄉,湖西村,187,1470,12.72,0,1494,0,,,286,1428,20.03,399,1463,27.27,7.31
10009180012,雲林縣,四湖鄉,羊調村,42,493,8.52,0,481,0,,,74,476,15.55,100,492,20.33,7.03
10009180018,雲林縣,四湖鄉,林東村,35,505,6.93,0,465,0,,,60,434,13.82,82,450,18.22,6.89
10009180013,雲林縣,四湖鄉,崙北村,82,879,9.33,0,1119,0,,,127,811,15.66,190,845,22.49,6.33
10009180003,雲林縣,四湖鄉,溪底村,40,564,7.09,0,675,0,,,69,528,13.07,95,543,17.5,5.98
10009180002,雲林縣,四湖鄉,新庄村,36,388,9.28,0,390,0,,,54,355,15.21,81,372,21.77,5.93
10009180016,雲林縣,四湖鄉,萡子村,30,469,6.4,0,548,0,,,50,409,12.22,70,415,16.87,5.82
10009180008,雲林縣,四湖鄉,蔡厝村,35,489,7.16,0,626,0,,,51,421,12.11,76,444,17.12,4.95
10009180015,雲林縣,四湖鄉,廣溝村,45,354,12.71,0,371,0,,,48,278,17.27,57,286,19.93,4.56
10009180009,雲林縣,四湖鄉,飛沙村,50,436,11.47,0,424,0,,,59,390,15.13,87,401,21.7,3.66
