villcode,county,town,name,2020_tpp_votes,2020_total_votes,2020_tpp_rate,2022_tpp_votes,2022_total_votes,2022_tpp_rate,2022_tpp_candidates,2022_tpp_elected,2024_tpp_votes,2024_total_votes,2024_tpp_rate,2024pres_tpp_votes,2024pres_total_votes,2024pres_tpp_rate,party_rate_change
10015120001,花蓮縣,萬榮鄉,西林村,17,679,2.5,1,20,5,潘璿安,,104,613,16.97,162,625,25.92,14.47
10015120003,花蓮縣,萬榮鄉,萬榮村,16,491,3.26,0,27,0,潘璿安,,82,482,17.01,139,502,27.69,13.75
10015120005,花蓮縣,萬榮鄉,馬遠村,20,588,3.4,0,7,0,潘璿安,,96,595,16.13,151,624,24.2,12.73
10015120006,花蓮縣,萬榮鄉,紅葉村,20,611,3.27,0,25,0,潘璿安,,88,557,15.8,143,575,24.87,12.53
10015120002,花蓮縣,萬榮鄉,見晴村,11,311,3.54,0,11,0,潘璿安,,41,264,15.53,65,271,23.99,11.99
10015120004,花蓮縣,萬榮鄉,明利村,15,392,3.83,1,29,3.45,潘璿安,,59,384,15.36,94,394,23.86,11.53
