villcode,county,town,name,2020_tpp_votes,2020_total_votes,2020_tpp_rate,2022_tpp_votes,2022_total_votes,2022_tpp_rate,2022_tpp_candidates,2022_tpp_elected,2024_tpp_votes,2024_total_votes,2024_tpp_rate,2024pres_tpp_votes,2024pres_total_votes,2024pres_tpp_rate,party_rate_change
65000040041,新北市,永和區,新生里,42,464,9.05,0,478,0,,,143,603,23.71,166,610,27.21,14.66
65000040061,新北市,永和區,永樂里,165,1559,10.58,0,1126,0,,,337,1459,23.1,379,1479,25.63,12.52
65000040040,新北市,永和區,智光里,225,2129,10.57,0,1392,0,,,440,1920,22.92,498,1934,25.75,12.35
65000040042,新北市,永和區,大同里,36,493,7.3,0,508,0,,,129,672,19.2,146,677,21.57,11.9
65000040031,新北市,永和區,潭安里,309,3156,9.79,0,2117,0,,,630,2953,21.33,717,2968,24.16,11.54
65000040036,新北市,永和區,光復里,101,1130,8.94,0,900,0,,,220,1079,20.39,236,1080,21.85,11.45
65000040055,新北市,永和區,桂林里,251,2444,10.27,0,1759,0,,,487,2260,21.55,539,2270,23.74,11.28
65000040021,新北市,永和區,秀成里,217,1909,11.37,0,1294,0,,,382,1726,22.13,449,1747,25.7,10.76
65000040059,新北市,永和區,民富里,221,1876,11.78,0,1275,0,,,399,1770,22.54,449,1793,25.04,10.76
65000040005,新北市,永和區,仁愛里,177,1849,9.57,0,1359,0,,,365,1800,20.28,400,1827,21.89,10.71
65000040025,新北市,永和區,安和里,248,2611,9.5,0,1869,0,,,503,2494,20.17,550,2519,21.83,10.67
65000040046,新北市,永和區,下溪里,307,2670,11.5,0,2209,0,,,648,2934,22.09,737,2958,24.92,10.59
65000040039,新北市,永和區,得和里,295,2873,10.27,0,2158,0,,,552,2658,20.77,627,2686,23.34,10.5
65000040018,新北市,永和區,中興里,202,2026,9.97,0,1529,0,,,413,2022,20.43,481,2038,23.6,10.46
65000040054,新北市,永和區,永興里,229,2027,11.3,0,1364,0,,,406,1878,21.62,455,1890,24.07,10.32
65000040007,新北市,永和區,永福里,202,1901,10.63,0,1501,0,,,367,1758,20.88,414,1779,23.27,10.25
65000040017,新北市,永和區,民權里,325,2844,11.43,0,2008,0,,,600,2770,21.66,664,2794,23.77,10.23
65000040029,新北市,永和區,頂溪里,197,1696,11.62,0,1130,0,,,354,1620,21.85,383,1628,23.53,10.23
65000040028,新北市,永和區,河堤里,258,2204,11.71,0,1542,0,,,464,2116,21.93,522,2138,24.42,10.22
65000040058,新北市,永和區,後溪里,136,1322,10.29,0,934,0,,,271,1321,20.51,310,1331,23.29,10.22
65000040023,新北市,永和區,竹林里,252,2450,10.29,0,1678,0,,,465,2268,20.5,523,2288,22.86,10.21
65000040015,新北市,永和區,永安里,304,2738,11.1,0,2052,0,,,573,2692,21.29,635,2708,23.45,10.19
65000040062,新北市,永和區,保順里,782,6435,12.15,0,4562,0,,,1504,6742,22.31,1673,6760,24.75,10.16
65000040050,新北市,永和區,秀得里,187,1722,10.86,0,1181,0,,,348,1658,20.99,403,1680,23.99,10.13
65000040020,新北市,永和區,秀朗里,307,2524,12.16,0,1741,0,,,519,2335,22.23,565,2359,23.95,10.07
65000040026,新北市,永和區,水源里,300,2678,11.2,0,1822,0,,,521,2449,21.27,606,2460,24.63,10.07
65000040034,新北市,永和區,民本里,285,2524,11.29,0,1783,0,,,499,2336,21.36,533,2364,22.55,10.07
65000040002,新北市,永和區,文化里,209,1888,11.07,0,1313,0,,,365,1730,21.1,439,1754,25.03,10.03
65000040056,新北市,永和區,店街里,289,2729,10.59,0,1886,0,,,531,2576,20.61,583,2593,22.48,10.02
65000040044,新北市,永和區,和平里,335,3199,10.47,0,2099,0,,,600,2929,20.48,686,2943,23.31,10.01
65000040051,新北市,永和區,上林里,220,2234,9.85,0,1596,0,,,429,2164,19.82,498,2183,22.81,9.97
65000040024,新北市,永和區,雙和里,290,2638,10.99,0,1849,0,,,515,2458,20.95,593,2478,23.93,9.96
65000040047,新北市,永和區,秀和里,353,3307,10.67,0,2278,0,,,636,3083,20.63,725,3115,23.27,9.96
65000040033,新北市,永和區,保平里,379,3124,12.13,0,2367,0,,,667,3035,21.98,734,3055,24.03,9.85
65000040006,新北市,永和區,永貞里,225,2277,9.88,0,1578,0,,,404,2061,19.6,440,2093,21.02,9.72
65000040014,新北市,永和區,中溪里,414,3291,12.58,0,2481,0,,,702,3157,22.24,790,3191,24.76,9.66
65000040048,新北市,永和區,河濱里,256,2073,12.35,0,1502,0,,,439,1998,21.97,513,2016,25.45,9.62
65000040053,新北市,永和區,正興里,140,1454,9.63,0,1024,0,,,263,1375,19.13,312,1391,22.43,9.5
65000040008,新北市,永和區,民治里,192,1842,10.42,0,1239,0,,,340,1710,19.88,366,1722,21.25,9.46
