villcode,county,town,name,2020_tpp_votes,2020_total_votes,2020_tpp_rate,2022_tpp_votes,2022_total_votes,2022_tpp_rate,2022_tpp_candidates,2022_tpp_elected,2024_tpp_votes,2024_total_votes,2024_tpp_rate,2024pres_tpp_votes,2024pres_total_votes,2024pres_tpp_rate,party_rate_change
65000200003,新北市,坪林區,大林里,46,751,6.13,61,855,7.13,張凱鈞,,107,745,14.36,136,757,17.97,8.23
65000200006,新北市,坪林區,水德里,25,433,5.77,39,530,7.36,張凱鈞,,64,462,13.85,90,477,18.87,8.08
65000200002,新北市,坪林區,坪林里,78,908,8.59,53,807,6.57,張凱鈞,,144,866,16.63,167,883,18.91,8.04
65000200004,新北市,坪林區,石𥕢里,20,266,7.52,18,303,5.94,張凱鈞,,38,256,14.84,48,258,18.6,7.32
65000200005,新北市,坪林區,上德里,54,534,10.11,19,503,3.78,張凱鈞,,84,526,15.97,102,537,18.99,5.86
65000200001,新北市,坪林區,粗窟里,61,643,9.49,43,542,7.93,張凱鈞,,85,570,14.91,96,577,16.64,5.42
65000200007,新北市,坪林區,漁光里,25,552,4.53,13,548,2.37,張凱鈞,,44,484,9.09,47,501,9.38,4.56
