villcode,county,town,name,2020_tpp_votes,2020_total_votes,2020_tpp_rate,2022_tpp_votes,2022_total_votes,2022_tpp_rate,2022_tpp_candidates,2022_tpp_elected,2024_tpp_votes,2024_total_votes,2024_tpp_rate,2024pres_tpp_votes,2024pres_total_votes,2024pres_tpp_rate,party_rate_change
10013280005,屏東縣,瑪家鄉,排灣村,8,306,2.61,0,5,0,,,54,324,16.67,97,333,29.13,14.06
10013280004,屏東縣,瑪家鄉,佳義村,18,655,2.75,0,16,0,,,103,659,15.63,189,675,28,12.88
10013280003,屏東縣,瑪家鄉,凉山村,21,711,2.95,0,26,0,,,111,722,15.37,203,743,27.32,12.42
10013280002,屏東縣,瑪家鄉,北葉村,18,577,3.12,0,23,0,,,77,580,13.28,140,586,23.89,10.16
10013280001,屏東縣,瑪家鄉,瑪家村,14,338,4.14,0,9,0,,,46,345,13.33,79,358,22.07,9.19
