villcode,county,town,name,2020_tpp_votes,2020_total_votes,2020_tpp_rate,2022_tpp_votes,2022_total_votes,2022_tpp_rate,2022_tpp_candidates,2022_tpp_elected,2024_tpp_votes,2024_total_votes,2024_tpp_rate,2024pres_tpp_votes,2024pres_total_votes,2024pres_tpp_rate,party_rate_change
10007140011,彰化縣,埔鹽鄉,好修村,151,1162,12.99,220,1175,18.72,陳重嘉,Y,354,1254,28.23,445,1295,34.36,15.24
10007140018,彰化縣,埔鹽鄉,天盛村,47,602,7.81,55,597,9.21,陳重嘉,Y,119,547,21.76,156,562,27.76,13.95
10007140022,彰化縣,埔鹽鄉,南新村,107,939,11.4,87,762,11.42,陳重嘉,Y,221,877,25.2,262,900,29.11,13.8
10007140005,彰化縣,埔鹽鄉,南港村,146,1200,12.17,407,1160,35.09,陳重嘉,Y,306,1213,25.23,394,1239,31.8,13.06
10007140021,彰化縣,埔鹽鄉,三省村,90,946,9.51,100,878,11.39,陳重嘉,Y,197,894,22.04,246,907,27.12,12.53
10007140001,彰化縣,埔鹽鄉,埔鹽村,149,1218,12.23,185,1075,17.21,陳重嘉,Y,296,1199,24.69,356,1220,29.18,12.46
10007140010,彰化縣,埔鹽鄉,瓦磘村,89,848,10.5,144,830,17.35,陳重嘉,Y,188,841,22.35,245,861,28.46,11.85
10007140020,彰化縣,埔鹽鄉,新水村,107,1052,10.17,133,908,14.65,陳重嘉,Y,208,958,21.71,265,981,27.01,11.54
10007140002,彰化縣,埔鹽鄉,埔南村,125,1124,11.12,189,1010,18.71,陳重嘉,Y,243,1083,22.44,293,1098,26.68,11.32
10007140016,彰化縣,埔鹽鄉,永樂村,63,589,10.7,121,592,20.44,陳重嘉,Y,125,572,21.85,154,587,26.24,11.15
10007140003,彰化縣,埔鹽鄉,廍子村,123,913,13.47,147,850,17.29,陳重嘉,Y,211,871,24.23,267,894,29.87,10.76
10007140012,彰化縣,埔鹽鄉,西湖村,149,1376,10.83,242,1394,17.36,陳重嘉,Y,284,1316,21.58,373,1366,27.31,10.75
10007140019,彰化縣,埔鹽鄉,太平村,97,1009,9.61,127,970,13.09,陳重嘉,Y,194,995,19.5,258,1014,25.44,9.89
10007140014,彰化縣,埔鹽鄉,新興村,34,301,11.3,63,339,18.58,陳重嘉,Y,67,322,20.81,87,325,26.77,9.51
10007140017,彰化縣,埔鹽鄉,石埤村,127,949,13.38,55,914,6.02,陳重嘉,Y,203,889,22.83,293,938,31.24,9.45
10007140007,彰化縣,埔鹽鄉,豐澤村,99,901,10.99,107,907,11.8,陳重嘉,Y,178,879,20.25,237,903,26.25,9.26
10007140006,彰化縣,埔鹽鄉,打廉村,87,654,13.3,98,541,18.11,陳重嘉,Y,136,615,22.11,180,621,28.99,8.81
10007140015,彰化縣,埔鹽鄉,永平村,93,732,12.7,173,741,23.35,陳重嘉,Y,153,716,21.37,204,727,28.06,8.67
10007140004,彰化縣,埔鹽鄉,出水村,81,638,12.7,152,638,23.82,陳重嘉,Y,132,624,21.15,178,641,27.77,8.45
10007140008,彰化縣,埔鹽鄉,崑崙村,87,774,11.24,121,756,16.01,陳重嘉,Y,145,748,19.39,189,756,25,8.15
10007140009,彰化縣,埔鹽鄉,角樹村,58,506,11.46,86,499,17.23,陳重嘉,Y,87,462,18.83,118,475,24.84,7.37
10007140013,彰化縣,埔鹽鄉,大有村,125,824,15.17,163,766,21.28,陳重嘉,Y,176,789,22.31,218,807,27.01,7.14
