villcode,county,town,name,2020_tpp_votes,2020_total_votes,2020_tpp_rate,2022_tpp_votes,2022_total_votes,2022_tpp_rate,2022_tpp_candidates,2022_tpp_elected,2024_tpp_votes,2024_total_votes,2024_tpp_rate,2024pres_tpp_votes,2024pres_total_votes,2024pres_tpp_rate,party_rate_change
65000220004,新北市,石門區,山溪里,61,576,10.59,12,498,2.41,陳靜儀,,117,563,20.78,146,576,25.35,10.19
65000220001,新北市,石門區,德茂里,74,723,10.24,10,727,1.38,陳靜儀,,140,687,20.38,180,706,25.5,10.14
65000220009,新北市,石門區,草里里,53,600,8.83,12,641,1.87,陳靜儀,,102,564,18.09,142,583,24.36,9.26
65000220006,新北市,石門區,尖鹿里,110,964,11.41,17,816,2.08,陳靜儀,,187,915,20.44,224,938,23.88,9.03
65000220005,新北市,石門區,石門里,102,1038,9.83,20,1036,1.93,陳靜儀,,182,984,18.5,229,1008,22.72,8.67
65000220002,新北市,石門區,富基里,94,890,10.56,15,698,2.15,陳靜儀,,159,830,19.16,211,867,24.34,8.6
65000220007,新北市,石門區,乾華里,19,203,9.36,4,149,2.68,陳靜儀,,28,173,16.18,35,175,20,6.82
65000220003,新北市,石門區,老梅里,175,1352,12.94,25,1132,2.21,陳靜儀,,227,1206,18.82,270,1246,21.67,5.88
65000220008,新北市,石門區,茂林里,35,426,8.22,7,387,1.81,陳靜儀,,51,367,13.9,64,374,17.11,5.68
