villcode,county,town,name,2020_tpp_votes,2020_total_votes,2020_tpp_rate,2022_tpp_votes,2022_total_votes,2022_tpp_rate,2022_tpp_candidates,2022_tpp_elected,2024_tpp_votes,2024_total_votes,2024_tpp_rate,2024pres_tpp_votes,2024pres_total_votes,2024pres_tpp_rate,party_rate_change
64000100007,高雄市,旗津區,實踐里,61,948,6.43,38,776,4.9,劉家榮,,163,855,19.06,202,867,23.3,12.63
64000100008,高雄市,旗津區,北汕里,139,1821,7.63,63,1356,4.65,劉家榮,,260,1554,16.73,340,1583,21.48,9.1
64000100009,高雄市,旗津區,南汕里,99,1438,6.88,49,1190,4.12,劉家榮,,190,1226,15.5,258,1240,20.81,8.62
64000100012,高雄市,旗津區,安順里,42,620,6.77,41,541,7.58,劉家榮,,80,521,15.36,100,527,18.98,8.59
64000100005,高雄市,旗津區,復興里,166,2104,7.89,67,1380,4.86,劉家榮,,288,1766,16.31,420,1804,23.28,8.42
64000100003,高雄市,旗津區,振興里,78,1184,6.59,27,816,3.31,劉家榮,,145,979,14.81,192,987,19.45,8.22
64000100010,高雄市,旗津區,上竹里,148,1986,7.45,70,1546,4.53,劉家榮,,265,1691,15.67,347,1728,20.08,8.22
64000100002,高雄市,旗津區,永安里,58,790,7.34,19,510,3.73,劉家榮,,99,637,15.54,143,646,22.14,8.2
64000100001,高雄市,旗津區,旗下里,59,851,6.93,33,683,4.83,劉家榮,,111,734,15.12,149,739,20.16,8.19
64000100011,高雄市,旗津區,中洲里,73,1365,5.35,48,1008,4.76,劉家榮,,144,1136,12.68,189,1148,16.46,7.33
64000100004,高雄市,旗津區,慈愛里,121,1552,7.8,51,1165,4.38,劉家榮,,194,1289,15.05,265,1320,20.08,7.25
64000100013,高雄市,旗津區,中興里,149,1894,7.87,98,1537,6.38,劉家榮,,246,1631,15.08,319,1651,19.32,7.21
64000100006,高雄市,旗津區,中華里,91,1124,8.1,43,930,4.62,劉家榮,,131,972,13.48,183,983,18.62,5.38
