villcode,county,town,name,2020_tpp_votes,2020_total_votes,2020_tpp_rate,2022_tpp_votes,2022_total_votes,2022_tpp_rate,2022_tpp_candidates,2022_tpp_elected,2024_tpp_votes,2024_total_votes,2024_tpp_rate,2024pres_tpp_votes,2024pres_total_votes,2024pres_tpp_rate,party_rate_change
63000080036,臺北市,文山區,指南里,309,2517,12.28,139,2168,6.41,張幸松/張志豪,Y,585,2472,23.67,652,2506,26.02,11.39
63000080033,臺北市,文山區,萬芳里,649,5071,12.8,209,4192,4.99,張志豪/張幸松,Y,1165,4831,24.12,1269,4865,26.08,11.32
63000080032,臺北市,文山區,樟腳里,452,3628,12.46,167,2960,5.64,張志豪/張幸松,Y,775,3314,23.39,874,3342,26.15,10.93
63000080016,臺北市,文山區,興得里,468,3847,12.17,176,3251,5.41,張志豪/張幸松,Y,867,3778,22.95,963,3813,25.26,10.78
63000080013,臺北市,文山區,興豐里,378,3209,11.78,111,2634,4.21,張志豪/張幸松,Y,689,3070,22.44,738,3076,23.99,10.66
63000080023,臺北市,文山區,試院里,562,4564,12.31,209,3822,5.47,張志豪/張幸松,Y,990,4315,22.94,1082,4337,24.95,10.63
63000080011,臺北市,文山區,萬和里,222,2162,10.27,77,1827,4.21,張志豪/張幸松,Y,452,2172,20.81,499,2186,22.83,10.54
63000080002,臺北市,文山區,景東里,552,4480,12.32,179,3610,4.96,張志豪/張幸松,Y,981,4295,22.84,1107,4323,25.61,10.52
63000080015,臺北市,文山區,興家里,603,5002,12.06,177,3982,4.45,張志豪/張幸松,Y,1038,4608,22.53,1213,4633,26.18,10.47
63000080041,臺北市,文山區,樟文里,481,4002,12.02,140,3249,4.31,張志豪/張幸松,Y,843,3758,22.43,930,3777,24.62,10.41
63000080025,臺北市,文山區,明義里,383,2661,14.39,120,1934,6.2,張志豪/張幸松,Y,583,2356,24.75,686,2378,28.85,10.36
63000080003,臺北市,文山區,景美里,390,3284,11.88,123,2672,4.6,張志豪/張幸松,Y,685,3098,22.11,767,3104,24.71,10.23
63000080001,臺北市,文山區,景行里,650,4673,13.91,237,3948,6,張志豪/張幸松,Y,1120,4645,24.11,1221,4658,26.21,10.2
63000080010,臺北市,文山區,萬年里,422,3517,12,150,2811,5.34,張志豪/張幸松,Y,730,3296,22.15,735,3300,22.27,10.15
63000080020,臺北市,文山區,興旺里,778,5292,14.7,241,4625,5.21,張志豪/張幸松,Y,1264,5088,24.84,1385,5111,27.1,10.14
63000080040,臺北市,文山區,政大里,620,4553,13.62,238,3946,6.03,張志豪/張幸松,Y,1107,4662,23.75,1145,4681,24.46,10.13
63000080026,臺北市,文山區,明興里,617,4435,13.91,197,3639,5.41,張志豪/張幸松,Y,1002,4193,23.9,1094,4215,25.95,9.99
63000080019,臺北市,文山區,興福里,469,3640,12.88,143,3013,4.75,張志豪/張幸松,Y,767,3366,22.79,828,3387,24.45,9.91
63000080014,臺北市,文山區,興光里,267,2143,12.46,107,2003,5.34,張志豪/張幸松,Y,536,2398,22.35,605,2410,25.1,9.89
63000080012,臺北市,文山區,萬盛里,367,3162,11.61,127,2490,5.1,張志豪/張幸松,Y,624,2909,21.45,684,2927,23.37,9.84
63000080004,臺北市,文山區,景慶里,571,4112,13.89,184,3408,5.4,張志豪/張幸松,Y,900,3795,23.72,957,3820,25.05,9.83
63000080017,臺北市,文山區,興業里,402,3663,10.97,112,2847,3.93,張志豪/張幸松,Y,683,3296,20.72,714,3311,21.56,9.75
63000080030,臺北市,文山區,樟林里,688,5376,12.8,218,4326,5.04,張志豪/張幸松,Y,1141,5063,22.54,1279,5094,25.11,9.74
