villcode,county,town,name,2020_tpp_votes,2020_total_votes,2020_tpp_rate,2022_tpp_votes,2022_total_votes,2022_tpp_rate,2022_tpp_candidates,2022_tpp_elected,2024_tpp_votes,2024_total_votes,2024_tpp_rate,2024pres_tpp_votes,2024pres_total_votes,2024pres_tpp_rate,party_rate_change
64000270005,高雄市,永安區,保寧里,165,1880,8.78,0,1635,0,,,373,1798,20.75,482,1812,26.6,11.97
64000270006,高雄市,永安區,維新里,235,2443,9.62,0,2274,0,,,458,2294,19.97,576,2332,24.7,10.35
64000270003,高雄市,永安區,新港里,140,1690,8.28,0,1467,0,,,271,1569,17.27,336,1594,21.08,8.99
64000270002,高雄市,永安區,永華里,95,1369,6.94,0,1309,0,,,205,1288,15.92,270,1301,20.75,8.98
64000270001,高雄市,永安區,永安里,103,1143,9.01,0,1181,0,,,173,1097,15.77,247,1112,22.21,6.76
64000270004,高雄市,永安區,鹽田里,21,262,8.02,0,211,0,,,33,273,12.09,53,275,19.27,4.07
