villcode,county,town,name,2020_tpp_votes,2020_total_votes,2020_tpp_rate,2022_tpp_votes,2022_total_votes,2022_tpp_rate,2022_tpp_candidates,2022_tpp_elected,2024_tpp_votes,2024_total_votes,2024_tpp_rate,2024pres_tpp_votes,2024pres_total_votes,2024pres_tpp_rate,party_rate_change
65000190008,新北市,石碇區,中民里,40,478,8.37,20,390,5.13,張凱鈞,,92,468,19.66,102,482,21.16,11.29
65000190012,新北市,石碇區,格頭里,54,715,7.55,18,503,3.58,張凱鈞,,114,677,16.84,139,687,20.23,9.29
65000190007,新北市,石碇區,永定里,32,376,8.51,7,333,2.1,張凱鈞,,59,357,16.53,74,364,20.33,8.02
65000190003,新北市,石碇區,隆盛里,33,425,7.76,12,320,3.75,張凱鈞,,63,412,15.29,80,408,19.61,7.53
65000190010,新北市,石碇區,豐林里,17,213,7.98,29,219,13.24,張凱鈞,,32,207,15.46,43,214,20.09,7.48
65000190006,新北市,石碇區,豐田里,19,266,7.14,11,273,4.03,張凱鈞,,38,261,14.56,44,266,16.54,7.42
65000190009,新北市,石碇區,光明里,8,195,4.1,25,222,11.26,張凱鈞,,20,182,10.99,23,187,12.3,6.89
65000190002,新北市,石碇區,潭邊里,59,546,10.81,27,413,6.54,張凱鈞,,86,490,17.55,106,512,20.7,6.74
65000190011,新北市,石碇區,永安里,62,567,10.93,13,476,2.73,張凱鈞,,91,526,17.3,109,533,20.45,6.37
65000190001,新北市,石碇區,石碇里,26,285,9.12,6,262,2.29,張凱鈞,,40,264,15.15,48,267,17.98,6.03
65000190005,新北市,石碇區,彭山里,13,198,6.57,11,164,6.71,張凱鈞,,19,179,10.61,25,186,13.44,4.04
65000190004,新北市,石碇區,烏塗里,37,451,8.2,20,353,5.67,張凱鈞,,36,370,9.73,51,381,13.39,1.53
