villcode,county,town,name,2020_tpp_votes,2020_total_votes,2020_tpp_rate,2022_tpp_votes,2022_total_votes,2022_tpp_rate,2022_tpp_candidates,2022_tpp_elected,2024_tpp_votes,2024_total_votes,2024_tpp_rate,2024pres_tpp_votes,2024pres_total_votes,2024pres_tpp_rate,party_rate_change
10013220008,屏東縣,琉球鄉,杉福村,21,486,4.32,0,595,0,,,93,510,18.24,133,540,24.63,13.92
10013220007,屏東縣,琉球鄉,上福村,69,831,8.3,0,1098,0,,,180,887,20.29,231,950,24.32,11.99
10013220003,屏東縣,琉球鄉,漁福村,41,556,7.37,0,713,0,,,100,546,18.32,139,561,24.78,10.95
10013220004,屏東縣,琉球鄉,大福村,75,881,8.51,0,1110,0,,,178,930,19.14,248,967,25.65,10.63
10013220002,屏東縣,琉球鄉,中福村,68,748,9.09,0,843,0,,,143,742,19.27,176,767,22.95,10.18
10013220006,屏東縣,琉球鄉,天福村,39,566,6.89,0,774,0,,,99,623,15.89,138,652,21.17,9
10013220001,屏東縣,琉球鄉,本福村,85,1276,6.66,0,1337,0,,,190,1219,15.59,242,1257,19.25,8.93
10013220005,屏東縣,琉球鄉,南福村,50,635,7.87,0,650,0,,,94,579,16.23,142,602,23.59,8.36
