villcode,county,town,name,2020_tpp_votes,2020_total_votes,2020_tpp_rate,2022_tpp_votes,2022_total_votes,2022_tpp_rate,2022_tpp_candidates,2022_tpp_elected,2024_tpp_votes,2024_total_votes,2024_tpp_rate,2024pres_tpp_votes,2024pres_total_votes,2024pres_tpp_rate,party_rate_change
67000180016,臺南市,新化區,山脚里,82,1021,8.03,93,851,10.93,洪岳銘,,331,1365,24.25,422,1397,30.21,16.22
67000180018,臺南市,新化區,𦰡拔里,107,1483,7.22,23,1123,2.05,洪岳銘,,270,1397,19.33,354,1429,24.77,12.11
67000180004,臺南市,新化區,太平里,278,3240,8.58,136,2327,5.84,洪岳銘,,653,3158,20.68,803,3213,24.99,12.1
67000180017,臺南市,新化區,大坑里,9,330,2.73,7,307,2.28,洪岳銘,,41,297,13.8,54,304,17.76,11.07
67000180012,臺南市,新化區,豐榮里,229,2352,9.74,86,1935,4.44,洪岳銘,,472,2288,20.63,618,2325,26.58,10.89
67000180010,臺南市,新化區,唪口里,124,1583,7.83,55,1223,4.5,洪岳銘,,282,1508,18.7,349,1524,22.9,10.87
67000180019,臺南市,新化區,羊林里,40,650,6.15,10,552,1.81,洪岳銘,,104,612,16.99,135,631,21.39,10.84
67000180002,臺南市,新化區,東榮里,235,2849,8.25,102,2220,4.59,洪岳銘,,517,2769,18.67,625,2802,22.31,10.42
67000180011,臺南市,新化區,北勢里,103,1064,9.68,44,776,5.67,洪岳銘,,205,1028,19.94,256,1035,24.73,10.26
67000180014,臺南市,新化區,崙頂里,141,1531,9.21,47,1192,3.94,洪岳銘,,290,1533,18.92,359,1566,22.92,9.71
67000180013,臺南市,新化區,全興里,203,2034,9.98,101,1481,6.82,洪岳銘,,401,2044,19.62,522,2070,25.22,9.64
67000180001,臺南市,新化區,武安里,218,2332,9.35,86,1789,4.81,洪岳銘,,413,2195,18.82,503,2223,22.63,9.47
67000180009,臺南市,新化區,協興里,185,2392,7.73,93,1934,4.81,洪岳銘,,372,2238,16.62,498,2280,21.84,8.89
67000180003,臺南市,新化區,護國里,163,1931,8.44,63,1352,4.66,洪岳銘,,296,1772,16.7,374,1804,20.73,8.26
67000180015,臺南市,新化區,知義里,115,1583,7.26,32,1130,2.83,洪岳銘,,217,1446,15.01,293,1479,19.81,7.75
67000180020,臺南市,新化區,礁坑里,30,690,4.35,3,557,0.54,洪岳銘,,57,587,9.71,80,613,13.05,5.36
