villcode,county,town,name,2020_tpp_votes,2020_total_votes,2020_tpp_rate,2022_tpp_votes,2022_total_votes,2022_tpp_rate,2022_tpp_candidates,2022_tpp_elected,2024_tpp_votes,2024_total_votes,2024_tpp_rate,2024pres_tpp_votes,2024pres_total_votes,2024pres_tpp_rate,party_rate_change
67000170007,臺南市,北門區,三光里,46,782,5.88,0,818,0,,,114,699,16.31,157,717,21.9,10.43
67000170011,臺南市,北門區,慈安里,32,471,6.79,0,546,0,,,68,401,16.96,94,416,22.6,10.17
67000170014,臺南市,北門區,蚵寮里,50,917,5.45,0,859,0,,,117,763,15.33,147,777,18.92,9.88
67000170006,臺南市,北門區,錦湖里,27,557,4.85,0,634,0,,,71,509,13.95,96,523,18.36,9.1
67000170001,臺南市,北門區,保吉里,51,862,5.92,0,841,0,,,101,766,13.19,145,781,18.57,7.27
67000170009,臺南市,北門區,玉港里,26,468,5.56,0,510,0,,,54,421,12.83,71,428,16.59,7.27
67000170002,臺南市,北門區,雙春里,23,291,7.9,0,233,0,,,39,260,15,37,265,13.96,7.1
67000170015,臺南市,北門區,文山里,62,830,7.47,0,645,0,,,99,702,14.1,122,721,16.92,6.63
67000170013,臺南市,北門區,永隆里,41,568,7.22,0,563,0,,,63,459,13.73,69,470,14.68,6.51
67000170005,臺南市,北門區,北門里,37,537,6.89,0,555,0,,,63,472,13.35,93,484,19.21,6.46
