villcode,county,town,name,2020_tpp_votes,2020_total_votes,2020_tpp_rate,2022_tpp_votes,2022_total_votes,2022_tpp_rate,2022_tpp_candidates,2022_tpp_elected,2024_tpp_votes,2024_total_votes,2024_tpp_rate,2024pres_tpp_votes,2024pres_total_votes,2024pres_tpp_rate,party_rate_change
67000260005,臺南市,左鎮區,睦光里,6,221,2.71,0,260,0,,,28,216,12.96,39,221,17.65,10.25
67000260003,臺南市,左鎮區,左鎮里,13,324,4.01,0,281,0,,,40,283,14.13,60,288,20.83,10.12
67000260002,臺南市,左鎮區,榮和里,17,430,3.95,0,405,0,,,45,402,11.19,62,407,15.23,7.24
67000260004,臺南市,左鎮區,中正里,23,458,5.02,0,454,0,,,48,412,11.65,63,419,15.04,6.63
67000260007,臺南市,左鎮區,澄山里,10,301,3.32,0,217,0,,,27,275,9.82,40,288,13.89,6.5
67000260008,臺南市,左鎮區,岡林里,8,251,3.19,0,290,0,,,21,235,8.94,31,243,12.76,5.75
67000260010,臺南市,左鎮區,二寮里,6,133,4.51,0,107,0,,,12,122,9.84,14,127,11.02,5.33
67000260001,臺南市,左鎮區,光和里,14,243,5.76,0,261,0,,,18,226,7.96,29,228,12.72,2.2
67000260009,臺南市,左鎮區,草山里,8,163,4.91,0,206,0,,,10,148,6.76,18,154,11.69,1.85
67000260006,臺南市,左鎮區,內庄里,15,256,5.86,0,222,0,,,13,212,6.13,27,217,12.44,0.27
