行政區別,村里別,投開票所別,號次1,號次2,號次3,號次4,有效票數A（A＝1＋2＋…＋N）,無效票數B,投票數C（C＝A＋B）,已領未投票數D（D＝E－C）,發出票數E（E＝C＋D）,用餘票數F,選舉人數(原領票數)G（G＝E＋F）,投票率H（H＝C÷G）
長治鄉,進興村,1,133,57,149,52,391,4,395,0,395,610,1005,39.30%
長治鄉,進興村,2,175,115,259,38,587,5,592,0,592,1047,1639,36.12%
長治鄉,新潭村,3,107,75,241,38,461,0,461,0,461,781,1242,37.12%
長治鄉,新潭村,4,86,81,196,18,381,2,383,0,383,752,1135,33.74%
長治鄉,新潭村,5,102,73,307,27,509,6,515,0,515,719,1234,41.73%
長治鄉,潭頭村,6,80,117,156,29,382,3,385,0,385,562,947,40.65%
長治鄉,潭頭村,7,67,127,171,21,386,5,391,0,391,517,908,43.06%
長治鄉,香楊村,8,78,102,101,1,282,1,283,0,283,415,698,40.54%
長治鄉,香楊村,9,87,65,143,11,306,0,306,0,306,793,1099,27.84%
長治鄉,香楊村,10,33,50,100,4,187,0,187,0,187,717,904,20.69%
長治鄉,長興村,11,130,57,195,9,391,1,392,0,392,641,1033,37.95%
長治鄉,崙上村,12,174,71,370,19,634,9,643,0,643,991,1634,39.35%
長治鄉,德榮村,13,150,49,260,10,469,5,474,0,474,599,1073,44.18%
長治鄉,德和村,14,65,13,102,6,186,5,191,0,191,500,691,27.64%
長治鄉,復興村,15,196,80,286,28,590,6,596,0,596,836,1432,41.62%
長治鄉,德成村,16,183,35,148,10,376,2,378,0,378,463,841,44.95%
長治鄉,德協村,17,198,36,188,24,446,4,450,0,450,556,1006,44.73%
長治鄉,繁昌村,18,290,9,105,13,417,7,424,0,424,348,772,54.92%
長治鄉,繁昌村,19,281,7,135,16,439,1,440,0,440,413,853,51.58%
長治鄉,繁榮村,20,372,28,155,19,574,3,577,0,577,738,1315,43.88%
長治鄉,繁隆村,21,364,19,110,8,501,2,503,0,503,587,1090,46.15%
長治鄉,繁華村,22,421,13,109,19,562,5,567,0,567,589,1156,49.05%
長治鄉,繁華村,23,335,12,113,13,473,3,476,0,476,595,1071,44.44%
長治鄉,榮華村,24,134,77,63,2,276,0,276,0,276,401,677,40.77%
