area,cand_no,cand_name,party,cand_sex,cand_birthday,cand_age,cand_bornplace,cand_edu,is_current,is_victor,ticket_num
連江縣,1,李問,民主進步黨,m,0780304,33,臺灣省,碩士,N,N,586
連江縣,2,曹爾元,中國國民黨,m,0470626,64,金馬地區,大學,N,N,3582
連江縣,3,王忠銘,中國國民黨,m,0470227,64,金馬地區,碩士,N,Y,4337
金門縣,1,李應文,無黨籍及未經政黨推薦,m,0680412,43,金馬地區,碩士,N,N,3459
金門縣,2,朱紀瑋,龍黨,m,0500218,61,金馬地區,其他,N,N,174
金門縣,3,林志錦,無黨籍及未經政黨推薦,m,0610507,50,金馬地區,大學,N,N,141
金門縣,4,楊鎮浯,中國國民黨,m,0610626,50,金馬地區,碩士,Y,N,19340
金門縣,5,陳福海,無黨籍及未經政黨推薦,m,0520603,59,金馬地區,碩士,N,Y,23248
金門縣,6,洪志恒,無黨籍及未經政黨推薦,m,0571007,54,金馬地區,大學,N,N,752
宜蘭縣,1,林姿妙,中國國民黨,f,0410128,70,臺灣省,專科,Y,Y,119421
宜蘭縣,2,朱振東,天一黨,m,0420812,69,臺灣省,大學,N,N,919
宜蘭縣,3,許鋐哲,無黨籍及未經政黨推薦,m,0381130,72,臺灣省,高中(職),N,N,1036
宜蘭縣,4,陳秋境,無黨籍及未經政黨推薦,m,0520108,59,臺灣省,專科,N,N,714
宜蘭縣,5,江淵,民主進步黨,m,0581023,53,臺灣省,碩士,N,N,96779
宜蘭縣,6,陳琬惠,台灣民眾黨,f,0630911,48,臺南市,碩士,N,N,16412
新竹縣,1,黃秀龍,無黨籍及未經政黨推薦,m,0490602,62,臺灣省,高中(職),N,N,3403
新竹縣,2,范振揆,無黨籍及未經政黨推薦,m,0600224,51,臺灣省,其他,N,N,4874
新竹縣,3,周江杰,民主進步黨,m,0690715,42,臺灣省,碩士,N,N,83683
新竹縣,4,楊文科,中國國民黨,m,0400322,71,臺灣省,碩士,Y,Y,163662
新竹縣,5,劉復嵐,無黨籍及未經政黨推薦,m,0630509,48,臺灣省,大學,N,N,2683
苗栗縣,1,鍾東錦,無黨籍及未經政黨推薦,m,0520102,59,臺灣省,大學,N,Y,124603
苗栗縣,2,謝福弘,中國國民黨,m,0450910,66,臺灣省,碩士,N,N,32026
苗栗縣,3,吳盛聖,無黨籍及未經政黨推薦,m,0680802,43,臺灣省,大學,N,N,4864
苗栗縣,4,徐定禎,民主進步黨,m,0500103,61,臺灣省,大學,N,N,91260
苗栗縣,5,宋國鼎,時代力量,m,0700122,41,臺灣省,碩士,N,N,39347
彰化縣,1,王惠美,中國國民黨,f,0571122,53,臺灣省,碩士,Y,Y,369133
彰化縣,2,黃秀芳,民主進步黨,f,0601110,50,臺灣省,大學,N,N,272817
彰化縣,3,蕭仁正,無黨籍及未經政黨推薦,m,0420603,69,臺灣省,高中(職)以下,N,N,8474
南投縣,1,蔡培慧,民主進步黨,f,0600902,51,臺灣省,博士,N,N,117993
南投縣,2,許淑華,中國國民黨,f,0641015,47,臺灣省,碩士,N,Y,154256
南投縣,3,王永慶,無黨籍及未經政黨推薦,m,0511024,60,臺灣省,高中(職),N,N,3250
雲林縣,1,張麗善,中國國民黨,f,0530101,58,臺灣省,碩士,Y,Y,207519
雲林縣,2,劉建國,民主進步黨,m,0580309,53,臺灣省,碩士,N,N,152620
雲林縣,3,林佳瑜,無黨籍及未經政黨推薦,m,0480406,63,臺灣省,大學,N,N,6694
嘉義縣,1,王育敏,中國國民黨,f,0600411,51,臺灣省,碩士,N,N,101517
嘉義縣,2,翁章梁,民主進步黨,m,0540528,57,臺灣省,碩士,Y,Y,171777
屏東縣,1,詹智鈞,時代力量,m,0650901,46,新北市,大學,N,N,19156
屏東縣,2,蘇清泉,中國國民黨,m,0460805,65,臺灣省,博士,N,N,206460
屏東縣,3,周春米,民主進步黨,f,0551101,55,臺灣省,大學,N,Y,217537
臺東縣,1,陳長宏,無黨籍及未經政黨推薦,m,0540825,57,臺北市,專科,N,N,2383
臺東縣,2,饒慶鈴,中國國民黨,f,0581123,52,臺灣省,博士,Y,Y,68661
臺東縣,3,劉櫂豪,民主進步黨,m,0560202,55,臺灣省,大學,N,N,41104
花蓮縣,1,徐榛蔚,中國國民黨,f,0571012,54,桃園市,大學,Y,Y,96645
花蓮縣,2,黄師鵬,無黨籍及未經政黨推薦,m,0460718,65,臺灣省,碩士,N,N,4817
花蓮縣,3,"谷辣斯．尤達卡 Kolas Yotaka",民主進步黨,f,0630317,48,臺灣省,碩士,N,N,47845
澎湖縣,1,陳光復,民主進步黨,m,0441025,67,臺灣省,高中(職),N,Y,18777
澎湖縣,2,賴峰偉,中國國民黨,m,0420920,69,臺灣省,博士,Y,N,17081
澎湖縣,3,葉竹林,無黨籍及未經政黨推薦,m,0510106,60,臺灣省,碩士,N,N,15384
基隆市,1,謝國樑,中國國民黨,m,0641005,47,臺灣省,碩士,N,Y,96784
基隆市,2,陳薇仲,時代力量,f,0791007,32,臺灣省,大學,N,N,12000
基隆市,3,蔡適應,民主進步黨,m,0620614,49,臺北市,博士,N,N,71354
基隆市,4,曾國民,無黨籍及未經政黨推薦,m,0510127,60,臺灣省,大學,N,N,619
基隆市,5,黃希賢,無黨籍及未經政黨推薦,m,0541007,57,臺灣省,碩士,N,N,2136
新竹市,1,黃源甫,無黨籍及未經政黨推薦,m,0430526,68,臺灣省,博士,N,N,1049
新竹市,2,龔偉綸,無黨籍及未經政黨推薦,m,0710526,40,臺北市,其他,N,N,508
新竹市,3,林耕仁,中國國民黨,m,0491130,61,臺灣省,碩士,N,N,39391
新竹市,4,李驥羣,無黨籍及未經政黨推薦,m,0450215,66,臺灣省,高中(職)以下,N,N,1108
新竹市,5,沈慧虹,民主進步黨,f,0560303,55,臺灣省,碩士,N,N,77764
新竹市,6,高虹安,台灣民眾黨,f,0730125,38,臺北市,博士,N,Y,98121
