area,cand_no,cand_name,party,cand_sex,cand_birthday,cand_age,cand_bornplace,cand_edu,is_current,is_victor,ticket_num,prv_code,city_code,area_code,dept_code,li_code
宜蘭縣羅東鎮,1,黃適超,民主進步黨,m,0500415,61,臺灣省,碩士,N,N,15722,10,002,00,020,0000
宜蘭縣羅東鎮,2,吳秋齡,中國國民黨,f,0460909,65,臺灣省,碩士,Y,Y,16506,10,002,00,020,0000
宜蘭縣蘇澳鎮,1,簡銘翔,中國國民黨,m,0781103,32,臺北市,博士,N,N,6342,10,002,00,030,0000
宜蘭縣蘇澳鎮,2,李明哲,民主進步黨,m,0551007,56,臺灣省,碩士,Y,Y,14178,10,002,00,030,0000
宜蘭縣蘇澳鎮,3,楊鴻銘,無黨籍及未經政黨推薦,m,0630318,48,臺灣省,大學,N,N,518,10,002,00,030,0000
宜蘭縣頭城鎮,1,林樂賜,無黨籍及未經政黨推薦,m,0390205,72,臺灣省,高中(職),N,N,5150,10,002,00,040,0000
宜蘭縣頭城鎮,2,林瑞文,民主進步黨,m,0680210,43,臺灣省,碩士,N,N,4923,10,002,00,040,0000
宜蘭縣頭城鎮,3,蔡文益,中國國民黨,m,0610804,50,臺灣省,碩士,Y,Y,6780,10,002,00,040,0000
宜蘭縣礁溪鄉,1,林成功,民主進步黨,m,0511212,59,臺灣省,碩士,N,N,7038,10,002,00,050,0000
宜蘭縣礁溪鄉,2,林志洋,無黨籍及未經政黨推薦,m,0510412,60,臺灣省,大學,N,N,1923,10,002,00,050,0000
宜蘭縣礁溪鄉,3,張永德,中國國民黨,m,0470910,64,臺灣省,碩士,Y,Y,10516,10,002,00,050,0000
宜蘭縣壯圍鄉,1,莊謦宇,民主進步黨,m,0751229,35,臺灣省,大學,N,N,4576,10,002,00,060,0000
宜蘭縣壯圍鄉,2,沈清山,中國國民黨,m,0480601,63,臺灣省,大學,Y,Y,9107,10,002,00,060,0000
宜蘭縣員山鄉,1,張宜樺,中國國民黨,m,0641019,47,臺灣省,大學,Y,Y,11745,10,002,00,070,0000
宜蘭縣員山鄉,2,劉燦輝,無黨籍及未經政黨推薦,m,0521014,59,臺灣省,高中(職),N,N,500,10,002,00,070,0000
宜蘭縣員山鄉,3,黃福生,民主進步黨,m,0580117,53,新北市,專科,N,N,4320,10,002,00,070,0000
宜蘭縣冬山鄉,1,林峻輔,民主進步黨,m,0580418,53,臺灣省,碩士,Y,Y,24743,10,002,00,080,0000
宜蘭縣五結鄉,1,歐志銘,民主進步黨,m,0541224,56,臺灣省,博士,N,N,7067,10,002,00,090,0000
宜蘭縣五結鄉,2,王德福,無黨籍及未經政黨推薦,m,0481225,62,臺灣省,高中(職),N,N,1776,10,002,00,090,0000
宜蘭縣五結鄉,3,沈德茂,無黨籍及未經政黨推薦,m,0451006,66,臺灣省,碩士,Y,Y,11453,10,002,00,090,0000
宜蘭縣三星鄉,1,黃錫墉,民主進步黨,m,0470403,64,臺灣省,高中(職),N,N,5435,10,002,00,100,0000
宜蘭縣三星鄉,2,李志鏞,中國國民黨,m,0550221,56,臺灣省,碩士,Y,Y,6770,10,002,00,100,0000
宜蘭縣大同鄉,1,王進生,無黨籍及未經政黨推薦,m,0450515,66,臺灣省,大學,N,N,1749,10,002,00,110,0000
宜蘭縣大同鄉,2,何勝立,中國國民黨,m,0521023,59,臺灣省,高中(職)以下,Y,Y,2155,10,002,00,110,0000
宜蘭縣南澳鄉,1,李勝雄,中國國民黨,m,0550814,56,臺灣省,大學,Y,Y,2425,10,002,00,120,0000
宜蘭縣南澳鄉,2,林軍,無黨籍及未經政黨推薦,f,0830124,28,臺灣省,高中(職),N,N,616,10,002,00,120,0000
宜蘭縣南澳鄉,3,陳秋月,無黨籍及未經政黨推薦,f,0470925,64,臺灣省,專科,N,N,488,10,002,00,120,0000
新竹縣竹北市,1,鄭朝方,民主進步黨,m,0690219,42,臺灣省,大學,N,Y,32563,10,004,00,010,0000
新竹縣竹北市,2,郭漢章,無黨籍及未經政黨推薦,m,0601201,50,臺灣省,碩士,N,N,16962,10,004,00,010,0000
新竹縣竹北市,3,林冠年,台灣民眾黨,m,0710208,40,臺北市,碩士,N,N,5350,10,004,00,010,0000
新竹縣竹北市,4,林為洲,中國國民黨,m,0500725,61,臺灣省,大學,N,N,25831,10,004,00,010,0000
新竹縣竹東鎮,1,郭遠彰,無黨籍及未經政黨推薦,m,0481202,62,臺灣省,碩士,N,Y,21081,10,004,00,020,0000
新竹縣竹東鎮,2,張順朋,中國國民黨,f,0490816,62,臺灣省,高中(職),Y,N,20405,10,004,00,020,0000
新竹縣新埔鎮,1,彭瑞德,無黨籍及未經政黨推薦,m,0570515,54,臺灣省,大學,N,N,3881,10,004,00,030,0000
新竹縣新埔鎮,2,陳英樓,中國國民黨,m,0450908,66,臺灣省,大學,N,Y,7122,10,004,00,030,0000
新竹縣新埔鎮,3,陳新源,勞動黨,m,0490420,62,臺灣省,大學,N,N,6625,10,004,00,030,0000
新竹縣關西鎮,1,曾綉雅,無黨籍及未經政黨推薦,f,0590102,52,臺灣省,碩士,N,N,2894,10,004,00,040,0000
新竹縣關西鎮,2,陳光彩,無黨籍及未經政黨推薦,m,0580426,53,臺灣省,專科,N,Y,6772,10,004,00,040,0000
新竹縣關西鎮,3,徐羽霆,無黨籍及未經政黨推薦,f,0511101,59,臺灣省,專科,N,N,385,10,004,00,040,0000
新竹縣關西鎮,4,劉德樑,中國國民黨,m,0450902,66,臺灣省,專科,Y,N,5471,10,004,00,040,0000
新竹縣湖口鄉,1,范綱胤,無黨籍及未經政黨推薦,m,0680928,43,臺灣省,高中(職),N,N,811,10,004,00,050,0000
新竹縣湖口鄉,2,戴翊如,無黨籍及未經政黨推薦,f,0770402,34,臺灣省,碩士,N,N,4642,10,004,00,050,0000
新竹縣湖口鄉,3,吳淑君,中國國民黨,f,0601207,50,臺灣省,碩士,N,Y,16395,10,004,00,050,0000
新竹縣湖口鄉,4,田耀祖,無黨籍及未經政黨推薦,m,0701110,40,臺灣省,高中(職),N,N,1152,10,004,00,050,0000
新竹縣湖口鄉,5,鄭士榤,無黨籍及未經政黨推薦,m,0551002,56,臺灣省,高中(職),N,N,13396,10,004,00,050,0000
新竹縣新豐鄉,1,許秋澤,中國國民黨,m,0590103,52,臺灣省,專科,Y,N,10915,10,004,00,060,0000
新竹縣新豐鄉,2,徐煒傑,無黨籍及未經政黨推薦,m,0500329,61,臺灣省,專科,N,Y,12914,10,004,00,060,0000
新竹縣芎林鄉,1,黃正彪,中國國民黨,m,0660324,45,臺灣省,碩士,Y,Y,9664,10,004,00,070,0000
新竹縣橫山鄉,1,張志弘,中國國民黨,m,0481010,63,臺灣省,碩士,Y,Y,5004,10,004,00,080,0000
新竹縣橫山鄉,2,彭裕文,無黨籍及未經政黨推薦,m,0500319,61,臺灣省,高中(職),N,N,2100,10,004,00,080,0000
新竹縣北埔鄉,1,莊明增,無黨籍及未經政黨推薦,m,0620101,49,臺灣省,高中(職),Y,Y,2967,10,004,00,090,0000
新竹縣北埔鄉,2,楊葵琇,無黨籍及未經政黨推薦,m,0540310,57,臺灣省,專科,N,N,2050,10,004,00,090,0000
新竹縣寶山鄉,1,徐冬曲,無黨籍及未經政黨推薦,f,0701116,40,新北市,碩士,N,N,1899,10,004,00,100,0000
新竹縣寶山鄉,2,范玉燕,無黨籍及未經政黨推薦,f,0451226,65,臺灣省,碩士,N,N,2780,10,004,00,100,0000
新竹縣寶山鄉,3,鍾金霖,無黨籍及未經政黨推薦,m,0480208,63,臺灣省,專科,N,N,269,10,004,00,100,0000
新竹縣寶山鄉,4,邱振瑋,中國國民黨,m,0631226,47,臺灣省,碩士,N,Y,3483,10,004,00,100,0000
新竹縣峨眉鄉,1,王增忠,中國國民黨,m,0560211,55,臺灣省,高中(職),Y,Y,1962,10,004,00,110,0000
新竹縣峨眉鄉,2,黃森昌,無黨籍及未經政黨推薦,m,0470201,64,臺灣省,高中(職),N,N,1693,10,004,00,110,0000
新竹縣尖石鄉,1,江彩華,無黨籍及未經政黨推薦,f,0770821,34,臺灣省,大學,N,N,2131,10,004,00,120,0000
新竹縣尖石鄉,2,曾國大,中國國民黨,m,0580705,53,臺灣省,碩士,Y,Y,3209,10,004,00,120,0000
新竹縣五峰鄉,1,秋維書,無黨籍及未經政黨推薦,m,0681215,42,臺灣省,碩士,N,Y,1241,10,004,00,130,0000
新竹縣五峰鄉,2,呂小龍,無黨籍及未經政黨推薦,m,0611203,49,臺灣省,高中(職),N,N,891,10,004,00,130,0000
新竹縣五峰鄉,3,葛忠義,中國國民黨,m,0471222,63,臺灣省,專科,Y,N,819,10,004,00,130,0000
苗栗縣苗栗市,1,邱鎮軍,中國國民黨,m,0601207,50,臺灣省,碩士,Y,Y,38791,10,005,00,010,0000
苗栗縣苑裡鎮,1,劉秋東,無黨籍及未經政黨推薦,m,0530520,58,臺灣省,專科,Y,N,11245,10,005,00,020,0000
苗栗縣苑裡鎮,2,劉育育,無黨籍及未經政黨推薦,f,0751226,35,臺中市,大學,N,Y,13989,10,005,00,020,0000
苗栗縣通霄鎮,1,杜文卿,民主進步黨,m,0431030,68,臺灣省,大學,N,N,7745,10,005,00,030,0000
苗栗縣通霄鎮,2,林麗容,無黨籍及未經政黨推薦,f,0460306,65,臺灣省,大學,N,N,856,10,005,00,030,0000
苗栗縣通霄鎮,3,張可欣,無黨籍及未經政黨推薦,f,0840203,27,臺灣省,專科,N,Y,10271,10,005,00,030,0000
苗栗縣通霄鎮,4,李美蓁,無黨籍及未經政黨推薦,f,0641218,46,臺灣省,大學,N,N,233,10,005,00,030,0000
苗栗縣竹南鎮,1,方進興,無黨籍及未經政黨推薦,m,0530304,58,臺灣省,大學,Y,Y,22889,10,005,00,040,0000
苗栗縣竹南鎮,2,康世儒,無黨籍及未經政黨推薦,m,0530116,58,臺灣省,專科,N,N,18860,10,005,00,040,0000
苗栗縣頭份市,1,羅雪珠,無黨籍及未經政黨推薦,f,0470208,64,臺灣省,專科,Y,Y,28608,10,005,00,050,0000
苗栗縣頭份市,2,黎煥強,無黨籍及未經政黨推薦,m,0711010,40,臺灣省,碩士,N,N,21946,10,005,00,050,0000
苗栗縣後龍鎮,1,謝清輝,中國國民黨,m,0521221,58,臺灣省,專科,N,Y,10916,10,005,00,060,0000
苗栗縣後龍鎮,2,蔡坤松,中國國民黨,m,0520522,59,臺灣省,專科,N,N,8968,10,005,00,060,0000
苗栗縣卓蘭鎮,1,詹錦章,無黨籍及未經政黨推薦,m,0430423,68,臺灣省,高中(職),Y,Y,8200,10,005,00,070,0000
苗栗縣大湖鄉,1,傅松琳,無黨籍及未經政黨推薦,m,0440615,67,臺灣省,專科,N,N,2251,10,005,00,080,0000
