行政區別,村里別,投開票所別,號次1,號次2,號次3,有效票數A（A＝1＋2＋…＋N）,無效票數B,投票數C（C＝A＋B）,已領未投票數D（D＝E－C）,發出票數E（E＝C＋D）,用餘票數F,選舉人數(原領票數)G（G＝E＋F）,投票率H（H＝C÷G）
伸港鄉,大同村,0001,281,0,170,451,4,455,0,455,686,"1,141",39.88%
伸港鄉,大同村,0002,234,3,94,331,0,331,0,331,801,"1,132",29.24%
伸港鄉,海尾村,0003,305,4,85,394,1,395,0,395,548,943,41.89%
伸港鄉,海尾村,0004,211,4,100,315,3,318,0,318,527,845,37.63%
伸港鄉,全興村,0005,215,5,78,298,3,301,0,301,473,774,38.89%
伸港鄉,全興村,0006,196,1,106,303,2,305,0,305,534,839,36.35%
伸港鄉,溪底村,0007,298,8,84,390,10,400,0,400,472,872,45.87%
伸港鄉,溪底村,0008,281,9,94,384,3,387,0,387,579,966,40.06%
伸港鄉,定興村,0009,272,7,67,346,2,348,0,348,757,"1,105",31.49%
伸港鄉,定興村,0010,291,9,93,393,2,395,0,395,"1,052","1,447",27.30%
伸港鄉,什股村,0011,283,5,64,352,3,355,0,355,688,"1,043",34.04%
伸港鄉,什股村,0012,223,2,81,306,3,309,0,309,747,"1,056",29.26%
伸港鄉,泉州村,0013,282,3,92,377,3,380,0,380,680,"1,060",35.85%
伸港鄉,泉州村,0014,251,2,89,342,3,345,0,345,529,874,39.47%
伸港鄉,泉厝村,0015,352,4,149,505,3,508,0,508,707,"1,215",41.81%
伸港鄉,曾家村,0016,179,1,119,299,5,304,0,304,522,826,36.80%
伸港鄉,曾家村,0017,229,3,65,297,1,298,0,298,521,819,36.39%
伸港鄉,蚵寮村,0018,190,4,260,454,2,456,0,456,653,"1,109",41.12%
伸港鄉,新港村,0019,321,7,171,499,3,502,0,502,822,"1,324",37.92%
伸港鄉,新港村,0020,319,7,147,473,2,475,0,475,827,"1,302",36.48%
伸港鄉,新港村,0021,316,4,106,426,2,428,0,428,687,"1,115",38.39%
伸港鄉,新港村,0022,289,8,127,424,4,428,0,428,813,"1,241",34.49%
伸港鄉,埤墘村,0023,323,10,129,462,4,466,0,466,809,"1,275",36.55%
伸港鄉,七嘉村,0024,276,3,106,385,1,386,0,386,560,946,40.80%
伸港鄉,七嘉村,0025,238,4,86,328,3,331,0,331,487,818,40.46%
伸港鄉,七嘉村,0026,283,7,89,379,3,382,0,382,722,"1,104",34.60%
伸港鄉,汴頭村,0027,262,4,117,383,2,385,0,385,663,"1,048",36.74%
伸港鄉,汴頭村,0028,281,9,112,402,3,405,0,405,689,"1,094",37.02%
線西鄉,線西村,0029,223,3,128,354,4,358,0,358,669,"1,027",34.86%
線西鄉,線西村,0030,253,5,116,374,5,379,0,379,735,"1,114",34.02%
線西鄉,頂庄村,0031,272,7,139,418,1,419,2,421,810,"1,231",34.04%
線西鄉,寓埔村,0032,217,6,148,371,8,379,0,379,706,"1,085",34.93%
線西鄉,寓埔村,0033,206,9,158,373,2,375,0,375,714,"1,089",34.44%
線西鄉,塭仔村,0034,252,5,190,447,2,449,0,449,783,"1,232",36.44%
線西鄉,溝內村,0035,233,10,172,415,3,418,0,418,719,"1,137",36.76%
線西鄉,下犁村,0036,199,8,155,362,4,366,0,366,578,944,38.77%
線西鄉,下犁村,0037,186,6,126,318,2,320,0,320,601,921,34.74%
線西鄉,頂犁村,0038,299,4,114,417,3,420,0,420,803,"1,223",34.34%
線西鄉,頂犁村,0039,228,10,167,405,2,407,0,407,836,"1,243",32.74%
線西鄉,德興村,0040,304,6,188,498,0,498,0,498,804,"1,302",38.25%
和美鎮,竹營里,0041,239,7,170,416,1,417,0,417,859,"1,276",32.68%
和美鎮,竹營里,0042,250,9,181,440,5,445,0,445,962,"1,407",31.63%
和美鎮,竹營里,0043,248,9,216,473,2,475,0,475,985,"1,460",32.53%
和美鎮,竹營里,0044,315,5,194,514,5,519,0,519,"1,125","1,644",31.57%
和美鎮,和東里,0045,217,8,150,375,3,378,0,378,626,"1,004",37.65%
和美鎮,和東里,0046,207,10,130,347,3,350,0,350,636,986,35.50%
和美鎮,和東里,0047,233,7,129,369,1,370,0,370,625,995,37.19%
和美鎮,和東里,0048,223,9,163,395,1,396,0,396,771,"1,167",33.93%
和美鎮,和南里,0049,107,9,53,169,0,169,0,169,239,408,41.42%
和美鎮,和北里,0050,156,5,110,271,1,272,0,272,551,823,33.05%
和美鎮,和北里,0051,195,5,127,327,2,329,0,329,614,943,34.89%
和美鎮,和西里,0052,190,11,179,380,2,382,0,382,630,"1,012",37.75%
和美鎮,和西里,0053,230,6,141,377,2,379,0,379,684,"1,063",35.65%
和美鎮,和西里,0054,193,3,141,337,0,337,0,337,701,"1,038",32.47%
和美鎮,四張里,0055,186,7,233,426,3,429,0,429,772,"1,201",35.72%
和美鎮,四張里,0056,311,9,173,493,1,494,0,494,969,"1,463",33.77%
和美鎮,頭前里,0057,149,4,103,256,1,257,0,257,525,782,32.86%
和美鎮,頭前里,0058,153,5,103,261,3,264,0,264,548,812,32.51%
和美鎮,面前里,0059,248,8,207,463,8,471,0,471,862,"1,333",35.33%
和美鎮,面前里,0060,144,5,127,276,1,277,0,277,470,747,37.08%
和美鎮,鎮平里,0061,300,7,228,535,5,540,0,540,839,"1,379",39.16%
和美鎮,鎮平里,0062,283,15,226,524,2,526,0,526,816,"1,342",39.20%
和美鎮,大霞里,0063,134,5,93,232,1,233,0,233,410,643,36.24%
和美鎮,大霞里,0064,160,5,104,269,3,272,0,272,509,781,34.83%
和美鎮,源埤里,0065,128,3,115,246,1,247,0,247,638,885,27.91%
和美鎮,源埤里,0066,160,11,146,317,2,319,0,319,529,848,37.62%
和美鎮,南佃里,0067,195,2,189,386,1,387,0,387,713,"1,100",35.18%
和美鎮,南佃里,0068,195,4,170,369,2,371,0,371,659,"1,030",36.02%
和美鎮,雅溝里,0069,226,12,252,490,3,493,0,493,797,"1,290",38.22%
和美鎮,山犁里,0070,243,11,162,416,4,420,0,420,699,"1,119",37.53%
和美鎮,山犁里,0071,251,14,180,445,2,447,0,447,755,"1,202",37.19%
和美鎮,山犁里,0072,249,8,173,430,2,432,0,432,771,"1,203",35.91%
