prv_code,city_code,area_code,dept_code,li_code,cand_no,cand_name,party_code,cand_sex,cand_birthday,cand_age,cand_bornplace,cand_edu,is_current,is_victor,is_vice
10,005,04,110,0000,1,風志雄,999,1,0580325,53,臺灣省,高中(職),Y,*, 
10,005,04,110,0000,2,戴賢志,999,1,0700313,41,臺灣省,高中(職)以下,N, , 
10,013,04,240,0000,1,潘義輝,999,1,0450122,66,臺灣省,大學,Y,*, 
10,013,04,240,0000,2,潘啟元,999,1,0461201,64,臺灣省,高中(職),N, , 
10,014,05,010,0000,1,柳星辰,999,1,0600415,51,臺灣省,專科,N,*, 
10,014,05,010,0000,2,高旭,999,1,0670413,44,臺灣省,高中(職)以下,N,*, 
10,014,05,010,0000,3,陳明龍,999,1,0700109,41,臺灣省,高中(職)以下,N, , 
10,014,05,010,0000,4,田逸農,1,1,0581222,52,臺灣省,專科,Y, , 
10,014,05,010,0000,5,巫化‧巴阿立佑司,999,2,0540307,57,臺灣省,碩士,Y,*, 
10,014,05,010,0000,6,林志龍,1,1,0650717,46,臺灣省,大學,Y,*, 
10,014,05,010,0000,7,潘韋愷,999,2,0800213,31,臺灣省,高中(職),N, , 
10,014,05,010,0000,8,潘正顥,999,1,0580302,53,臺灣省,高中(職),N, , 
10,014,02,020,0000,1,葉聰義,999,1,0500301,61,臺灣省,高中(職),N,*, 
10,014,02,020,0000,2,洪進榮,999,1,0480611,63,臺灣省,高中(職),Y,*, 
10,014,02,020,0000,3,楊世光,999,1,0511112,59,臺灣省,高中(職),Y,*, 
10,014,02,020,0000,4,蔡新輝 Son Tok Kulas,999,1,0420715,69,臺灣省,大學,Y, , 
10,014,02,020,0000,5,賴蘋妹,999,2,0460224,65,臺灣省,高中(職),Y, , 
10,014,02,020,0000,6,陳婕妤,999,2,0790119,32,臺灣省,大學,N,*, 
10,014,02,020,0000,7,陳振明,999,1,0440111,67,臺灣省,高中(職),N,*, 
10,014,02,020,0000,8,陳南蓀,999,2,0620925,49,臺灣省,專科,Y,*, 
10,014,04,030,0000,1,呂文龍,1,1,0670903,44,臺灣省,大學,Y,*, 
10,014,04,030,0000,2,黃玉英 Ｕsay Amui Lipay,999,2,0561105,54,臺灣省,大學,N,*, 
10,014,04,030,0000,3,羅章榮 Kakupa Arang,1,1,0451117,65,臺灣省,高中(職),Y, , 
10,014,03,040,0000,1,田明元,1,1,0450606,66,臺灣省,高中(職),Y,*, 
10,014,03,040,0000,2,黃學臺,1,1,0511201,59,臺灣省,高中(職),Y,*, 
10,014,03,040,0000,3,馬亦廷,16,1,0640402,47,臺灣省,高中(職),N, , 
10,014,03,040,0000,4,李芳媚,999,2,0470103,64,臺灣省,專科,Y,!, 
10,014,03,040,0000,5,王尚美,999,2,0581202,52,臺灣省,高中(職),N, , 
10,014,03,040,0000,6,洪吉雄,16,1,0520820,59,臺灣省,高中(職),N,*, 
