66,000,01,290,0000,8,王秋助,1,1,0320718,79,臺中市,高中(職),Y, , 
66,000,01,290,0000,9,葛榮正,999,1,0580208,53,臺中市,專科,N,*, 
66,000,01,290,0000,10,徐裕傑,999,1,0460405,65,臺中市,高中(職),Y,*, 
66,000,01,290,0000,11,傅靜如,999,2,0520717,59,臺灣省,高中(職),N, , 
66,000,02,290,0000,1,楊淑青,999,2,0441120,66,臺灣省,大學,Y,*, 
66,000,02,290,0000,2,吳天祐,999,1,0410912,70,臺灣省,大學,Y,*, 
66,000,02,290,0000,3,羅清輝,1,1,0500608,61,臺中市,碩士,Y,*, 
66,000,03,290,0000,1,羅進玉,999,1,0560424,55,臺中市,高中(職),Y,*, 
66,000,03,290,0000,2,林永富,999,1,0540905,57,臺中市,高中(職)以下,Y, , 
66,000,03,290,0000,3,詹森,999,1,0560323,55,臺中市,高中(職)以下,N,*, 
66,000,03,290,0000,4,林吉財,999,1,0510817,60,臺中市,高中(職),Y,*, 
68,000,01,130,0000,1,黃盛,999,1,0411202,69,桃園市,高中(職)以下,Y,*, 
68,000,01,130,0000,2,楊夢萍,999,2,0580903,53,桃園市,大學,Y,*, 
68,000,01,130,0000,3,江衍恒,999,1,0470829,64,桃園市,高中(職),N,*, 
68,000,01,130,0000,4,林玉花,999,2,0450201,66,桃園市,高中(職),Y, , 
68,000,01,130,0000,5,余文源,1,1,0540822,57,桃園市,高中(職),Y,*, 
68,000,01,130,0000,6,張倉豪,1,1,0410102,70,桃園市,專科,Y,*, 
68,000,01,130,0000,7,楊懷玉,999,1,0510725,60,桃園市,高中(職),N, , 
68,000,01,130,0000,8,森長雄,999,1,0520215,59,桃園市,高中(職)以下,N, , 
68,000,02,130,0000,1,韓敬富,999,1,0580117,53,臺灣省,博士,N, , 
68,000,02,130,0000,2,黃再福,999,1,0460725,65,桃園市,高中(職),Y, , 
68,000,02,130,0000,3,黃義文,999,1,0500220,61,桃園市,高中(職),N, , 
68,000,02,130,0000,4,簡明仁,999,1,0510910,60,桃園市,專科,Y,*, 
68,000,02,130,0000,5,柯玉明,999,1,0490215,62,桃園市,高中(職)以下,Y,*, 
68,000,02,130,0000,6,李學益,999,1,0580923,53,桃園市,專科,N, , 
68,000,02,130,0000,7,余遠山,999,1,0520908,59,桃園市,高中(職),Y,*, 
68,000,03,130,0000,1,陳榮光,999,1,0480419,63,桃園市,高中(職),N,*, 
68,000,03,130,0000,2,林振德,999,1,0440420,67,桃園市,專科,Y,*, 
68,000,03,130,0000,3,劉光榮,350,1,0611112,49,桃園市,高中(職),N, , 
68,000,03,130,0000,4,回瀾‧誒宥,999,1,0620714,49,桃園市,高中(職),N, , 
68,000,03,130,0000,5,黃恆貴,999,1,0470822,64,桃園市,高中(職)以下,N, , 
68,000,03,130,0000,6,姜清國,999,1,0540510,57,臺灣省,高中(職)以下,Y,*, 
