prv_code,city_code,area_code,dept_code,li_code,tbox_no,valid_ticket,invalid_ticket,vote_ticket,votable_population,population,cand_male_num,cand_female_num,cand_num,elected_male_num,elected_female_num,elected_num,elect_to_population,vote_to_elect,elected_to_cand
00,000,00,000,0000,0000,23140,572,23712,31803,39605,73,19,92,39,11,50,80.30,74.56,54.35
64,000,00,000,0000,0000,6137,97,6234,7407,9399,28,11,39,14,7,21,78.81,84.16,53.85
64,000,01,360,0002,0000,338,2,340,374,0,4,3,7,2,2,4,0.00,90.91,57.14
64,000,01,360,0003,0000,457,5,462,504,0,4,3,7,2,2,4,0.00,91.67,57.14
64,000,01,360,0003,0134,457,5,462,504,0,4,3,7,2,2,4,0.00,91.67,57.14
64,000,01,360,0002,0135,338,2,340,374,0,4,3,7,2,2,4,0.00,90.91,57.14
64,000,01,370,0008,0001,223,4,227,255,0,7,3,10,4,1,5,0.00,89.02,50.00
64,000,01,370,0007,0002,197,2,199,229,0,7,3,10,4,1,5,0.00,86.90,50.00
64,000,01,370,0006,0003,223,2,225,284,0,7,3,10,4,1,5,0.00,79.23,50.00
64,000,01,370,0005,0004,163,3,166,203,0,7,3,10,4,1,5,0.00,81.77,50.00
64,000,01,370,0001,0005,563,19,582,750,0,7,3,10,4,1,5,0.00,77.60,50.00
64,000,01,370,0004,0006,499,4,503,632,0,7,3,10,4,1,5,0.00,79.59,50.00
64,000,01,370,0001,0000,563,19,582,750,0,7,3,10,4,1,5,0.00,77.60,50.00
64,000,01,370,0004,0000,499,4,503,632,0,7,3,10,4,1,5,0.00,79.59,50.00
64,000,01,370,0005,0000,163,3,166,203,0,7,3,10,4,1,5,0.00,81.77,50.00
64,000,01,370,0006,0000,223,2,225,284,0,7,3,10,4,1,5,0.00,79.23,50.00
64,000,01,370,0007,0000,197,2,199,229,0,7,3,10,4,1,5,0.00,86.90,50.00
64,000,01,370,0008,0000,223,4,227,255,0,7,3,10,4,1,5,0.00,89.02,50.00
64,000,01,380,0001,0009,614,9,623,754,0,4,3,7,2,2,4,0.00,82.63,57.14
64,000,01,380,0001,0000,1118,15,1133,1340,0,4,3,7,2,2,4,0.00,84.55,57.14
64,000,01,380,0001,0010,504,6,510,586,0,4,3,7,2,2,4,0.00,87.03,57.14
64,000,02,360,0001,0000,634,9,643,714,0,2,2,4,1,2,3,0.00,90.06,75.00
64,000,02,360,0001,0136,634,9,643,714,0,2,2,4,1,2,3,0.00,90.06,75.00
64,000,02,370,0003,0007,459,9,468,590,0,5,0,5,2,0,2,0.00,79.32,40.00
64,000,02,370,0002,0008,365,9,374,455,0,5,0,5,2,0,2,0.00,82.20,40.00
