prv_code,city_code,area_code,dept_code,li_code,tbox_no,cand_no,ticket_num,ticket_percent,is_victor
64,000,01,360,0002,0000,1,26,7.69, 
64,000,01,360,0002,0000,2,32,9.47,*
64,000,01,360,0002,0000,3,21,6.21,*
64,000,01,360,0002,0000,4,16,4.73, 
64,000,01,360,0002,0000,5,97,28.70, 
64,000,01,360,0002,0000,6,116,34.32,*
64,000,01,360,0002,0000,7,30,8.88,*
64,000,01,360,0003,0000,1,3,0.66, 
64,000,01,360,0003,0000,2,127,27.79,*
64,000,01,360,0003,0000,3,109,23.85,*
64,000,01,360,0003,0000,4,95,20.79, 
64,000,01,360,0003,0000,5,7,1.53, 
64,000,01,360,0003,0000,6,6,1.31,*
64,000,01,360,0003,0000,7,110,24.07,*
64,000,01,360,0003,0134,1,3,0.66, 
64,000,01,360,0003,0134,2,127,27.79,*
64,000,01,360,0003,0134,3,109,23.85,*
64,000,01,360,0003,0134,4,95,20.79, 
64,000,01,360,0003,0134,5,7,1.53, 
64,000,01,360,0003,0134,6,6,1.31,*
64,000,01,360,0003,0134,7,110,24.07,*
64,000,01,360,0002,0135,1,26,7.69, 
64,000,01,360,0002,0135,2,32,9.47,*
64,000,01,360,0002,0135,3,21,6.21,*
64,000,01,360,0002,0135,4,16,4.73, 
64,000,01,360,0002,0135,5,97,28.70, 
64,000,01,360,0002,0135,6,116,34.32,*
64,000,01,360,0002,0135,7,30,8.88,*
64,000,01,370,0008,0001,1,71,31.84, 
64,000,01,370,0008,0001,2,40,17.94,*
64,000,01,370,0008,0001,3,0,0.00, 
64,000,01,370,0008,0001,4,24,10.76,*
64,000,01,370,0008,0001,5,30,13.45,*
64,000,01,370,0008,0001,6,8,3.59,*
64,000,01,370,0008,0001,7,7,3.14, 
64,000,01,370,0008,0001,8,24,10.76,*
64,000,01,370,0008,0001,9,15,6.73, 
64,000,01,370,0008,0001,10,4,1.79, 
64,000,01,370,0007,0002,1,23,11.68, 
64,000,01,370,0007,0002,2,24,12.18,*
64,000,01,370,0007,0002,3,0,0.00, 
64,000,01,370,0007,0002,4,23,11.68,*
64,000,01,370,0007,0002,5,30,15.23,*
64,000,01,370,0007,0002,6,10,5.08,*
64,000,01,370,0007,0002,7,25,12.69, 
64,000,01,370,0007,0002,8,25,12.69,*
64,000,01,370,0007,0002,9,26,13.20, 
64,000,01,370,0007,0002,10,11,5.58, 
64,000,01,370,0006,0003,1,31,13.90, 
64,000,01,370,0006,0003,2,17,7.62,*
64,000,01,370,0006,0003,3,5,2.24, 
64,000,01,370,0006,0003,4,12,5.38,*
64,000,01,370,0006,0003,5,99,44.39,*
64,000,01,370,0006,0003,6,9,4.04,*
64,000,01,370,0006,0003,7,14,6.28, 
64,000,01,370,0006,0003,8,13,5.83,*
64,000,01,370,0006,0003,9,13,5.83, 
64,000,01,370,0006,0003,10,10,4.48, 
64,000,01,370,0005,0004,1,8,4.91, 
64,000,01,370,0005,0004,2,47,28.83,*
64,000,01,370,0005,0004,3,0,0.00, 
64,000,01,370,0005,0004,4,28,17.18,*
64,000,01,370,0005,0004,5,28,17.18,*
64,000,01,370,0005,0004,6,9,5.52,*
64,000,01,370,0005,0004,7,21,12.88, 
64,000,01,370,0005,0004,8,7,4.29,*
64,000,01,370,0005,0004,9,11,6.75, 
64,000,01,370,0005,0004,10,4,2.45, 
64,000,01,370,0001,0005,1,30,5.33, 
64,000,01,370,0001,0005,2,118,20.96,*
64,000,01,370,0001,0005,3,4,0.71, 
