行政區別,村里別,投開票所別,號次1,號次2,號次3,號次4,號次5,有效票數A（A＝1＋2＋…＋N）,無效票數B,投票數C（C＝A＋B）,已領未投票數D（D＝E－C）,發出票數E（E＝C＋D）,用餘票數F,選舉人數(原領票數)G（G＝E＋F）,投票率H（H＝C÷G）
后里區,"廣福里,仁里里,義里里,后里里,厚里里,墩東里,墩西里,墩南里,墩北里,中和里,舊社里,聯合里,太平里,眉山里,泰安里,公館里,月眉里,義德里",0011,2,0,14,1,29,46,0,46,0,46,160,206,22.33%
豐原區,"豐原里,頂街里,中山里,豐榮里,下街里,富春里,葫蘆里,豐西里,西安里,西勢里,東勢里,民生里,大湳里,北湳里,東湳里,西湳里,圳寮里,豐圳里,社皮里,三村里,中興里,田心里,豐田里,鎌村里,南陽里,陽明里,北陽里,中陽里,東陽里,南村里,南田里,南嵩里,翁明里,翁子里,翁社里,朴子里",0012,3,1,31,14,33,82,1,83,0,83,361,444,18.69%
神岡區,"神岡里,庄前里,北庄里,庄後里,社口里,社南里,三角里,岸裡里,大社里,豐洲里,神洲里,溪洲里,圳前里,新庄里,圳堵里,山皮里",0013,0,5,18,12,51,86,1,87,0,87,230,317,27.44%
大雅區,"大雅里,員林里,六寶里,秀山里,忠義里,橫山里,三和里,西寶里,上楓里,二和里,四德里,上雅里,文雅里,大楓里,雅楓里",0014,2,5,30,13,235,285,1,286,0,286,475,761,37.58%
潭子區,"潭陽里,潭秀里,潭北里,福仁里,頭家里,甘蔗里,東寶里,大富里,大豐里,栗林里,嘉仁里,新田里,聚興里,頭家東里,家興里,家福里",0015,5,1,36,17,50,109,1,110,0,110,409,519,21.19%
西屯區,"西安里,西墩里,潮洋里,龍潭里,惠來里,上石里,逢甲里,鵬程里,何安里,何厝里,大河里,大石里,大福里,大鵬里,港尾里,廣福里,林厝里,永安里,福安里,協和里,何仁里,何德里,何源里,西平里,何南里,至善里,上安里,上德里,逢福里,何明里,何成里,何福里,福和里,福中里,福恩里,福聯里,福瑞里,福林里,福雅里",0016,2,5,29,17,46,99,2,101,0,101,596,697,14.49%
南屯區,"南屯里,豐樂里,楓樹里,中和里,永定里,三厝里,溝墘里,田心里,黎明里,鎮平里,大同里,文心里,同心里,向心里,大誠里,大興里,大業里,惠中里,三和里,三義里",0017,1,2,12,10,17,42,0,42,0,42,220,262,16.03%
南屯區,"春社里,春安里,文山里,新生里,寶山里",0018,3,1,7,1,28,40,0,40,0,40,165,205,19.51%
北屯區,"平和里,松竹里,仁和里,仁美里,四民里,后庄里,同榮里,仁愛里,水湳里,陳平里,新平里,平安里,平順里,平德里,松安里,松茂里,大德里,松強里,松勇里,平福里,松和里,平陽里,忠平里",0019,0,7,24,9,26,66,0,66,0,66,447,513,12.87%
北屯區,"北興里,北屯里,三光里,平田里,東光里,舊社里,水景里,軍功里,和平里,東山里,民政里,?子里,大坑里,民德里,北京里,平心里,平興里,平昌里,三和里",0020,5,3,23,21,21,73,0,73,0,73,422,495,14.75%
北屯區,"光大里,文莊里,五常里,新興里,新北里,樂英里,錦村里,建成里,錦洲里,金華里,金龍里,邱厝里,建興里,頂厝里,賴厝里,賴村里,育德里,淡溝里,中達里,錦祥里,健行里,明德里,長青里,賴明里,賴興里,中正里,六合里,大湖里,錦平里,建德里,崇德里,賴旺里,明新里,立人里,梅川里,賴福里",0021,0,0,11,11,30,52,0,52,0,52,382,434,11.98%
中區,"繼光里,大墩里,綠川里,公園里,光復里,柳川里,大誠里,中華里",0022,0,0,1,1,0,2,0,2,0,2,28,30,6.67%
西區,"民生里,利民里,三民里,東昇里,廣民里,平和里,公民里,藍興里,公?里,和龍里,民龍里,後龍里,安龍里,吉龍里,昇平里,忠明里,公正里,土庫里,忠誠里,公益里,中興里,公平里,公德里,?龍里,大忠里",0023,0,1,3,4,3,11,0,11,0,11,165,176,6.25%
東區,"新庄里,振興里,東橋里,東興里,干城里,泉源里,旱溪里,樂成里,東門里,十甲里,東南里,東勢里,合作里,富台里,富仁里,東信里,東英里",0024,3,2,7,11,4,27,1,28,0,28,142,170,16.47%
南區,"城隍里,國光里,南門里,德義里,積善里,江川里,新榮里,福興里,福平里,和平里,永興里,樹德里,西川里,長春里,長榮里,福順里,平和里,南和里,永和里,工學里,崇倫里",0025,2,5,3,5,21,36,0,36,0,36,237,273,13.19%
南區,樹義里,0026,0,0,0,1,1,2,0,2,0,2,38,40,5.00%
太平區,"太平里,長億里,中平里,中興里,建國里,東平里,宜欣里,中山里,坪林里,光華里,新坪里,新光里,新福里,頭汴里,東汴里,興隆里,光隆里,德隆里,黃竹里,永成里,永平里,成功里,東和里,中政里,平安里,建興里,新興里,新高里,新吉里,新城里,宜佳里,宜昌里,光明里,豐年里,大興里,勤益里,聖和里,福隆里,永隆里",0027,7,7,95,90,101,300,0,300,0,300,873,1173,25.58%
大里區,"大里里,新里里,樹王里,東興里,祥興里,日新里,西榮里,內新里,東昇里,立仁里,新仁里,大元里,夏田里,仁化里,健民里,塗城里,瑞城里,金城里,東湖里,西湖里,國光里,大明里,永隆里,長榮里,中新里,立德里,仁德里",0028,5,3,42,22,60,132,2,134,0,134,594,728,18.41%
霧峰區,"桐林里,吉峰里,甲寅里,本鄉里,中正里,錦榮里,萊園里,本堂里,坑口里,北柳里,南柳里,四德里,五福里,萬豐里,舊正里,峰谷里,六股里,丁台里,北勢里,南勢里",0029,1,0,50,16,12,79,0,79,0,79,233,312,25.32%
東勢區,"北興里,中寧里,東安里,南平里,延平里,上新里,廣興里,泰昌里,中嵙里,福隆里,隆興里,新盛里,詒福里,上城里,下城里,慶東里,慶福里,東新里,粵寧里,下新里,興隆里,茂興里,泰興里,埤頭里,明正里",0030,2,1,5,5,4,17,0,17,0,17,83,100,17.00%
石岡區,"石岡里,萬安里,九房里,金星里,萬興里,梅子里,德興里,和盛里",0031,0,0,0,0,5,5,1,6,0,6,20,26,23.08%
新社區,"新社里,復盛里,中正里,月湖里,崑山里,大南里,永源里,中興里,協成里,東興里,慶西里,中和里,福興里",0032,1,0,9,8,0,18,0,18,0,18,43,61,29.51%
和平區,"南勢里,天輪里,博愛里",0033,0,1,4,1,15,21,0,21,0,21,59,80,26.25%
和平區,"中坑里,自由里,達觀里",0034,0,4,3,5,2,14,0,14,0,14,35,49,28.57%
和平區,"梨山里,平等里",0035,0,1,4,2,4,11,0,11,0,11,56,67,16.42%
