地區,姓名,號次,性別,出生年次,推薦政黨,得票數,得票率,當選註記,是否現任
臺灣省,黃金文,1,男,1947,民主進步黨,6131,19.90%,,否
臺灣省,楊仁福,2,男,1942,中國國民黨,24680,80.10%,*,是
