地區,姓名,號次,得票數,得票率
宜蘭縣宜蘭市南門里,宋岫書,1,151,39.84%
宜蘭縣宜蘭市南門里,黃定和,2,228,60.15%
宜蘭縣宜蘭市負郭里,宋岫書,1,755,43.36%
宜蘭縣宜蘭市負郭里,黃定和,2,986,56.63%
宜蘭縣宜蘭市民族里,宋岫書,1,618,39.36%
宜蘭縣宜蘭市民族里,黃定和,2,952,60.63%
宜蘭縣宜蘭市建軍里,宋岫書,1,691,41.27%
宜蘭縣宜蘭市建軍里,黃定和,2,983,58.72%
宜蘭縣宜蘭市復興里,宋岫書,1,701,37.26%
宜蘭縣宜蘭市復興里,黃定和,2,1180,62.73%
宜蘭縣宜蘭市思源里,宋岫書,1,1591,39.53%
宜蘭縣宜蘭市思源里,黃定和,2,2433,60.46%
宜蘭縣宜蘭市文化里,宋岫書,1,924,45.78%
宜蘭縣宜蘭市文化里,黃定和,2,1094,54.21%
宜蘭縣宜蘭市神農里,宋岫書,1,147,38.88%
宜蘭縣宜蘭市神農里,黃定和,2,231,61.11%
宜蘭縣宜蘭市民生里,宋岫書,1,170,55.37%
宜蘭縣宜蘭市民生里,黃定和,2,137,44.62%
宜蘭縣宜蘭市昇平里,宋岫書,1,288,57.37%
宜蘭縣宜蘭市昇平里,黃定和,2,214,42.62%
宜蘭縣宜蘭市大東里,宋岫書,1,198,49.00%
宜蘭縣宜蘭市大東里,黃定和,2,206,50.99%
宜蘭縣宜蘭市新興里,宋岫書,1,151,41.59%
宜蘭縣宜蘭市新興里,黃定和,2,212,58.40%
宜蘭縣宜蘭市和睦里,宋岫書,1,579,42.57%
宜蘭縣宜蘭市和睦里,黃定和,2,781,57.42%
宜蘭縣宜蘭市民權里,宋岫書,1,401,37.61%
宜蘭縣宜蘭市民權里,黃定和,2,665,62.38%
宜蘭縣宜蘭市進士里,宋岫書,1,1509,45.53%
宜蘭縣宜蘭市進士里,黃定和,2,1805,54.46%
宜蘭縣宜蘭市南橋里,宋岫書,1,280,54.05%
宜蘭縣宜蘭市南橋里,黃定和,2,238,45.94%
宜蘭縣宜蘭市建業里,宋岫書,1,394,47.69%
宜蘭縣宜蘭市建業里,黃定和,2,432,52.30%
宜蘭縣宜蘭市南津里,宋岫書,1,336,48.62%
宜蘭縣宜蘭市南津里,黃定和,2,355,51.37%
宜蘭縣宜蘭市凱旋里,宋岫書,1,412,49.51%
宜蘭縣宜蘭市凱旋里,黃定和,2,420,50.48%
宜蘭縣宜蘭市黎明里,宋岫書,1,439,42.04%
宜蘭縣宜蘭市黎明里,黃定和,2,605,57.95%
宜蘭縣宜蘭市東村里,宋岫書,1,1214,42.18%
宜蘭縣宜蘭市東村里,黃定和,2,1664,57.81%
宜蘭縣宜蘭市延平里,宋岫書,1,1389,41.87%
宜蘭縣宜蘭市延平里,黃定和,2,1928,58.12%
宜蘭縣宜蘭市七張里,宋岫書,1,492,54.00%
宜蘭縣宜蘭市七張里,黃定和,2,419,45.99%
宜蘭縣宜蘭市慈安里,宋岫書,1,1127,40.16%
宜蘭縣宜蘭市慈安里,黃定和,2,1679,59.83%
宜蘭縣宜蘭市新民里,宋岫書,1,201,47.51%
宜蘭縣宜蘭市新民里,黃定和,2,222,52.48%
宜蘭縣宜蘭市東門里,宋岫書,1,181,52.46%
宜蘭縣宜蘭市東門里,黃定和,2,164,47.53%
宜蘭縣宜蘭市中正里,宋岫書,1,172,42.78%
宜蘭縣宜蘭市中正里,黃定和,2,230,57.21%
宜蘭縣宜蘭市小東里,宋岫書,1,340,38.46%
宜蘭縣宜蘭市小東里,黃定和,2,544,61.53%
宜蘭縣宜蘭市菜園里,宋岫書,1,369,42.31%
宜蘭縣宜蘭市菜園里,黃定和,2,503,57.68%
宜蘭縣宜蘭市孝廉里,宋岫書,1,257,37.13%
宜蘭縣宜蘭市孝廉里,黃定和,2,435,62.86%
宜蘭縣宜蘭市新生里,宋岫書,1,832,51.61%
宜蘭縣宜蘭市新生里,黃定和,2,780,48.38%
宜蘭縣宜蘭市茭白里,宋岫書,1,730,50.31%
宜蘭縣宜蘭市茭白里,黃定和,2,721,49.68%
宜蘭縣宜蘭市北津里,宋岫書,1,592,50.55%
宜蘭縣宜蘭市北津里,黃定和,2,579,49.44%
宜蘭縣宜蘭市梅洲里,宋岫書,1,968,51.40%
宜蘭縣宜蘭市梅洲里,黃定和,2,915,48.59%
宜蘭縣宜蘭市北門里,宋岫書,1,245,43.98%
宜蘭縣宜蘭市北門里,黃定和,2,312,56.01%
宜蘭縣宜蘭市慶和里,宋岫書,1,267,54.82%
宜蘭縣宜蘭市慶和里,黃定和,2,220,45.17%
宜蘭縣宜蘭市鄂王里,宋岫書,1,247,51.03%
宜蘭縣宜蘭市鄂王里,黃定和,2,237,48.96%
宜蘭縣宜蘭市西門里,宋岫書,1,419,49.41%
宜蘭縣宜蘭市西門里,黃定和,2,429,50.58%
宜蘭縣宜蘭市中山里,宋岫書,1,242,48.30%
宜蘭縣宜蘭市中山里,黃定和,2,259,51.69%
宜蘭縣宜蘭市大道里,宋岫書,1,380,40.94%
