地區,姓名,號次,得票數,得票率
臺北市,瓦歷斯．貝林,1,50,4.65%
臺北市,曾華德,2,59,5.48%
臺北市,李秀琴,3,7,0.65%
臺北市,伍新國,4,12,1.12%
臺北市,高金素梅,5,211,19.61%
臺北市,陳道明,6,72,6.69%
臺北市,孔文吉,7,485,45.07%
臺北市,林文生,8,28,2.60%
臺北市,林春德,9,152,14.13%
高雄市,瓦歷斯．貝林,1,27,3.49%
高雄市,曾華德,2,207,26.78%
高雄市,李秀琴,3,3,0.39%
高雄市,伍新國,4,21,2.72%
高雄市,高金素梅,5,235,30.40%
高雄市,陳道明,6,45,5.82%
高雄市,孔文吉,7,101,13.07%
高雄市,林文生,8,14,1.81%
高雄市,林春德,9,120,15.52%
臺北縣,瓦歷斯．貝林,1,164,5.94%
臺北縣,曾華德,2,155,5.61%
臺北縣,李秀琴,3,13,0.47%
臺北縣,伍新國,4,65,2.35%
臺北縣,高金素梅,5,701,25.38%
臺北縣,陳道明,6,218,7.89%
臺北縣,孔文吉,7,726,26.29%
臺北縣,林文生,8,207,7.49%
臺北縣,林春德,9,513,18.57%
宜蘭縣,瓦歷斯．貝林,1,433,9.81%
宜蘭縣,曾華德,2,29,0.66%
宜蘭縣,李秀琴,3,5,0.11%
宜蘭縣,伍新國,4,48,1.09%
宜蘭縣,高金素梅,5,1002,22.70%
宜蘭縣,陳道明,6,204,4.62%
宜蘭縣,孔文吉,7,1534,34.75%
宜蘭縣,林文生,8,497,11.26%
宜蘭縣,林春德,9,662,15.00%
桃園縣,瓦歷斯．貝林,1,354,6.41%
桃園縣,曾華德,2,260,4.71%
桃園縣,李秀琴,3,51,0.92%
桃園縣,伍新國,4,96,1.74%
桃園縣,高金素梅,5,2018,36.55%
桃園縣,陳道明,6,381,6.90%
桃園縣,孔文吉,7,1355,24.54%
桃園縣,林文生,8,329,5.96%
桃園縣,林春德,9,677,12.26%
新竹縣,瓦歷斯．貝林,1,608,11.76%
新竹縣,曾華德,2,28,0.54%
新竹縣,李秀琴,3,39,0.75%
新竹縣,伍新國,4,35,0.68%
新竹縣,高金素梅,5,1570,30.37%
新竹縣,陳道明,6,384,7.43%
新竹縣,孔文吉,7,1349,26.09%
新竹縣,林文生,8,410,7.93%
新竹縣,林春德,9,747,14.45%
苗栗縣,瓦歷斯．貝林,1,399,16.68%
苗栗縣,曾華德,2,18,0.75%
苗栗縣,李秀琴,3,2,0.08%
苗栗縣,伍新國,4,32,1.34%
苗栗縣,高金素梅,5,574,24.00%
苗栗縣,陳道明,6,425,17.77%
苗栗縣,孔文吉,7,496,20.74%
苗栗縣,林文生,8,144,6.02%
苗栗縣,林春德,9,302,12.63%
臺中縣,瓦歷斯．貝林,1,259,8.55%
臺中縣,曾華德,2,112,3.70%
臺中縣,李秀琴,3,3,0.10%
臺中縣,伍新國,4,70,2.31%
臺中縣,高金素梅,5,722,23.82%
臺中縣,陳道明,6,282,9.30%
臺中縣,孔文吉,7,801,26.43%
臺中縣,林文生,8,265,8.74%
臺中縣,林春德,9,517,17.06%
彰化縣,瓦歷斯．貝林,1,20,4.83%
彰化縣,曾華德,2,39,9.42%
彰化縣,李秀琴,3,1,0.24%
彰化縣,伍新國,4,42,10.14%
彰化縣,高金素梅,5,106,25.60%
彰化縣,陳道明,6,28,6.76%
彰化縣,孔文吉,7,124,29.95%
彰化縣,林文生,8,9,2.17%
彰化縣,林春德,9,45,10.87%
南投縣,瓦歷斯．貝林,1,1887,20.14%
南投縣,曾華德,2,75,0.80%
南投縣,李秀琴,3,7,0.07%
南投縣,伍新國,4,1469,15.68%
