地區,姓名,號次,性別,出生年次,推薦政黨,得票數,得票率,當選註記,是否現任
全國,陳水扁|呂秀蓮,1,男|女,1951|1944,民主進步黨,6471970,50.11%,*,是
全國,連戰|宋楚瑜,2,男|男,1936|1942,中國國民黨,6442452,49.89%,,否
