地區,姓名,號次,得票數,得票率
臺北市北投區建民里第0001投開票所,吳炎成,1,1,0.08%
臺北市北投區建民里第0001投開票所,郝龍斌,2,427,36.43%
臺北市北投區建民里第0001投開票所,蕭淑華,3,4,0.34%
臺北市北投區建民里第0001投開票所,吳武明,4,2,0.17%
臺北市北投區建民里第0001投開票所,蘇貞昌,5,738,62.96%
臺北市北投區建民里第0002投開票所,吳炎成,1,1,0.08%
臺北市北投區建民里第0002投開票所,郝龍斌,2,543,45.93%
臺北市北投區建民里第0002投開票所,蕭淑華,3,2,0.16%
臺北市北投區建民里第0002投開票所,吳武明,4,3,0.25%
臺北市北投區建民里第0002投開票所,蘇貞昌,5,633,53.55%
臺北市北投區文林里第0003投開票所,吳炎成,1,0,0.00%
臺北市北投區文林里第0003投開票所,郝龍斌,2,362,43.93%
臺北市北投區文林里第0003投開票所,蕭淑華,3,0,0.00%
臺北市北投區文林里第0003投開票所,吳武明,4,0,0.00%
臺北市北投區文林里第0003投開票所,蘇貞昌,5,462,56.06%
臺北市北投區文林里第0004投開票所,吳炎成,1,1,0.10%
臺北市北投區文林里第0004投開票所,郝龍斌,2,461,49.14%
臺北市北投區文林里第0004投開票所,蕭淑華,3,2,0.21%
臺北市北投區文林里第0004投開票所,吳武明,4,1,0.10%
臺北市北投區文林里第0004投開票所,蘇貞昌,5,473,50.42%
臺北市北投區文林里第0005投開票所,吳炎成,1,1,0.11%
臺北市北投區文林里第0005投開票所,郝龍斌,2,397,46.98%
臺北市北投區文林里第0005投開票所,蕭淑華,3,0,0.00%
臺北市北投區文林里第0005投開票所,吳武明,4,3,0.35%
臺北市北投區文林里第0005投開票所,蘇貞昌,5,444,52.54%
臺北市北投區石牌里第0006投開票所,吳炎成,1,3,0.27%
臺北市北投區石牌里第0006投開票所,郝龍斌,2,540,49.31%
臺北市北投區石牌里第0006投開票所,蕭淑華,3,1,0.09%
臺北市北投區石牌里第0006投開票所,吳武明,4,1,0.09%
臺北市北投區石牌里第0006投開票所,蘇貞昌,5,550,50.22%
臺北市北投區石牌里第0007投開票所,吳炎成,1,2,0.18%
臺北市北投區石牌里第0007投開票所,郝龍斌,2,493,45.81%
臺北市北投區石牌里第0007投開票所,蕭淑華,3,2,0.18%
臺北市北投區石牌里第0007投開票所,吳武明,4,5,0.46%
臺北市北投區石牌里第0007投開票所,蘇貞昌,5,574,53.34%
臺北市北投區石牌里第0008投開票所,吳炎成,1,0,0.00%
臺北市北投區石牌里第0008投開票所,郝龍斌,2,477,45.17%
臺北市北投區石牌里第0008投開票所,蕭淑華,3,1,0.09%
臺北市北投區石牌里第0008投開票所,吳武明,4,2,0.18%
臺北市北投區石牌里第0008投開票所,蘇貞昌,5,576,54.54%
臺北市北投區福興里第0009投開票所,吳炎成,1,1,0.10%
臺北市北投區福興里第0009投開票所,郝龍斌,2,473,48.31%
臺北市北投區福興里第0009投開票所,蕭淑華,3,0,0.00%
臺北市北投區福興里第0009投開票所,吳武明,4,2,0.20%
臺北市北投區福興里第0009投開票所,蘇貞昌,5,503,51.37%
臺北市北投區福興里第0010投開票所,吳炎成,1,1,0.10%
臺北市北投區福興里第0010投開票所,郝龍斌,2,442,44.69%
臺北市北投區福興里第0010投開票所,蕭淑華,3,0,0.00%
臺北市北投區福興里第0010投開票所,吳武明,4,3,0.30%
臺北市北投區福興里第0010投開票所,蘇貞昌,5,543,54.90%
臺北市北投區福興里第0011投開票所,吳炎成,1,1,0.10%
臺北市北投區福興里第0011投開票所,郝龍斌,2,498,50.86%
臺北市北投區福興里第0011投開票所,蕭淑華,3,0,0.00%
臺北市北投區福興里第0011投開票所,吳武明,4,4,0.40%
臺北市北投區福興里第0011投開票所,蘇貞昌,5,476,48.62%
臺北市北投區福興里第0012投開票所,吳炎成,1,2,0.18%
臺北市北投區福興里第0012投開票所,郝龍斌,2,600,55.76%
臺北市北投區福興里第0012投開票所,蕭淑華,3,1,0.09%
臺北市北投區福興里第0012投開票所,吳武明,4,1,0.09%
臺北市北投區福興里第0012投開票所,蘇貞昌,5,472,43.86%
臺北市北投區榮光里第0013投開票所,吳炎成,1,0,0.00%
臺北市北投區榮光里第0013投開票所,郝龍斌,2,432,45.28%
臺北市北投區榮光里第0013投開票所,蕭淑華,3,0,0.00%
臺北市北投區榮光里第0013投開票所,吳武明,4,4,0.41%
臺北市北投區榮光里第0013投開票所,蘇貞昌,5,518,54.29%
臺北市北投區榮光里第0014投開票所,吳炎成,1,2,0.20%
臺北市北投區榮光里第0014投開票所,郝龍斌,2,501,51.22%
臺北市北投區榮光里第0014投開票所,蕭淑華,3,1,0.10%
臺北市北投區榮光里第0014投開票所,吳武明,4,1,0.10%
臺北市北投區榮光里第0014投開票所,蘇貞昌,5,473,48.36%
臺北市北投區榮光里第0015投開票所,吳炎成,1,2,0.18%
臺北市北投區榮光里第0015投開票所,郝龍斌,2,593,53.95%
臺北市北投區榮光里第0015投開票所,蕭淑華,3,0,0.00%
臺北市北投區榮光里第0015投開票所,吳武明,4,0,0.00%
臺北市北投區榮光里第0015投開票所,蘇貞昌,5,504,45.85%
臺北市北投區榮光里第0016投開票所,吳炎成,1,0,0.00%
臺北市北投區榮光里第0016投開票所,郝龍斌,2,606,60.60%
