地區,姓名,號次,性別,出生年次,推薦政黨,得票數,得票率,當選註記,是否現任
連江縣,劉增應,1,男,1958,中國國民黨,4385,66.24%,*,否
連江縣,楊綏生,2,男,1954,中國國民黨,2234,33.75%,,是
金門縣,蘇龍科,1,男,1960,無黨籍及未經政黨推薦,470,1.03%,,否
金門縣,雷由靖,2,男,1961,無黨籍及未經政黨推薦,132,0.29%,,否
金門縣,陳福海,3,男,1963,無黨籍及未經政黨推薦,23965,52.76%,*,否
金門縣,李沃士,4,男,1960,中國國民黨,15146,33.34%,,是
金門縣,汪成華,5,女,1960,教科文預算保障e聯盟,403,0.88%,,否
金門縣,洪志恒,6,男,1968,無黨籍及未經政黨推薦,636,1.40%,,否
金門縣,莊育民,7,男,1970,無黨籍及未經政黨推薦,236,0.51%,,否
金門縣,林水泉,8,男,1948,無黨籍及未經政黨推薦,240,0.52%,,否
金門縣,許乃權,9,男,1956,無黨籍及未經政黨推薦,3834,8.44%,,否
金門縣,楊榮祥,10,男,1953,無黨籍及未經政黨推薦,354,0.77%,,否
宜蘭縣,林聰賢,1,男,1962,民主進步黨,160253,63.95%,*,是
宜蘭縣,邱淑媞,2,女,1962,中國國民黨,90320,36.04%,,否
新竹縣,葉芳棟,1,男,1969,無黨籍及未經政黨推薦,15699,5.92%,,否
新竹縣,邱鏡淳,2,男,1949,中國國民黨,124309,46.94%,*,是
新竹縣,鄭永金,3,男,1949,無黨籍及未經政黨推薦,118698,44.82%,,否
新竹縣,莊作兵,4,男,1933,無黨籍及未經政黨推薦,6115,2.30%,,否
苗栗縣,徐耀昌,1,男,1955,中國國民黨,147547,46.59%,*,否
苗栗縣,康世儒,2,男,1964,無黨籍及未經政黨推薦,60356,19.06%,,否
苗栗縣,江明修,3,男,1959,無黨籍及未經政黨推薦,14978,4.72%,,否
苗栗縣,陳淑芬,4,女,1960,無黨籍及未經政黨推薦,2137,0.67%,,否
苗栗縣,曾國良,5,男,1962,無黨籍及未經政黨推薦,1807,0.57%,,否
苗栗縣,吳宜臻,6,女,1970,民主進步黨,89838,28.37%,,否
彰化縣,黃文玲,1,女,1969,無黨籍及未經政黨推薦,37593,5.22%,,否
彰化縣,洪敏雄,2,男,1961,無黨籍及未經政黨推薦,10674,1.48%,,否
彰化縣,魏明谷,3,男,1963,民主進步黨,386405,53.71%,*,否
彰化縣,林滄敏,4,男,1958,中國國民黨,284738,39.57%,,否
南投縣,李文忠,1,男,1958,民主進步黨,143719,49.03%,,否
南投縣,林明溱,2,男,1951,中國國民黨,149361,50.96%,*,否
雲林縣,張麗善,1,女,1964,中國國民黨,175862,43.02%,,否
雲林縣,李進勇,2,男,1951,民主進步黨,232900,56.97%,*,否
嘉義縣,黃宏成台灣阿成世界偉人,1,男,1968,無黨籍及未經政黨推薦,8639,2.81%,,否
嘉義縣,張花冠,2,女,1954,民主進步黨,193399,63.09%,*,是
嘉義縣,翁重鈞,3,男,1955,中國國民黨,104488,34.08%,,否
屏東縣,簡太郎,1,男,1947,中國國民黨,182027,37.07%,,否
屏東縣,潘孟安,2,男,1963,民主進步黨,308953,62.92%,*,否
臺東縣,劉櫂豪,1,男,1967,民主進步黨,53860,45.59%,,否
臺東縣,黃健庭,2,男,1959,中國國民黨,64272,54.40%,*,是
花蓮縣,傅崐萁,1,男,1962,無黨籍及未經政黨推薦,89048,56.52%,*,是
花蓮縣,徐榛蔚,2,女,1968,無黨籍及未經政黨推薦,5436,3.45%,,否
花蓮縣,黄師鵬,3,男,1957,無黨籍及未經政黨推薦,2369,1.50%,,否
花蓮縣,柯賜海,4,男,1956,無黨籍及未經政黨推薦,14954,9.49%,,否
花蓮縣,朱國華,5,男,1959,無黨籍及未經政黨推薦,2218,1.40%,,否
花蓮縣,蔡啟塔,6,男,1958,中國國民黨,43504,27.61%,,否
澎湖縣,陳光復,1,男,1955,民主進步黨,29164,55.34%,*,否
澎湖縣,蘇崑雄,2,男,1956,中國國民黨,23533,44.65%,,否
基隆市,謝立功,1,男,1961,中國國民黨,52198,27.46%,,否
基隆市,黃景泰,2,男,1965,無黨籍及未經政黨推薦,30914,16.26%,,否
基隆市,林右昌,3,男,1971,民主進步黨,101010,53.15%,*,否
基隆市,何燕堂,4,男,1965,人民民主陣線,1376,0.72%,,否
基隆市,吳武明,5,男,1957,無黨籍及未經政黨推薦,2023,1.06%,,否
基隆市,江鑒育,6,男,1960,無黨籍及未經政黨推薦,2517,1.32%,,否
新竹市,劉正幸,1,男,1955,無黨籍及未經政黨推薦,1914,0.95%,,否
新竹市,許明財,2,男,1953,中國國民黨,75564,37.85%,,是
新竹市,蔡仁堅,3,男,1952,無黨籍及未經政黨推薦,40480,20.27%,,否
新竹市,林智堅,4,男,1975,民主進步黨,76578,38.35%,*,否
新竹市,吳淑敏,5,女,1965,無黨籍及未經政黨推薦,5101,2.55%,,否
嘉義市,陳秀麗,1,女,1948,無黨籍及未經政黨推薦,633,0.43%,,否
嘉義市,陳泰山,2,男,1949,無黨籍及未經政黨推薦,786,0.54%,,否
嘉義市,陳以真,3,女,1977,中國國民黨,66108,45.49%,,否
嘉義市,涂醒哲,4,男,1951,民主進步黨,74698,51.40%,*,否
嘉義市,許文建,5,男,1960,無黨籍及未經政黨推薦,330,0.22%,,否
嘉義市,林詩涵,6,女,1981,人民民主陣線,2747,1.89%,,否
