地區,姓名,號次,得票數,得票率
臺北縣板橋市留侯里,黃福卿,1,3,0.38%
臺北縣板橋市留侯里,周錫瑋,2,455,57.81%
臺北縣板橋市留侯里,陳誠鈞,3,1,0.13%
臺北縣板橋市留侯里,陳俊傑,4,1,0.13%
臺北縣板橋市留侯里,羅文嘉,5,327,41.55%
臺北縣板橋市留侯里,黃茂全,6,0,0.00%
臺北縣板橋市流芳里,黃福卿,1,3,0.39%
臺北縣板橋市流芳里,周錫瑋,2,401,51.54%
臺北縣板橋市流芳里,陳誠鈞,3,0,0.00%
臺北縣板橋市流芳里,陳俊傑,4,3,0.39%
臺北縣板橋市流芳里,羅文嘉,5,371,47.69%
臺北縣板橋市流芳里,黃茂全,6,0,0.00%
臺北縣板橋市赤松里,黃福卿,1,4,0.82%
臺北縣板橋市赤松里,周錫瑋,2,274,56.26%
臺北縣板橋市赤松里,陳誠鈞,3,0,0.00%
臺北縣板橋市赤松里,陳俊傑,4,0,0.00%
臺北縣板橋市赤松里,羅文嘉,5,209,42.92%
臺北縣板橋市赤松里,黃茂全,6,0,0.00%
臺北縣板橋市黃石里,黃福卿,1,0,0.00%
臺北縣板橋市黃石里,周錫瑋,2,363,50.28%
臺北縣板橋市黃石里,陳誠鈞,3,1,0.14%
臺北縣板橋市黃石里,陳俊傑,4,1,0.14%
臺北縣板橋市黃石里,羅文嘉,5,357,49.45%
臺北縣板橋市黃石里,黃茂全,6,0,0.00%
臺北縣板橋市挹秀里,黃福卿,1,3,0.29%
臺北縣板橋市挹秀里,周錫瑋,2,673,64.53%
臺北縣板橋市挹秀里,陳誠鈞,3,0,0.00%
臺北縣板橋市挹秀里,陳俊傑,4,2,0.19%
臺北縣板橋市挹秀里,羅文嘉,5,365,35.00%
臺北縣板橋市挹秀里,黃茂全,6,0,0.00%
臺北縣板橋市湳興里,黃福卿,1,7,0.27%
臺北縣板橋市湳興里,周錫瑋,2,1396,53.75%
臺北縣板橋市湳興里,陳誠鈞,3,3,0.12%
臺北縣板橋市湳興里,陳俊傑,4,6,0.23%
臺北縣板橋市湳興里,羅文嘉,5,1182,45.51%
臺北縣板橋市湳興里,黃茂全,6,3,0.12%
臺北縣板橋市新興里,黃福卿,1,8,0.49%
臺北縣板橋市新興里,周錫瑋,2,861,52.28%
臺北縣板橋市新興里,陳誠鈞,3,1,0.06%
臺北縣板橋市新興里,陳俊傑,4,2,0.12%
臺北縣板橋市新興里,羅文嘉,5,775,47.06%
臺北縣板橋市新興里,黃茂全,6,0,0.00%
臺北縣板橋市社後里,黃福卿,1,8,0.24%
臺北縣板橋市社後里,周錫瑋,2,1718,52.23%
臺北縣板橋市社後里,陳誠鈞,3,4,0.12%
臺北縣板橋市社後里,陳俊傑,4,5,0.15%
臺北縣板橋市社後里,羅文嘉,5,1551,47.16%
臺北縣板橋市社後里,黃茂全,6,3,0.09%
臺北縣板橋市香社里,黃福卿,1,5,0.21%
臺北縣板橋市香社里,周錫瑋,2,1149,48.40%
臺北縣板橋市香社里,陳誠鈞,3,1,0.04%
臺北縣板橋市香社里,陳俊傑,4,4,0.17%
臺北縣板橋市香社里,羅文嘉,5,1211,51.01%
臺北縣板橋市香社里,黃茂全,6,4,0.17%
臺北縣板橋市香雅里,黃福卿,1,2,0.13%
臺北縣板橋市香雅里,周錫瑋,2,791,52.11%
臺北縣板橋市香雅里,陳誠鈞,3,0,0.00%
臺北縣板橋市香雅里,陳俊傑,4,4,0.26%
臺北縣板橋市香雅里,羅文嘉,5,718,47.30%
臺北縣板橋市香雅里,黃茂全,6,3,0.20%
臺北縣板橋市中正里,黃福卿,1,3,0.13%
臺北縣板橋市中正里,周錫瑋,2,1237,53.00%
臺北縣板橋市中正里,陳誠鈞,3,2,0.09%
臺北縣板橋市中正里,陳俊傑,4,2,0.09%
臺北縣板橋市中正里,羅文嘉,5,1089,46.66%
臺北縣板橋市中正里,黃茂全,6,1,0.04%
臺北縣板橋市自強里,黃福卿,1,7,0.22%
臺北縣板橋市自強里,周錫瑋,2,2076,65.82%
臺北縣板橋市自強里,陳誠鈞,3,4,0.13%
臺北縣板橋市自強里,陳俊傑,4,5,0.16%
臺北縣板橋市自強里,羅文嘉,5,1062,33.67%
臺北縣板橋市自強里,黃茂全,6,0,0.00%
臺北縣板橋市自立里,黃福卿,1,3,0.18%
臺北縣板橋市自立里,周錫瑋,2,841,49.30%
臺北縣板橋市自立里,陳誠鈞,3,2,0.12%
臺北縣板橋市自立里,陳俊傑,4,2,0.12%
臺北縣板橋市自立里,羅文嘉,5,858,50.29%
