地區,姓名,號次,性別,出生年次,推薦政黨,得票數,得票率,當選註記,是否現任
臺北市,李應元,1,男,1953,民主進步黨,488811,35.89%,,否
臺北市,馬英九,2,男,1950,中國國民黨,873102,64.11%,*,是
高雄市,施明德,1,男,1941,無,8777,1.14%,,否
高雄市,張博雅,2,女,1942,無,13527,1.75%,,否
高雄市,黃天生,3,男,1946,無,2013,0.26%,,否
高雄市,黃俊英,4,男,1941,中國國民黨,362437,46.94%,,否
高雄市,謝長廷,5,男,1946,民主進步黨,387247,50.15%,*,是
