地區,姓名,號次,性別,出生年次,推薦政黨,得票數,得票率,當選註記,是否現任
連江縣第01選區,朱秀平,1,男,1961,中國國民黨,369,9.84%,,否
連江縣第01選區,林貽祥,2,男,1959,中國國民黨,526,14.03%,*,否
連江縣第01選區,曹以標,3,男,1963,無黨籍及未經政黨推薦,681,18.17%,*,是
連江縣第01選區,林惠萍,4,女,1973,中國國民黨,314,8.38%,,是
連江縣第01選區,林明揚,5,男,1963,中國國民黨,487,12.99%,*,否
連江縣第01選區,陳書建,6,男,1957,中國國民黨,445,11.87%,*,否
連江縣第01選區,曹丞君,7,女,1976,無黨籍及未經政黨推薦,491,13.10%,*,是
連江縣第01選區,曹爾章,8,男,1970,中國國民黨,434,11.58%,,是
連江縣第02選區,陳貴忠,1,男,1961,中國國民黨,438,33.43%,*,是
連江縣第02選區,王長明,2,男,1958,無黨籍及未經政黨推薦,394,30.07%,,是
連江縣第02選區,周瑞國,3,男,1969,中國國民黨,478,36.48%,*,否
連江縣第03選區,柯玉官,1,男,1953,中國國民黨,309,39.92%,,否
連江縣第03選區,陳貽斌,2,男,1969,中國國民黨,465,60.07%,*,否
連江縣第04選區,張永江,1,男,1960,無黨籍及未經政黨推薦,490,60.56%,*,是
連江縣第04選區,馮印才,2,男,1962,無黨籍及未經政黨推薦,319,39.43%,,否
金門縣第01選區,許玉昭,1,女,1965,中國國民黨,1804,7.29%,*,是
金門縣第01選區,許建中,2,男,1962,中國國民黨,1372,5.54%,,是
金門縣第01選區,陳滄江,3,男,1955,民主進步黨,1491,6.02%,*,是
金門縣第01選區,楊萬山,4,男,1967,中國國民黨,1749,7.06%,*,否
金門縣第01選區,林孫全,5,男,1952,中國國民黨,1597,6.45%,*,是
金門縣第01選區,李誠智,6,男,1976,中國國民黨,1525,6.16%,*,是
金門縣第01選區,李錫添,7,男,1966,中國國民黨,1247,5.03%,,否
金門縣第01選區,許華玉,8,女,1954,中國國民黨,2174,8.78%,*,是
金門縣第01選區,黃啓璋,9,男,1961,無黨籍及未經政黨推薦,69,0.27%,,否
金門縣第01選區,楊永立,10,男,1959,中國國民黨,1662,6.71%,*,是
金門縣第01選區,陳衍利,11,女,1975,中國國民黨,430,1.73%,,否
金門縣第01選區,歐陽儀雄,12,男,1973,中國國民黨,1567,6.33%,*,否
金門縣第01選區,翁銘駿,13,男,1983,中國國民黨,639,2.58%,,否
金門縣第01選區,許志猛,14,男,1974,無黨籍及未經政黨推薦,853,3.44%,,否
金門縣第01選區,廖進入,15,男,1960,中國國民黨,194,0.78%,,否
金門縣第01選區,王碧珍,16,女,1959,無黨籍及未經政黨推薦,1361,5.50%,,是
金門縣第01選區,洪允典,17,男,1952,中國國民黨,1254,5.06%,,否
金門縣第01選區,石永城,18,男,1973,無黨籍及未經政黨推薦,2177,8.79%,*,否
金門縣第01選區,唐麗輝,19,女,1957,無黨籍及未經政黨推薦,1578,6.37%,*,是
金門縣第02選區,張雲德,1,男,1953,中國國民黨,1628,9.98%,*,否
金門縣第02選區,陳美雲,2,女,1952,無黨籍及未經政黨推薦,935,5.73%,,否
金門縣第02選區,蔡其賀,3,男,1966,無黨籍及未經政黨推薦,202,1.23%,,否
金門縣第02選區,周子傑,4,男,1973,中國國民黨,1922,11.78%,*,是
金門縣第02選區,謝東龍,5,男,1970,中國國民黨,1764,10.81%,*,是
金門縣第02選區,蔡春生,6,男,1954,中國國民黨,2163,13.26%,*,是
金門縣第02選區,徐鴻義,7,男,1960,無黨籍及未經政黨推薦,800,4.90%,,否
