地區,姓名,號次,性別,出生年次,推薦政黨,得票數,得票率,當選註記,是否現任
全國,蔡英文|蘇嘉全,1,女|男,1956|1956,民主進步黨,6093578,45.63%,,否
全國,馬英九|吳敦義,2,男|男,1950|1948,中國國民黨,6891139,51.60%,*,是
全國,宋楚瑜|林瑞雄,3,男|男,1942|1940,無黨籍及未經政黨推薦,369588,2.76%,,否
