地區,姓名,號次,性別,出生年次,推薦政黨,得票數,得票率,當選註記,是否現任
高雄市茂林區,謝進財,1,男,1959,中國國民黨,410,31.66%,,否
高雄市茂林區,施貴成,2,男,1954,無黨籍及未經政黨推薦,369,28.49%,,否
高雄市茂林區,"宋能正 Angopaw．Komola",3,男,1957,中國國民黨,516,39.84%,*,否
高雄市桃源區,張德政,1,男,1972,台灣第一民族黨,411,15.74%,,否
高雄市桃源區,謝英雄,2,男,1958,中國國民黨,1200,45.95%,*,否
高雄市桃源區,高豫,3,男,1960,無黨籍及未經政黨推薦,1000,38.29%,,否
高雄市那瑪夏區,"白樣‧伊斯理鍛 Payan‧Islituan",1,男,1961,無黨籍及未經政黨推薦,891,45.18%,,否
高雄市那瑪夏區,"徐出世 Dahu‧Istanda",2,男,1975,台灣第一民族黨,1081,54.81%,*,否
新北市烏來區,周守信,1,男,1957,無黨籍及未經政黨推薦,554,14.67%,,否
新北市烏來區,高富貫,2,男,1942,無黨籍及未經政黨推薦,1700,45.03%,*,否
新北市烏來區,林啟明,3,男,1962,無黨籍及未經政黨推薦,267,7.07%,,否
新北市烏來區,張德勝,4,男,1959,無黨籍及未經政黨推薦,322,8.52%,,否
新北市烏來區,蔡馬新,5,男,1951,無黨籍及未經政黨推薦,932,24.68%,,否
臺中市和平區,吳萬福,1,男,1958,中國國民黨,2317,33.82%,,否
臺中市和平區,林建堂,2,男,1954,中國國民黨,2566,37.46%,*,否
臺中市和平區,陳文書,3,男,1956,中國國民黨,1966,28.70%,,否
桃園市復興區,陽國榮,1,男,1976,無黨籍及未經政黨推薦,338,5.44%,,否
桃園市復興區,曾志湘,2,男,1957,中國國民黨,1886,30.36%,,否
桃園市復興區,陳子瀅,3,女,1968,中國國民黨,1132,18.22%,,否
桃園市復興區,范振興,4,男,1955,無黨籍及未經政黨推薦,2856,45.97%,*,否
