地區,姓名,號次,性別,出生年次,推薦政黨,得票數,得票率,當選註記,是否現任
臺北市第07選區,馬耀．谷木,1,男,1957,民主進步黨,754,20.42%,,否
臺北市第07選區,李芳儒,2,男,1969,中國國民黨,2937,79.57%,*,是
高雄市第12選區,俄鄧‧殷艾Eteng‧Ingay,1,男,1965,民主進步黨,2590,59.92%,*,是
高雄市第12選區,王義雄,2,男,1960,中國國民黨,1732,40.07%,,否
新北市第11選區,宋雨蓁Nikar‧Falong,1,女,1981,中國國民黨,3065,25.20%,*,否
新北市第11選區,夷將‧拔路兒Icyang‧Parod,2,男,1960,民主進步黨,2407,19.79%,*,是
新北市第11選區,楊春妹,3,女,1961,中國國民黨,3459,28.45%,*,是
新北市第11選區,張天明,4,男,1958,無黨籍及未經政黨推薦,213,1.75%,,否
新北市第11選區,陳家梅,5,女,1963,中國國民黨,1358,11.16%,,否
新北市第11選區,忠仁‧達祿斯,6,男,1961,中國國民黨,1656,13.62%,,是
臺中市第15選區,陳建民,1,男,1962,無黨籍及未經政黨推薦,797,17.68%,,否
臺中市第15選區,林沛容,2,女,1958,中國國民黨,1050,23.29%,,否
臺中市第15選區,周金龍,3,男,1967,無黨籍及未經政黨推薦,216,4.79%,,否
臺中市第15選區,陳天斯,4,男,1954,無黨籍及未經政黨推薦,272,6.03%,,否
臺中市第15選區,温建華,5,男,1956,中國國民黨,715,15.86%,,否
臺中市第15選區,洪金福,6,男,1951,親民黨,1457,32.32%,*,是
臺南市第17選區,蔡玉枝,1,女,1949,中國國民黨,669,54.74%,*,是
臺南市第17選區,陳肇元,2,男,1978,中國國民黨,279,22.83%,,否
臺南市第17選區,李美素,3,女,1969,民主進步黨,274,22.42%,,否
桃園市第13選區,林永財,1,男,1966,無黨籍及未經政黨推薦,864,7.09%,,否
桃園市第13選區,王仙蓮,2,女,1966,中國國民黨,1589,13.05%,,否
桃園市第13選區,楊進福,3,男,1957,中國國民黨,2630,21.60%,*,否
桃園市第13選區,林金來,4,男,1958,無黨籍及未經政黨推薦,847,6.95%,,否
桃園市第13選區,林景騰,5,男,1964,無黨籍及未經政黨推薦,533,4.37%,,否
桃園市第13選區,洪國彰,6,男,1959,無黨籍及未經政黨推薦,1504,12.35%,,否
桃園市第13選區,吳春芳,7,女,1957,中國國民黨,2159,17.73%,*,否
桃園市第13選區,林志強,8,男,1974,無黨籍及未經政黨推薦,2049,16.82%,*,否
