地區,姓名,號次,性別,出生年次,推薦政黨,得票數,得票率,當選註記,是否現任
全國,陳履安|王清峰,1,男|女,1937|1952,連署,1074044,9.98%,,否
全國,李登輝|連戰,2,男|男,1923|1936,中國國民黨,5813699,54.00%,*,是
全國,彭明敏|謝長廷,3,男|男,1923|1946,民主進步黨,2274586,21.13%,,否
全國,林洋港|郝柏村,4,男|男,1927|1919,連署,1603790,14.90%,,否
