地區,姓名,號次,性別,出生年次,推薦政黨,得票數,得票率,當選註記,是否現任
全國,謝長廷|蘇貞昌,1,男|男,1946|1947,民主進步黨,5444949,41.55%,,否
全國,馬英九|蕭萬長,2,男|男,1950|1939,中國國民黨,7659014,58.44%,*,否
