地區,姓名,號次,得票數,得票率
臺北市松山區莊敬里第0522投開票所,張國華,1,445,41.43%
臺北市松山區莊敬里第0522投開票所,劉美鳳,2,629,58.56%
臺北市松山區莊敬里第0523投開票所,張國華,1,445,43.58%
臺北市松山區莊敬里第0523投開票所,劉美鳳,2,576,56.41%
臺北市松山區莊敬里第0524投開票所,張國華,1,355,34.70%
臺北市松山區莊敬里第0524投開票所,劉美鳳,2,668,65.29%
臺北市松山區東榮里第0525投開票所,鄭玉梅,1,798,100.00%
臺北市松山區東榮里第0526投開票所,鄭玉梅,1,750,100.00%
臺北市松山區東榮里第0527投開票所,鄭玉梅,1,842,100.00%
臺北市松山區東榮里第0528投開票所,鄭玉梅,1,810,100.00%
臺北市松山區東榮里第0529投開票所,鄭玉梅,1,736,100.00%
臺北市松山區三民里第0530投開票所,謝翠鈴,1,925,100.00%
臺北市松山區三民里第0531投開票所,謝翠鈴,1,729,100.00%
臺北市松山區三民里第0532投開票所,謝翠鈴,1,843,100.00%
臺北市松山區三民里第0533投開票所,謝翠鈴,1,773,100.00%
臺北市松山區新益里第0534投開票所,吳美貞,1,661,66.63%
臺北市松山區新益里第0534投開票所,林寶錢,2,331,33.36%
臺北市松山區新益里第0535投開票所,吳美貞,1,626,64.46%
臺北市松山區新益里第0535投開票所,林寶錢,2,345,35.53%
臺北市松山區新益里第0536投開票所,吳美貞,1,624,65.61%
臺北市松山區新益里第0536投開票所,林寶錢,2,327,34.38%
臺北市松山區富錦里第0537投開票所,王文甫,1,837,100.00%
臺北市松山區富錦里第0538投開票所,王文甫,1,829,100.00%
臺北市松山區富錦里第0539投開票所,王文甫,1,641,100.00%
臺北市松山區新東里第0540投開票所,華國雄,1,845,100.00%
臺北市松山區新東里第0541投開票所,華國雄,1,785,100.00%
臺北市松山區新東里第0542投開票所,華國雄,1,825,100.00%
臺北市松山區富泰里第0543投開票所,吳學毅,1,771,100.00%
臺北市松山區富泰里第0544投開票所,吳學毅,1,808,100.00%
臺北市松山區富泰里第0545投開票所,吳學毅,1,739,100.00%
臺北市松山區介壽里第0546投開票所,蔡錦文,1,428,52.19%
臺北市松山區介壽里第0546投開票所,林玉琴,2,392,47.80%
臺北市松山區介壽里第0547投開票所,蔡錦文,1,440,54.52%
臺北市松山區介壽里第0547投開票所,林玉琴,2,367,45.47%
臺北市松山區介壽里第0548投開票所,蔡錦文,1,392,43.84%
臺北市松山區介壽里第0548投開票所,林玉琴,2,502,56.15%
臺北市松山區精忠里第0549投開票所,湯忠正,1,402,51.87%
臺北市松山區精忠里第0549投開票所,廖世雄,2,125,16.12%
臺北市松山區精忠里第0549投開票所,闕壯幸,3,248,32.00%
臺北市松山區精忠里第0550投開票所,湯忠正,1,489,58.35%
臺北市松山區精忠里第0550投開票所,廖世雄,2,177,21.12%
臺北市松山區精忠里第0550投開票所,闕壯幸,3,172,20.52%
臺北市松山區精忠里第0551投開票所,湯忠正,1,397,52.86%
臺北市松山區精忠里第0551投開票所,廖世雄,2,118,15.71%
臺北市松山區精忠里第0551投開票所,闕壯幸,3,236,31.42%
臺北市松山區東光里第0552投開票所,許秀雲,1,603,60.48%
臺北市松山區東光里第0552投開票所,蔡皓,2,394,39.51%
臺北市松山區東光里第0553投開票所,許秀雲,1,651,61.12%
臺北市松山區東光里第0553投開票所,蔡皓,2,414,38.87%
臺北市松山區東光里第0554投開票所,許秀雲,1,661,65.57%
臺北市松山區東光里第0554投開票所,蔡皓,2,347,34.42%
臺北市松山區東光里第0555投開票所,許秀雲,1,593,60.32%
臺北市松山區東光里第0555投開票所,蔡皓,2,390,39.67%
臺北市松山區龍田里第0556投開票所,袁俊麒,1,778,100.00%
臺北市松山區龍田里第0557投開票所,袁俊麒,1,761,100.00%
臺北市松山區龍田里第0558投開票所,袁俊麒,1,795,100.00%
臺北市松山區龍田里第0559投開票所,袁俊麒,1,691,100.00%
臺北市松山區龍田里第0560投開票所,袁俊麒,1,862,100.00%
臺北市松山區龍田里第0561投開票所,袁俊麒,1,784,100.00%
臺北市松山區東昌里第0562投開票所,陳志明,1,634,100.00%
臺北市松山區東昌里第0563投開票所,陳志明,1,615,100.00%
臺北市松山區東勢里第0564投開票所,張謙銘,1,258,32.37%
臺北市松山區東勢里第0564投開票所,王叔珍,2,539,67.62%
臺北市松山區東勢里第0565投開票所,張謙銘,1,278,31.77%
臺北市松山區東勢里第0565投開票所,王叔珍,2,597,68.22%
臺北市松山區東勢里第0566投開票所,張謙銘,1,239,29.91%
臺北市松山區東勢里第0566投開票所,王叔珍,2,560,70.08%
臺北市松山區中華里第0567投開票所,游吉興,1,681,100.00%
臺北市松山區中華里第0568投開票所,游吉興,1,872,100.00%
臺北市松山區中華里第0569投開票所,游吉興,1,839,100.00%
臺北市松山區中華里第0570投開票所,游吉興,1,669,100.00%
臺北市松山區民有里第0571投開票所,江永華,1,595,65.81%
臺北市松山區民有里第0571投開票所,黃詩伯,2,309,34.18%
臺北市松山區民有里第0572投開票所,江永華,1,782,73.15%
臺北市松山區民有里第0572投開票所,黃詩伯,2,287,26.84%
臺北市松山區民有里第0573投開票所,江永華,1,592,63.86%
