地區,姓名,號次,性別,出生年次,推薦政黨,得票數,得票率,當選註記,是否現任
臺北縣第十一選區,宋進財,1,男,1950,中國國民黨,2506,62.92%,*,是
臺北縣第十一選區,張天明,2,男,1958,無,475,11.93%,,否
臺北縣第十一選區,豐祥瑞,3,男,1939,無,1002,25.16%,,否
桃園縣第十三選區,洪國治,1,男,1962,中國國民黨,910,22.74%,*,否
桃園縣第十三選區,吳春芳,2,女,1957,中國國民黨,1271,31.77%,*,否
桃園縣第十三選區,林明德,3,男,1941,中國國民黨,906,22.64%,,是
桃園縣第十三選區,林致百,4,男,1947,民主進步黨,239,5.97%,,否
桃園縣第十三選區,伍捻田,5,男,1941,無,198,4.95%,,否
桃園縣第十三選區,莊林福,6,男,1960,中國國民黨,477,11.92%,,否
苗栗縣第七選區,打赫史.達印.改擺刨,1,男,1955,無,436,35.10%,,否
苗栗縣第七選區,章運金,2,男,1959,中國國民黨,806,64.90%,*,是
臺中縣第八選區,洪金福,1,男,1951,無,497,46.45%,,否
臺中縣第八選區,陳文書,2,男,1956,中國國民黨,573,53.55%,*,是
高雄縣第九選區,柳冠賢,1,男,1949,中國國民黨,54,7.48%,,否
高雄縣第九選區,石天賜,2,男,1957,無,90,12.47%,,否
高雄縣第九選區,陳萬義,3,男,1950,中國國民黨,157,21.75%,,否
高雄縣第九選區,張美惠,4,女,1948,中國國民黨,49,6.79%,,否
高雄縣第九選區,洪天盛,5,男,1958,中國國民黨,168,23.27%,*,否
高雄縣第九選區,曾月娥,6,女,1941,中國國民黨,64,8.86%,,否
高雄縣第九選區,詹金福,7,男,1949,中國國民黨,140,19.39%,,否
屏東縣第八選區,潘坤福,1,男,1957,無,538,45.59%,,否
屏東縣第八選區,潘健一,2,男,1943,中國國民黨,642,54.41%,*,是
臺東縣第六選區,高清峰,1,男,1958,中國國民黨,1440,23.67%,*,否
臺東縣第六選區,周蘭妹,2,女,1954,無,301,4.95%,,否
臺東縣第六選區,王清堅,3,男,1952,中國國民黨,1485,24.41%,*,否
臺東縣第六選區,陳藍姆洛,4,男,1949,無,981,16.12%,,否
臺東縣第六選區,郭玉明,5,男,1957,中國國民黨,825,13.56%,,是
臺東縣第六選區,江登輝,6,男,1938,中國國民黨,1052,17.29%,,否
臺東縣第七選區,謝進福,1,男,1958,中國國民黨,1004,18.51%,,是
臺東縣第七選區,蔡義勇,2,男,1956,中國國民黨,1222,22.53%,*,否
臺東縣第七選區,尤勇成,3,男,1944,中國國民黨,865,15.94%,,否
臺東縣第七選區,王福源,4,男,1953,中國國民黨,791,14.58%,,是
臺東縣第七選區,余明德,5,男,1960,中國國民黨,509,9.38%,,否
臺東縣第七選區,潘村雲,6,男,1941,中國國民黨,1034,19.06%,*,否
臺東縣第八選區,林錦章,1,男,1955,無,900,33.49%,,否
臺東縣第八選區,高源治,2,男,1952,無,353,13.14%,,否
臺東縣第八選區,林光雄,3,男,1955,中國國民黨,1434,53.37%,*,是
臺東縣第九選區,莊基文,1,男,1958,中國國民黨,1757,21.05%,*,否
臺東縣第九選區,林富雄,2,男,1950,中國國民黨,1049,12.57%,*,否
臺東縣第九選區,吳天福,3,男,1943,中國國民黨,1005,12.04%,,是
臺東縣第九選區,楊繡穗,4,女,1959,中國國民黨,1194,14.30%,*,是
臺東縣第九選區,余文博,5,男,1960,中國國民黨,564,6.76%,,否
臺東縣第九選區,溫美倫,6,女,1968,無,708,8.48%,,否
臺東縣第九選區,唐武傳,7,男,1958,中國國民黨,1040,12.46%,,否
臺東縣第九選區,蘇冠銘,8,男,1945,中國國民黨,1031,12.35%,,否
花蓮縣第五選區,高仁昌,1,男,1947,中國國民黨,802,12.67%,,否
花蓮縣第五選區,向福來,2,男,1958,中國國民黨,1143,18.06%,,否
花蓮縣第五選區,周金正,3,男,1949,中國國民黨,1068,16.88%,,否
花蓮縣第五選區,王清山,4,男,1950,中國國民黨,586,9.26%,,否
花蓮縣第五選區,周利根,5,男,1953,中國國民黨,1481,23.40%,*,否
花蓮縣第五選區,曾玉霞,6,女,1947,中國國民黨,1248,19.72%,*,是
花蓮縣第六選區,林榮元,1,男,1949,民主進步黨,499,6.03%,,否
花蓮縣第六選區,林勝智,2,男,1944,中國國民黨,1557,18.82%,*,否
花蓮縣第六選區,高金萬,3,男,1943,中國國民黨,937,11.33%,,否
花蓮縣第六選區,黃清喜,4,男,1931,中國國民黨,796,9.62%,,否
花蓮縣第六選區,黃新福,5,男,1951,無,835,10.09%,,否
花蓮縣第六選區,高文成,6,男,1953,中國國民黨,773,9.34%,,否
花蓮縣第六選區,楊德金,7,男,1946,中國國民黨,1356,16.39%,*,是
花蓮縣第六選區,溫錦泉,8,男,1948,中國台灣原住民黨,330,3.99%,,否
花蓮縣第六選區,孫永昌,9,男,1945,中國國民黨,1190,14.38%,*,是
花蓮縣第七選區,陳慶富,1,男,1939,中國國民黨,1179,22.44%,*,是
花蓮縣第七選區,葉志生,2,男,1953,中國國民黨,1326,25.23%,*,是
花蓮縣第七選區,都元俊,3,男,1945,中國國民黨,494,9.40%,,否
花蓮縣第七選區,黃寬亮,4,男,1945,中國國民黨,796,15.15%,,否
花蓮縣第七選區,游菊妹,5,女,1955,民主進步黨,112,2.13%,,否
花蓮縣第七選區,陳英妹,6,女,1950,中國國民黨,734,13.97%,,否
花蓮縣第七選區,林文治,7,男,1934,中國國民黨,614,11.68%,,否
基隆市第八選區,馬賢生,1,男,1955,中國國民黨,965,54.67%,*,是
基隆市第八選區,陳明建,2,男,1962,無,800,45.33%,,否
