地區,姓名,號次,得票數,得票率
臺北市第07選區北投區建民里,萬美芳,1,0,0.00%
臺北市第07選區北投區建民里,林照玉,2,0,0.00%
臺北市第07選區北投區建民里,李芳儒,3,6,85.71%
臺北市第07選區北投區建民里,祿子．高露,4,1,14.28%
臺北市第07選區北投區文林里,萬美芳,1,0,0.00%
臺北市第07選區北投區文林里,林照玉,2,0,0.00%
臺北市第07選區北投區文林里,李芳儒,3,1,100.00%
臺北市第07選區北投區文林里,祿子．高露,4,0,0.00%
臺北市第07選區北投區石牌里,萬美芳,1,1,11.11%
臺北市第07選區北投區石牌里,林照玉,2,3,33.33%
臺北市第07選區北投區石牌里,李芳儒,3,3,33.33%
臺北市第07選區北投區石牌里,祿子．高露,4,2,22.22%
臺北市第07選區北投區福興里,萬美芳,1,2,40.00%
臺北市第07選區北投區福興里,林照玉,2,0,0.00%
臺北市第07選區北投區福興里,李芳儒,3,3,60.00%
臺北市第07選區北投區福興里,祿子．高露,4,0,0.00%
臺北市第07選區北投區榮光里,萬美芳,1,1,16.66%
臺北市第07選區北投區榮光里,林照玉,2,0,0.00%
臺北市第07選區北投區榮光里,李芳儒,3,5,83.33%
臺北市第07選區北投區榮光里,祿子．高露,4,0,0.00%
臺北市第07選區北投區榮華里,萬美芳,1,1,33.33%
臺北市第07選區北投區榮華里,林照玉,2,0,0.00%
臺北市第07選區北投區榮華里,李芳儒,3,2,66.66%
臺北市第07選區北投區榮華里,祿子．高露,4,0,0.00%
臺北市第07選區北投區裕民里,萬美芳,1,2,18.18%
臺北市第07選區北投區裕民里,林照玉,2,3,27.27%
臺北市第07選區北投區裕民里,李芳儒,3,6,54.54%
臺北市第07選區北投區裕民里,祿子．高露,4,0,0.00%
臺北市第07選區北投區振華里,萬美芳,1,0,0.00%
臺北市第07選區北投區振華里,林照玉,2,0,0.00%
臺北市第07選區北投區振華里,李芳儒,3,4,100.00%
臺北市第07選區北投區振華里,祿子．高露,4,0,0.00%
臺北市第07選區北投區永和里,萬美芳,1,3,50.00%
臺北市第07選區北投區永和里,林照玉,2,1,16.66%
臺北市第07選區北投區永和里,李芳儒,3,2,33.33%
臺北市第07選區北投區永和里,祿子．高露,4,0,0.00%
臺北市第07選區北投區永欣里,萬美芳,1,1,33.33%
臺北市第07選區北投區永欣里,林照玉,2,0,0.00%
臺北市第07選區北投區永欣里,李芳儒,3,2,66.66%
臺北市第07選區北投區永欣里,祿子．高露,4,0,0.00%
臺北市第07選區北投區永明里,萬美芳,1,1,16.66%
臺北市第07選區北投區永明里,林照玉,2,0,0.00%
臺北市第07選區北投區永明里,李芳儒,3,5,83.33%
臺北市第07選區北投區永明里,祿子．高露,4,0,0.00%
臺北市第07選區北投區東華里,萬美芳,1,1,100.00%
臺北市第07選區北投區東華里,林照玉,2,0,0.00%
臺北市第07選區北投區東華里,李芳儒,3,0,0.00%
臺北市第07選區北投區東華里,祿子．高露,4,0,0.00%
臺北市第07選區北投區吉利里,萬美芳,1,1,8.33%
臺北市第07選區北投區吉利里,林照玉,2,4,33.33%
臺北市第07選區北投區吉利里,李芳儒,3,6,50.00%
臺北市第07選區北投區吉利里,祿子．高露,4,1,8.33%
臺北市第07選區北投區吉慶里,萬美芳,1,2,66.66%
臺北市第07選區北投區吉慶里,林照玉,2,1,33.33%
臺北市第07選區北投區吉慶里,李芳儒,3,0,0.00%
臺北市第07選區北投區吉慶里,祿子．高露,4,0,0.00%
臺北市第07選區北投區尊賢里,萬美芳,1,1,33.33%
臺北市第07選區北投區尊賢里,林照玉,2,0,0.00%
臺北市第07選區北投區尊賢里,李芳儒,3,2,66.66%
臺北市第07選區北投區尊賢里,祿子．高露,4,0,0.00%
臺北市第07選區北投區立賢里,萬美芳,1,5,41.66%
臺北市第07選區北投區立賢里,林照玉,2,0,0.00%
臺北市第07選區北投區立賢里,李芳儒,3,5,41.66%
臺北市第07選區北投區立賢里,祿子．高露,4,2,16.66%
臺北市第07選區北投區立農里,萬美芳,1,0,0.00%
臺北市第07選區北投區立農里,林照玉,2,4,57.14%
臺北市第07選區北投區立農里,李芳儒,3,3,42.85%
臺北市第07選區北投區立農里,祿子．高露,4,0,0.00%
臺北市第07選區北投區八仙里,萬美芳,1,8,61.53%
臺北市第07選區北投區八仙里,林照玉,2,0,0.00%
臺北市第07選區北投區八仙里,李芳儒,3,5,38.46%
臺北市第07選區北投區八仙里,祿子．高露,4,0,0.00%
