地區,姓名,號次,性別,出生年次,推薦政黨,得票數,得票率,當選註記,是否現任
臺北市第01選區,翁儀賰,1,男,1949,民主進步黨,14148,4.62%,,否
臺北市第01選區,張盛玄,2,男,1961,無,1180,0.38%,,否
臺北市第01選區,陳正德,3,男,1962,民主進步黨,19726,6.44%,*,是
臺北市第01選區,林朝鑫,4,男,1960,無,2273,0.74%,,否
臺北市第01選區,孫潤本,5,男,1958,無,6564,2.14%,,否
臺北市第01選區,鄭政彥,6,男,1945,無,397,0.13%,,否
臺北市第01選區,魏憶龍,7,男,1958,新黨,19930,6.50%,*,是
臺北市第01選區,呂月娥,8,女,1949,建國黨,3588,1.17%,,否
臺北市第01選區,林政毓,9,男,1960,中國國民黨,13508,4.41%,,否
臺北市第01選區,張振宇,10,男,1957,綠色本土清新黨,3322,1.08%,,否
臺北市第01選區,陳進棋,11,男,1961,中國國民黨,16902,5.51%,*,是
臺北市第01選區,蔡秋凰,12,女,1964,民主進步黨,25319,8.26%,*,否
臺北市第01選區,陳政忠,13,男,1955,中國國民黨,23490,7.66%,*,是
臺北市第01選區,吳碧珠,14,女,1949,中國國民黨,27844,9.08%,*,是
臺北市第01選區,張金溪,15,男,1956,無,1695,0.55%,,否
臺北市第01選區,陳雪芬,16,女,1957,中國國民黨,34728,11.33%,*,是
臺北市第01選區,陳茂德,17,男,1949,無,300,0.10%,,否
臺北市第01選區,高建智,18,男,1953,民主進步黨,18244,5.95%,*,否
臺北市第01選區,賴素如,19,女,1964,中國國民黨,20088,6.55%,*,否
臺北市第01選區,李康雷,20,男,1956,新黨,5376,1.75%,,否
臺北市第01選區,潘懷宗,21,男,1961,新黨,12082,3.94%,,否
臺北市第01選區,潘行一,22,男,1949,中國國民黨,14758,4.81%,,否
臺北市第01選區,陳碧峰,23,男,1944,民主進步黨,16552,5.40%,*,否
臺北市第01選區,張昭仁,24,男,1957,新國家連線,4499,1.47%,,否
臺北市第02選區,賈毅然,1,男,1953,無,12416,6.45%,,是
臺北市第02選區,官君達,2,男,1950,新國家連線,2716,1.41%,,否
臺北市第02選區,廖彬良,3,男,1958,無,12868,6.68%,,是
臺北市第02選區,陳秀惠,4,女,1951,民主進步黨,20037,10.40%,*,否
臺北市第02選區,黃珊珊,5,女,1969,新黨,26246,13.63%,*,否
臺北市第02選區,吳世正,6,男,1963,中國國民黨,20236,10.51%,*,否
臺北市第02選區,葉春榮,7,男,1952,民主進步黨,8895,4.62%,,否
臺北市第02選區,李彥秀,8,女,1971,中國國民黨,25915,13.46%,*,否
