地區,姓名,號次,得票數,得票率
臺北市北投區中心里,李登輝,2,1281,40.49%
臺北市北投區中心里,彭明敏,3,838,26.49%
臺北市北投區中心里,林洋港,4,648,20.48%
臺北市北投區開明里,陳履安,1,412,12.09%
臺北市北投區開明里,李登輝,2,1523,44.70%
臺北市北投區開明里,彭明敏,3,727,21.34%
臺北市北投區開明里,林洋港,4,745,21.87%
臺北市北投區中庸里,陳履安,1,295,11.02%
臺北市北投區中庸里,李登輝,2,1277,47.72%
臺北市北投區中庸里,彭明敏,3,641,23.95%
臺北市北投區中庸里,林洋港,4,463,17.30%
臺北市北投區中和里,陳履安,1,372,11.39%
臺北市北投區中和里,李登輝,2,1481,45.33%
臺北市北投區中和里,彭明敏,3,712,21.79%
臺北市北投區中和里,林洋港,4,702,21.49%
臺北市北投區秀山里,陳履安,1,271,11.37%
臺北市北投區秀山里,李登輝,2,1032,43.31%
臺北市北投區秀山里,彭明敏,3,508,21.32%
臺北市北投區秀山里,林洋港,4,572,24.00%
臺北市北投區智仁里,陳履安,1,421,11.47%
臺北市北投區智仁里,李登輝,2,1566,42.67%
臺北市北投區智仁里,彭明敏,3,786,21.42%
臺北市北投區智仁里,林洋港,4,897,24.44%
臺北市北投區文化里,陳履安,1,260,11.00%
臺北市北投區文化里,李登輝,2,892,37.73%
臺北市北投區文化里,彭明敏,3,319,13.49%
臺北市北投區文化里,林洋港,4,893,37.77%
臺北市北投區豐年里,陳履安,1,269,10.57%
臺北市北投區豐年里,李登輝,2,1387,54.50%
臺北市北投區豐年里,彭明敏,3,561,22.04%
臺北市北投區豐年里,林洋港,4,328,12.89%
臺北市北投區稻香里,陳履安,1,261,9.79%
臺北市北投區稻香里,李登輝,2,1275,47.82%
臺北市北投區稻香里,彭明敏,3,451,16.92%
臺北市北投區稻香里,林洋港,4,679,25.47%
臺北市北投區桃源里,陳履安,1,300,9.84%
臺北市北投區桃源里,李登輝,2,1594,52.28%
臺北市北投區桃源里,彭明敏,3,755,24.76%
臺北市北投區桃源里,林洋港,4,400,13.12%
臺北市北投區一德里,陳履安,1,361,10.39%
臺北市北投區一德里,李登輝,2,1854,53.38%
臺北市北投區一德里,彭明敏,3,880,25.34%
臺北市北投區一德里,林洋港,4,378,10.88%
臺北市北投區關渡里,陳履安,1,546,9.76%
臺北市北投區關渡里,李登輝,2,2843,50.81%
臺北市北投區關渡里,彭明敏,3,1285,22.97%
臺北市北投區關渡里,林洋港,4,921,16.46%
臺北市北投區泉源里,陳履安,1,101,7.23%
臺北市北投區泉源里,李登輝,2,799,57.23%
臺北市北投區泉源里,彭明敏,3,359,25.72%
臺北市北投區泉源里,林洋港,4,137,9.81%
臺北市北投區湖山里,陳履安,1,181,9.95%
臺北市北投區湖山里,李登輝,2,956,52.56%
臺北市北投區湖山里,彭明敏,3,405,22.26%
臺北市北投區湖山里,林洋港,4,277,15.23%
臺北市士林區仁勇里,陳履安,1,295,9.82%
臺北市士林區仁勇里,李登輝,2,1456,48.48%
臺北市士林區仁勇里,彭明敏,3,880,29.30%
臺北市士林區仁勇里,林洋港,4,372,12.39%
臺北市士林區義信里,陳履安,1,202,11.64%
臺北市士林區義信里,李登輝,2,924,53.23%
臺北市士林區義信里,彭明敏,3,436,25.12%
臺北市士林區義信里,林洋港,4,174,10.02%
臺北市士林區福林里,陳履安,1,309,11.04%
臺北市士林區福林里,李登輝,2,1055,37.71%
臺北市士林區福林里,彭明敏,3,620,22.16%
臺北市士林區福林里,林洋港,4,814,29.09%
臺北市士林區福德里,陳履安,1,283,11.19%
臺北市士林區福德里,李登輝,2,1187,46.95%
臺北市士林區福德里,彭明敏,3,684,27.06%
臺北市士林區福德里,林洋港,4,374,14.79%
臺北市士林區福志里,陳履安,1,549,11.51%
臺北市士林區福志里,李登輝,2,1727,36.22%
臺北市士林區福志里,彭明敏,3,1120,23.49%
臺北市士林區福志里,林洋港,4,1372,28.78%
臺北市士林區舊佳里,陳履安,1,486,11.32%
臺北市士林區舊佳里,李登輝,2,1896,44.16%
臺北市士林區舊佳里,彭明敏,3,1264,29.44%
臺北市士林區舊佳里,林洋港,4,647,15.07%
臺北市士林區福佳里,陳履安,1,517,11.19%
臺北市士林區福佳里,李登輝,2,2124,45.95%
臺北市士林區福佳里,彭明敏,3,1330,28.78%
臺北市士林區福佳里,林洋港,4,651,14.08%
臺北市士林區後港里,陳履安,1,506,10.79%
臺北市士林區後港里,李登輝,2,2176,46.40%
臺北市士林區後港里,彭明敏,3,1441,30.72%
臺北市士林區後港里,林洋港,4,567,12.09%
臺北市士林區福中里,陳履安,1,340,10.69%
臺北市士林區福中里,李登輝,2,1469,46.18%
臺北市士林區福中里,彭明敏,3,1001,31.47%
臺北市士林區福中里,林洋港,4,371,11.66%
臺北市士林區前港里,陳履安,1,205,8.81%
臺北市士林區前港里,李登輝,2,1070,45.98%
臺北市士林區前港里,彭明敏,3,764,32.83%
臺北市士林區前港里,林洋港,4,288,12.38%
臺北市士林區百齡里,陳履安,1,470,10.90%
臺北市士林區百齡里,李登輝,2,1885,43.73%
臺北市士林區百齡里,彭明敏,3,1351,31.34%
臺北市士林區百齡里,林洋港,4,605,14.03%
臺北市士林區承德里,陳履安,1,252,10.39%
臺北市士林區承德里,李登輝,2,1011,41.67%
臺北市士林區承德里,彭明敏,3,719,29.64%
臺北市士林區承德里,林洋港,4,444,18.30%
臺北市士林區福華里,陳履安,1,474,11.41%
臺北市士林區福華里,李登輝,2,1711,41.20%
臺北市士林區福華里,彭明敏,3,1142,27.50%
臺北市士林區福華里,林洋港,4,826,19.89%
臺北市士林區明勝里,陳履安,1,325,10.74%
臺北市士林區明勝里,李登輝,2,1257,41.55%
臺北市士林區明勝里,彭明敏,3,967,31.97%
臺北市士林區明勝里,林洋港,4,476,15.74%
臺北市士林區福順里,陳履安,1,338,9.77%
臺北市士林區福順里,李登輝,2,1647,47.60%
臺北市士林區福順里,彭明敏,3,1180,34.10%
臺北市士林區福順里,林洋港,4,295,8.53%
臺北市士林區富光里,陳履安,1,327,9.30%
臺北市士林區富光里,李登輝,2,1706,48.52%
臺北市士林區富光里,彭明敏,3,1142,32.48%
臺北市士林區富光里,林洋港,4,341,9.70%
臺北市士林區葫蘆里,陳履安,1,497,10.99%
臺北市士林區葫蘆里,李登輝,2,1938,42.85%
臺北市士林區葫蘆里,彭明敏,3,1293,28.59%
臺北市士林區葫蘆里,林洋港,4,795,17.58%
臺北市士林區葫東里,陳履安,1,219,9.19%
臺北市士林區葫東里,李登輝,2,1098,46.06%
臺北市士林區葫東里,彭明敏,3,860,36.07%
臺北市士林區葫東里,林洋港,4,207,8.68%
臺北市士林區社子里,陳履安,1,317,8.49%
臺北市士林區社子里,李登輝,2,1843,49.34%
臺北市士林區社子里,彭明敏,3,1178,31.54%
臺北市士林區社子里,林洋港,4,397,10.63%
臺北市士林區社新里,陳履安,1,469,9.79%
臺北市士林區社新里,李登輝,2,2276,47.52%
臺北市士林區社新里,彭明敏,3,1609,33.59%
臺北市士林區社新里,林洋港,4,436,9.10%
臺北市士林區社園里,陳履安,1,361,9.18%
臺北市士林區社園里,李登輝,2,1806,45.93%
臺北市士林區社園里,彭明敏,3,1390,35.35%
臺北市士林區社園里,林洋港,4,375,9.54%
臺北市士林區永倫里,陳履安,1,388,8.62%
臺北市士林區永倫里,李登輝,2,2158,47.93%
臺北市士林區永倫里,彭明敏,3,1573,34.94%
臺北市士林區永倫里,林洋港,4,383,8.51%
臺北市士林區福安里,陳履安,1,176,5.95%
臺北市士林區福安里,李登輝,2,1331,45.01%
臺北市士林區福安里,彭明敏,3,1294,43.76%
臺北市士林區福安里,林洋港,4,156,5.28%
臺北市士林區富洲里,陳履安,1,221,6.66%
臺北市士林區富洲里,李登輝,2,1848,55.70%
臺北市士林區富洲里,彭明敏,3,1035,31.19%
臺北市士林區富洲里,林洋港,4,214,6.45%
臺北市士林區岩山里,陳履安,1,315,12.19%
臺北市士林區岩山里,李登輝,2,881,34.09%
臺北市士林區岩山里,彭明敏,3,614,23.76%
臺北市士林區岩山里,林洋港,4,774,29.95%
臺北市士林區名山里,陳履安,1,467,12.10%
臺北市士林區名山里,李登輝,2,1391,36.05%
臺北市士林區名山里,彭明敏,3,1006,26.07%
臺北市士林區名山里,林洋港,4,995,25.78%
臺北市士林區德行里,陳履安,1,263,10.67%
臺北市士林區德行里,李登輝,2,1037,42.09%
臺北市士林區德行里,彭明敏,3,752,30.52%
臺北市士林區德行里,林洋港,4,412,16.72%
臺北市士林區德華里,陳履安,1,387,11.52%
臺北市士林區德華里,李登輝,2,1322,39.36%
臺北市士林區德華里,彭明敏,3,1020,30.37%
臺北市士林區德華里,林洋港,4,630,18.76%
臺北市士林區聖山里,陳履安,1,333,11.37%
臺北市士林區聖山里,李登輝,2,1045,35.67%
臺北市士林區聖山里,彭明敏,3,535,18.26%
臺北市士林區聖山里,林洋港,4,1017,34.71%
臺北市士林區忠誠里,陳履安,1,433,12.55%
臺北市士林區忠誠里,李登輝,2,1250,36.23%
臺北市士林區忠誠里,彭明敏,3,548,15.88%
臺北市士林區忠誠里,林洋港,4,1219,35.33%
臺北市士林區芝山里,陳履安,1,510,13.16%
臺北市士林區芝山里,李登輝,2,1510,38.98%
臺北市士林區芝山里,彭明敏,3,983,25.37%
臺北市士林區芝山里,林洋港,4,871,22.48%
臺北市士林區東山里,陳履安,1,395,13.18%
臺北市士林區東山里,李登輝,2,1068,35.65%
臺北市士林區東山里,彭明敏,3,612,20.43%
臺北市士林區東山里,林洋港,4,921,30.74%
臺北市士林區三玉里,陳履安,1,378,11.77%
臺北市士林區三玉里,李登輝,2,1241,38.65%
臺北市士林區三玉里,彭明敏,3,875,27.25%
臺北市士林區三玉里,林洋港,4,717,22.33%
臺北市士林區天母里,陳履安,1,490,13.53%
臺北市士林區天母里,李登輝,2,1284,35.45%
臺北市士林區天母里,彭明敏,3,903,24.93%
臺北市士林區天母里,林洋港,4,945,26.09%
臺北市士林區蘭雅里,陳履安,1,595,12.15%
臺北市士林區蘭雅里,李登輝,2,2054,41.93%
臺北市士林區蘭雅里,彭明敏,3,1284,26.21%
臺北市士林區蘭雅里,林洋港,4,966,19.72%
臺北市士林區蘭興里,陳履安,1,409,11.61%
臺北市士林區蘭興里,李登輝,2,1347,38.25%
臺北市士林區蘭興里,彭明敏,3,1110,31.52%
臺北市士林區蘭興里,林洋港,4,656,18.63%
臺北市士林區天福里,陳履安,1,466,12.84%
臺北市士林區天福里,李登輝,2,1311,36.13%
臺北市士林區天福里,彭明敏,3,951,26.21%
臺北市士林區天福里,林洋港,4,901,24.83%
臺北市士林區天祿里,陳履安,1,370,13.06%
臺北市士林區天祿里,李登輝,2,1078,38.04%
臺北市士林區天祿里,彭明敏,3,800,28.23%
臺北市士林區天祿里,林洋港,4,586,20.68%
臺北市士林區天壽里,陳履安,1,304,11.99%
臺北市士林區天壽里,李登輝,2,910,35.90%
臺北市士林區天壽里,彭明敏,3,800,31.56%
臺北市士林區天壽里,林洋港,4,521,20.55%
臺北市士林區天和里,陳履安,1,523,12.57%
臺北市士林區天和里,李登輝,2,1448,34.81%
臺北市士林區天和里,彭明敏,3,1083,26.03%
臺北市士林區天和里,林洋港,4,1106,26.59%
臺北市士林區天山里,陳履安,1,460,11.94%
臺北市士林區天山里,李登輝,2,1342,34.85%
臺北市士林區天山里,彭明敏,3,1065,27.66%
臺北市士林區天山里,林洋港,4,984,25.55%
臺北市士林區天玉里,陳履安,1,609,13.49%
臺北市士林區天玉里,李登輝,2,1538,34.06%
臺北市士林區天玉里,彭明敏,3,1180,26.14%
臺北市士林區天玉里,林洋港,4,1188,26.31%
