地區,政黨,號次,得票數,第一階段得票率,第二階段得票率,分配席次
全國,台灣國民會議,1,118632,0.9013,0.0000,0
全國,人民最大黨,2,84818,0.6444,0.0000,0
全國,民主進步黨,3,4556424,34.6178,36.9822,13
全國,台灣團結聯盟,4,1178797,8.9560,9.5677,3
全國,中國國民黨,5,5863279,44.5468,47.5893,16
全國,新黨,6,195960,1.4888,0.0000,0
全國,健保免費連線,7,163344,1.2410,0.0000,0
全國,綠黨,8,229566,1.7441,0.0000,0
全國,親民黨,9,722089,5.4861,5.8608,2
全國,中華民國臺灣基本法連線,10,19274,0.1464,0.0000,0
全國,台灣主義黨,11,29889,0.2271,0.0000,0
