地區,姓名,號次,得票數,得票率
臺北市松山區,溫梅桂,1,5,25.00%
臺北市松山區,林建二,2,2,10.00%
臺北市松山區,高揚昇,3,3,15.00%
臺北市松山區,鍾思錦,4,1,5.00%
臺北市松山區,瓦歷斯．貝林,5,3,15.00%
臺北市松山區,林清良,6,2,10.00%
臺北市松山區,翁文德,7,0,0.00%
臺北市松山區,全文盛,8,1,5.00%
臺北市松山區,馬賴．古麥,9,3,15.00%
臺北市信義區,溫梅桂,1,9,18.37%
臺北市信義區,林建二,2,3,6.12%
臺北市信義區,高揚昇,3,8,16.33%
臺北市信義區,鍾思錦,4,2,4.08%
臺北市信義區,瓦歷斯．貝林,5,6,12.24%
臺北市信義區,林清良,6,5,10.20%
臺北市信義區,翁文德,7,1,2.04%
臺北市信義區,全文盛,8,3,6.12%
臺北市信義區,馬賴．古麥,9,12,24.49%
臺北市大安區,溫梅桂,1,8,25.00%
臺北市大安區,林建二,2,3,9.38%
臺北市大安區,高揚昇,3,4,12.50%
臺北市大安區,鍾思錦,4,2,6.25%
臺北市大安區,瓦歷斯．貝林,5,2,6.25%
臺北市大安區,林清良,6,1,3.13%
臺北市大安區,翁文德,7,2,6.25%
臺北市大安區,全文盛,8,4,12.50%
臺北市大安區,馬賴．古麥,9,6,18.75%
臺北市中山區,溫梅桂,1,13,36.11%
臺北市中山區,林建二,2,0,0.00%
臺北市中山區,高揚昇,3,4,11.11%
臺北市中山區,鍾思錦,4,2,5.56%
臺北市中山區,瓦歷斯．貝林,5,4,11.11%
臺北市中山區,林清良,6,1,2.78%
臺北市中山區,翁文德,7,5,13.89%
臺北市中山區,全文盛,8,5,13.89%
臺北市中山區,馬賴．古麥,9,2,5.56%
臺北市中正區,溫梅桂,1,1,5.26%
臺北市中正區,林建二,2,0,0.00%
臺北市中正區,高揚昇,3,1,5.26%
臺北市中正區,鍾思錦,4,1,5.26%
臺北市中正區,瓦歷斯．貝林,5,4,21.05%
臺北市中正區,林清良,6,4,21.05%
臺北市中正區,翁文德,7,0,0.00%
