地區,姓名,號次,得票數,得票率
北投區建民里第0001投開票所,黃建梓,1,388,34.45%
北投區建民里第0001投開票所,黃志立,2,738,65.54%
北投區建民里第0002投開票所,黃建梓,1,443,39.16%
北投區建民里第0002投開票所,黃志立,2,688,60.83%
北投區文林里第0003投開票所,劉憲昌,1,624,100.00%
北投區文林里第0004投開票所,劉憲昌,1,720,100.00%
北投區文林里第0005投開票所,劉憲昌,1,635,100.00%
北投區石牌里第0006投開票所,葉培鑫,1,249,23.69%
北投區石牌里第0006投開票所,杜炳南,2,402,38.24%
北投區石牌里第0006投開票所,黃滿妹,3,400,38.05%
北投區石牌里第0007投開票所,葉培鑫,1,301,28.66%
北投區石牌里第0007投開票所,杜炳南,2,353,33.61%
北投區石牌里第0007投開票所,黃滿妹,3,396,37.71%
北投區石牌里第0008投開票所,葉培鑫,1,199,19.28%
北投區石牌里第0008投開票所,杜炳南,2,402,38.95%
北投區石牌里第0008投開票所,黃滿妹,3,431,41.76%
北投區福興里第0009投開票所,蔡柳池,1,847,100.00%
北投區福興里第0010投開票所,蔡柳池,1,891,100.00%
北投區福興里第0011投開票所,蔡柳池,1,837,100.00%
北投區福興里第0012投開票所,蔡柳池,1,920,100.00%
北投區榮光里第0013投開票所,蘇寶鈴,1,564,61.50%
北投區榮光里第0013投開票所,蔣劉桂枝,2,353,38.49%
北投區榮光里第0014投開票所,蘇寶鈴,1,515,56.10%
北投區榮光里第0014投開票所,蔣劉桂枝,2,403,43.89%
北投區榮光里第0015投開票所,蘇寶鈴,1,585,56.03%
北投區榮光里第0015投開票所,蔣劉桂枝,2,459,43.96%
北投區榮光里第0016投開票所,蘇寶鈴,1,631,67.27%
北投區榮光里第0016投開票所,蔣劉桂枝,2,307,32.72%
北投區榮華里第0017投開票所,翁榮植,1,491,47.43%
北投區榮華里第0017投開票所,何漢清,2,544,52.56%
北投區榮華里第0018投開票所,翁榮植,1,580,57.48%
北投區榮華里第0018投開票所,何漢清,2,429,42.51%
北投區榮華里第0019投開票所,翁榮植,1,520,47.05%
北投區榮華里第0019投開票所,何漢清,2,585,52.94%
北投區榮華里第0020投開票所,翁榮植,1,497,46.27%
北投區榮華里第0020投開票所,何漢清,2,577,53.72%
北投區裕民里第0021投開票所,謝延龍,1,411,38.48%
北投區裕民里第0021投開票所,鍾義春,2,657,61.51%
北投區裕民里第0022投開票所,謝延龍,1,480,47.10%
北投區裕民里第0022投開票所,鍾義春,2,539,52.89%
北投區裕民里第0023投開票所,謝延龍,1,397,40.51%
北投區裕民里第0023投開票所,鍾義春,2,583,59.48%
北投區裕民里第0024投開票所,謝延龍,1,420,39.06%
北投區裕民里第0024投開票所,鍾義春,2,655,60.93%
北投區振華里第0025投開票所,陳沛然,1,353,32.17%
北投區振華里第0025投開票所,林明通,2,105,9.57%
北投區振華里第0025投開票所,葉光四,3,639,58.24%
北投區振華里第0026投開票所,陳沛然,1,369,34.61%
北投區振華里第0026投開票所,林明通,2,108,10.13%
北投區振華里第0026投開票所,葉光四,3,589,55.25%
北投區振華里第0027投開票所,陳沛然,1,353,33.30%
北投區振華里第0027投開票所,林明通,2,78,7.35%
北投區振華里第0027投開票所,葉光四,3,629,59.33%
北投區振華里第0028投開票所,陳沛然,1,471,47.62%
北投區振華里第0028投開票所,林明通,2,111,11.22%
北投區振華里第0028投開票所,葉光四,3,407,41.15%
北投區永和里第0029投開票所,何榮助,1,795,100.00%
北投區永和里第0030投開票所,何榮助,1,745,100.00%
北投區永和里第0031投開票所,何榮助,1,699,100.00%
北投區永和里第0032投開票所,何榮助,1,774,100.00%
北投區永和里第0033投開票所,何榮助,1,856,100.00%
北投區永欣里第0034投開票所,王慶郎,1,395,43.40%
北投區永欣里第0034投開票所,潘萬生,2,515,56.59%
北投區永欣里第0035投開票所,王慶郎,1,311,32.87%
北投區永欣里第0035投開票所,潘萬生,2,635,67.12%
北投區永欣里第0036投開票所,王慶郎,1,447,43.60%
北投區永欣里第0036投開票所,潘萬生,2,578,56.39%
北投區永欣里第0037投開票所,王慶郎,1,557,60.28%
北投區永欣里第0037投開票所,潘萬生,2,367,39.71%
