地區,姓名,號次,得票數,得票率
宜蘭縣三星鄉,蔡正治,1,33,0.26%
宜蘭縣三星鄉,朱高正,2,128,1.02%
宜蘭縣三星鄉,宋楚瑜,3,3570,28.40%
宜蘭縣三星鄉,吳梓,4,17,0.14%
宜蘭縣三星鄉,陳定南,5,8822,70.18%
宜蘭縣大同鄉,蔡正治,1,0,0.00%
宜蘭縣大同鄉,朱高正,2,30,1.20%
宜蘭縣大同鄉,宋楚瑜,3,1907,76.04%
宜蘭縣大同鄉,吳梓,4,11,0.44%
宜蘭縣大同鄉,陳定南,5,560,22.33%
宜蘭縣五結鄉,蔡正治,1,41,0.20%
宜蘭縣五結鄉,朱高正,2,259,1.24%
宜蘭縣五結鄉,宋楚瑜,3,6532,31.35%
宜蘭縣五結鄉,吳梓,4,17,0.08%
宜蘭縣五結鄉,陳定南,5,13987,67.13%
宜蘭縣冬山鄉,蔡正治,1,48,0.17%
宜蘭縣冬山鄉,朱高正,2,377,1.37%
宜蘭縣冬山鄉,宋楚瑜,3,8316,30.12%
宜蘭縣冬山鄉,吳梓,4,27,0.10%
宜蘭縣冬山鄉,陳定南,5,18843,68.24%
宜蘭縣壯圍鄉,蔡正治,1,33,0.25%
宜蘭縣壯圍鄉,朱高正,2,136,1.03%
宜蘭縣壯圍鄉,宋楚瑜,3,5038,38.12%
宜蘭縣壯圍鄉,吳梓,4,15,0.11%
宜蘭縣壯圍鄉,陳定南,5,7993,60.48%
宜蘭縣宜蘭市,蔡正治,1,74,0.16%
宜蘭縣宜蘭市,朱高正,2,1012,2.19%
宜蘭縣宜蘭市,宋楚瑜,3,22016,47.54%
宜蘭縣宜蘭市,吳梓,4,44,0.10%
宜蘭縣宜蘭市,陳定南,5,23160,50.02%
宜蘭縣南澳鄉,蔡正治,1,3,0.12%
宜蘭縣南澳鄉,朱高正,2,41,1.57%
宜蘭縣南澳鄉,宋楚瑜,3,2187,83.95%
宜蘭縣南澳鄉,吳梓,4,8,0.31%
宜蘭縣南澳鄉,陳定南,5,366,14.05%
宜蘭縣員山鄉,蔡正治,1,42,0.24%
宜蘭縣員山鄉,朱高正,2,203,1.18%
宜蘭縣員山鄉,宋楚瑜,3,5859,34.13%
宜蘭縣員山鄉,吳梓,4,24,0.14%
宜蘭縣員山鄉,陳定南,5,11040,64.31%
宜蘭縣頭城鎮,蔡正治,1,42,0.24%
宜蘭縣頭城鎮,朱高正,2,256,1.49%
宜蘭縣頭城鎮,宋楚瑜,3,9674,56.20%
宜蘭縣頭城鎮,吳梓,4,20,0.12%
宜蘭縣頭城鎮,陳定南,5,7221,41.95%
宜蘭縣礁溪鄉,蔡正治,1,36,0.18%
宜蘭縣礁溪鄉,朱高正,2,254,1.27%
宜蘭縣礁溪鄉,宋楚瑜,3,8547,42.57%
宜蘭縣礁溪鄉,吳梓,4,23,0.11%
宜蘭縣礁溪鄉,陳定南,5,11218,55.87%
宜蘭縣羅東鎮,蔡正治,1,65,0.19%
宜蘭縣羅東鎮,朱高正,2,573,1.68%
宜蘭縣羅東鎮,宋楚瑜,3,13472,39.42%
宜蘭縣羅東鎮,吳梓,4,21,0.06%
宜蘭縣羅東鎮,陳定南,5,20042,58.65%
宜蘭縣蘇澳鎮,蔡正治,1,38,0.15%
宜蘭縣蘇澳鎮,朱高正,2,340,1.35%
宜蘭縣蘇澳鎮,宋楚瑜,3,10443,41.47%
宜蘭縣蘇澳鎮,吳梓,4,18,0.07%
宜蘭縣蘇澳鎮,陳定南,5,14341,56.95%
花蓮縣玉里鎮,蔡正治,1,137,1.04%
花蓮縣玉里鎮,朱高正,2,427,3.24%
花蓮縣玉里鎮,宋楚瑜,3,9454,71.66%
花蓮縣玉里鎮,吳梓,4,41,0.31%
花蓮縣玉里鎮,陳定南,5,3133,23.75%
花蓮縣光復鄉,蔡正治,1,43,0.59%
花蓮縣光復鄉,朱高正,2,185,2.56%
花蓮縣光復鄉,宋楚瑜,3,5547,76.67%
花蓮縣光復鄉,吳梓,4,7,0.10%
花蓮縣光復鄉,陳定南,5,1453,20.08%
花蓮縣吉安鄉,蔡正治,1,98,0.33%
花蓮縣吉安鄉,朱高正,2,1267,4.30%
花蓮縣吉安鄉,宋楚瑜,3,19707,66.96%
花蓮縣吉安鄉,吳梓,4,34,0.12%
花蓮縣吉安鄉,陳定南,5,8325,28.29%
花蓮縣秀林鄉,蔡正治,1,17,0.31%
花蓮縣秀林鄉,朱高正,2,158,2.92%
花蓮縣秀林鄉,宋楚瑜,3,4245,78.38%
花蓮縣秀林鄉,吳梓,4,86,1.59%
花蓮縣秀林鄉,陳定南,5,910,16.80%
