地區,政黨,號次,得票數,第一階段得票率,第二階段得票率,分配席次
全國,台灣團結聯盟,1,273147,7.0479,7.0479,21
全國,建國黨,2,11500,0.2967,0.2967,1
全國,中國民眾黨,3,41940,1.0822,1.0822,3
全國,無黨團結聯盟,4,25162,0.6492,0.6492,2
全國,親民黨,5,236716,6.1079,6.1079,18
全國,新黨,6,34253,0.8838,0.8838,3
全國,農民黨,7,15516,0.4004,0.4004,1
全國,民主進步黨,8,1647791,42.5171,42.5171,127
全國,公民黨,9,8609,0.2221,0.2221,1
全國,中國國民黨,10,1508384,38.9200,38.9200,117
全國,張亞中等150人聯盟,11,65081,1.6793,1.6793,5
全國,王廷興等20人聯盟,12,7499,0.1935,0.1935,1
