type,code,name,type_name
R1,R1-09007010-01,連江縣南竿鄉第01選區,鄉鎮市民代表(區域)
R1,R1-09007020-01,連江縣北竿鄉第01選區,鄉鎮市民代表(區域)
R1,R1-09007030-01,連江縣莒光鄉第01選區,鄉鎮市民代表(區域)
R1,R1-09007040-01,連江縣東引鄉第01選區,鄉鎮市民代表(區域)
R1,R1-09020010-01,金門縣金城鎮第01選區,鄉鎮市民代表(區域)
R1,R1-09020020-01,金門縣金沙鎮第01選區,鄉鎮市民代表(區域)
R1,R1-09020030-01,金門縣金湖鎮第01選區,鄉鎮市民代表(區域)
R1,R1-09020040-01,金門縣金寧鄉第01選區,鄉鎮市民代表(區域)
R1,R1-09020050-01,金門縣烈嶼鄉第01選區,鄉鎮市民代表(區域)
R1,R1-09020060-01,金門縣烏坵鄉第01選區,鄉鎮市民代表(區域)
R1,R1-10002010-01,宜蘭縣宜蘭市第01選區,鄉鎮市民代表(區域)
R1,R1-10002010-02,宜蘭縣宜蘭市第02選區,鄉鎮市民代表(區域)
R1,R1-10002010-03,宜蘭縣宜蘭市第03選區,鄉鎮市民代表(區域)
R1,R1-10002010-04,宜蘭縣宜蘭市第04選區,鄉鎮市民代表(區域)
R1,R1-10002020-01,宜蘭縣羅東鎮第01選區,鄉鎮市民代表(區域)
R1,R1-10002020-02,宜蘭縣羅東鎮第02選區,鄉鎮市民代表(區域)
R1,R1-10002020-03,宜蘭縣羅東鎮第03選區,鄉鎮市民代表(區域)
R1,R1-10002020-04,宜蘭縣羅東鎮第04選區,鄉鎮市民代表(區域)
R1,R1-10002030-01,宜蘭縣蘇澳鎮第01選區,鄉鎮市民代表(區域)
R1,R1-10002030-02,宜蘭縣蘇澳鎮第02選區,鄉鎮市民代表(區域)
R1,R1-10002030-03,宜蘭縣蘇澳鎮第03選區,鄉鎮市民代表(區域)
R1,R1-10002030-04,宜蘭縣蘇澳鎮第04選區,鄉鎮市民代表(區域)
R1,R1-10002040-01,宜蘭縣頭城鎮第01選區,鄉鎮市民代表(區域)
R1,R1-10002040-02,宜蘭縣頭城鎮第02選區,鄉鎮市民代表(區域)
R1,R1-10002040-03,宜蘭縣頭城鎮第03選區,鄉鎮市民代表(區域)
R1,R1-10002040-04,宜蘭縣頭城鎮第04選區,鄉鎮市民代表(區域)
R1,R1-10002050-01,宜蘭縣礁溪鄉第01選區,鄉鎮市民代表(區域)
R1,R1-10002050-02,宜蘭縣礁溪鄉第02選區,鄉鎮市民代表(區域)
R1,R1-10002050-03,宜蘭縣礁溪鄉第03選區,鄉鎮市民代表(區域)
R1,R1-10002050-04,宜蘭縣礁溪鄉第04選區,鄉鎮市民代表(區域)
R1,R1-10002060-01,宜蘭縣壯圍鄉第01選區,鄉鎮市民代表(區域)
