行政區別,村里別,投開票所別,號次1,號次2,號次3,有效票數A（A＝1＋2＋…＋N）,無效票數B,投票數C（C＝A＋B）,已領未投票數D（D＝E－C）,發出票數E（E＝C＋D）,用餘票數F,選舉人數(原領票數)G（G＝E＋F）,投票率H（H＝C÷G）
三重區,大有里,0001,6,265,291,562,5,567,0,567,901,"1,468",38.62%
三重區,大有里,0002,9,263,345,617,2,619,0,619,883,"1,502",41.21%
三重區,大有里,0003,7,281,332,620,1,621,0,621,985,"1,606",38.67%
三重區,博愛里,0004,3,235,331,569,5,574,0,574,785,"1,359",42.24%
三重區,博愛里,0005,5,388,211,604,3,607,0,607,759,1366,44.44%
三重區,博愛里,0006,7,224,263,494,5,499,0,499,782,1281,38.95%
三重區,二重里,0007,4,231,305,540,2,542,0,542,835,"1,377",39.36%
三重區,頂崁里,0008,7,135,220,362,4,366,0,366,610,976,37.50%
三重區,頂崁里,0009,3,141,228,372,1,373,0,373,655,1028,36.28%
三重區,谷王里,0010,5,159,212,376,3,379,0,379,430,809,46.85%
三重區,五谷里,0011,4,139,151,294,5,299,0,299,448,747,40.03%
三重區,五谷里,0012,1,142,196,339,2,341,0,341,463,804,42.41%
三重區,中興里,0013,18,336,383,737,2,739,0,739,1087,"1,826",40.47%
三重區,中興里,0014,3,247,371,621,3,624,0,624,943,"1,567",39.82%
三重區,德厚里,0015,2,59,94,155,1,156,0,156,187,343,45.48%
三重區,成功里,0016,7,202,194,403,0,403,0,403,562,965,41.76%
三重區,成功里,0017,7,205,247,459,2,461,0,461,620,1081,42.65%
三重區,成功里,0018,7,356,252,615,2,617,0,617,909,"1,526",40.43%
三重區,成功里,0019,4,362,258,624,3,627,0,627,1005,"1,632",38.42%
三重區,福祉里,0020,9,267,271,547,7,554,0,554,647,"1,201",46.13%
三重區,福祉里,0021,13,303,353,669,5,674,0,674,901,"1,575",42.79%
三重區,福祉里,0022,10,363,292,665,2,667,0,667,1140,"1,807",36.91%
三重區,福德里,0023,14,337,379,730,2,732,0,732,926,1658,44.15%
三重區,福德里,0024,13,325,367,705,1,706,0,706,1058,1764,40.02%
三重區,福民里,0025,6,279,351,636,6,642,0,642,878,"1,520",42.24%
三重區,福民里,0026,8,287,318,613,4,617,0,617,842,"1,459",42.29%
三重區,過田里,0027,2,287,310,599,2,601,0,601,3761,4362,13.78%
三重區,過田里,0028,3,317,246,566,1,567,0,567,673,1240,45.73%
三重區,過田里,0029,11,312,293,616,6,622,0,622,760,"1,382",45.01%
三重區,過田里,0030,6,336,200,542,5,547,0,547,744,1291,42.37%
三重區,錦田里,0031,8,178,205,391,3,394,0,394,529,923,42.69%
三重區,錦田里,0032,1,135,197,333,3,336,0,336,518,854,39.34%
三重區,重明里,0033,2,344,326,672,3,675,0,675,768,"1,443",46.78%
三重區,重明里,0034,7,326,372,705,6,711,0,711,831,1542,46.11%
三重區,光田里,0035,2,248,295,545,3,548,0,548,732,1280,42.81%
三重區,光田里,0036,7,299,268,574,1,575,0,575,651,1226,46.90%
三重區,光田里,0037,6,314,333,653,3,656,0,656,683,1339,48.99%
三重區,光陽里,0038,4,320,288,612,3,615,0,615,989,"1,604",38.34%
三重區,光陽里,0039,6,269,258,533,3,536,0,536,633,1169,45.85%
三重區,光陽里,0040,12,277,323,612,2,614,0,614,763,1377,44.59%
三重區,光陽里,0041,8,355,318,681,2,683,0,683,636,1319,51.78%
三重區,田心里,0042,3,242,269,514,2,516,0,516,685,1201,42.96%
三重區,田心里,0043,4,256,248,508,3,511,0,511,696,1207,42.34%
三重區,田心里,0044,3,166,256,425,1,426,0,426,758,1184,35.98%
三重區,福田里,0045,8,268,335,611,2,613,0,613,810,1423,43.08%
三重區,福田里,0046,6,318,403,727,1,728,0,728,904,1632,44.61%
三重區,田中里,0047,3,215,336,554,5,559,0,559,696,"1,255",44.54%
三重區,田中里,0048,9,257,311,577,3,580,0,580,630,"1,210",47.93%
三重區,田中里,0049,13,225,358,596,3,599,0,599,831,1430,41.89%
三重區,田中里,0050,8,242,338,588,5,593,0,593,795,1388,42.72%
三重區,田安里,0051,15,323,375,713,5,718,0,718,893,"1,611",44.57%
三重區,田安里,0052,12,409,424,845,6,851,0,851,1080,"1,931",44.07%
三重區,田安里,0053,10,331,376,717,6,723,0,723,1015,"1,738",41.60%
三重區,三民里,0054,5,246,306,557,2,559,0,559,853,"1,412",39.59%
三重區,三民里,0055,5,270,301,576,2,578,0,578,820,1398,41.34%
三重區,光明里,0056,4,325,242,571,2,573,0,573,809,"1,382",41.46%
三重區,光明里,0057,4,326,288,618,1,619,0,619,989,"1,608",38.50%
三重區,光明里,0058,13,369,325,707,4,711,0,711,1004,"1,715",41.46%
三重區,光明里,0059,16,326,362,704,2,706,0,706,845,"1,551",45.52%
三重區,光正里,0060,15,291,225,531,10,541,0,541,568,"1,109",48.78%
三重區,光正里,0061,12,275,207,494,9,503,0,503,595,1098,45.81%
三重區,同安里,0062,8,266,212,486,2,488,0,488,746,1234,39.55%
三重區,同慶里,0063,9,374,265,648,6,654,0,654,881,"1,535",42.61%
三重區,菜寮里,0064,9,227,236,472,4,476,0,476,573,"1,049",45.38%
三重區,菜寮里,0065,3,218,171,392,4,396,0,396,481,877,45.15%
三重區,永春里,0066,6,362,336,704,1,705,0,705,937,"1,642",42.94%
三重區,中正里,0067,10,280,272,562,4,566,0,566,676,1242,45.57%
三重區,吉利里,0068,4,276,242,522,5,527,0,527,745,"1,272",41.43%
三重區,大同里,0069,12,360,328,700,2,702,0,702,1038,"1,740",40.34%
三重區,中民里,0070,9,262,218,489,3,492,0,492,639,"1,131",43.50%
三重區,平和里,0071,5,282,285,572,5,577,0,577,729,"1,306",44.18%
三重區,大安里,0072,6,338,262,606,10,616,0,616,836,"1,452",42.42%
三重區,仁德里,0073,4,158,173,335,1,336,0,336,529,865,38.84%
三重區,仁德里,0074,6,152,223,381,3,384,0,384,535,919,41.78%
三重區,忠孝里,0075,13,330,353,696,7,703,0,703,890,1593,44.13%
三重區,仁義里,0076,7,236,214,457,1,458,0,458,596,1054,43.45%
三重區,光榮里,0077,5,279,282,566,2,568,0,568,717,"1,285",44.20%
三重區,光輝里,0078,10,279,289,578,2,580,0,580,759,"1,339",43.32%
三重區,福星里,0079,10,206,213,429,2,431,0,431,551,982,43.89%
三重區,福利里,0080,8,223,217,448,1,449,0,449,579,1028,43.68%
三重區,福利里,0081,1,188,146,335,2,337,0,337,608,945,35.66%
三重區,清和里,0082,7,363,389,759,3,762,0,762,1021,"1,783",42.74%
三重區,清和里,0083,12,365,334,711,3,714,0,714,895,"1,609",44.38%
三重區,永興里,0084,3,261,234,498,2,500,0,500,667,"1,167",42.84%
三重區,中山里,0085,3,248,293,544,1,545,0,545,768,"1,313",41.51%
三重區,中山里,0086,7,216,224,447,3,450,0,450,600,"1,050",42.86%
三重區,大園里,0087,2,202,227,431,2,433,0,433,617,"1,050",41.24%
三重區,大園里,0088,5,245,270,520,2,522,0,522,832,"1,354",38.55%
三重區,國隆里,0089,6,308,275,589,2,591,0,591,611,1202,49.17%
三重區,國隆里,0090,5,289,267,561,2,563,0,563,630,"1,193",47.19%
三重區,重陽里,0091,10,309,331,650,4,654,0,654,932,"1,586",41.24%
三重區,重陽里,0092,7,338,326,671,5,676,0,676,826,1502,45.01%
三重區,民生里,0093,4,185,285,474,4,478,0,478,639,1117,42.79%
三重區,民生里,0094,3,225,344,572,4,576,0,576,757,1333,43.21%
三重區,民生里,0095,2,238,282,522,3,525,0,525,653,1178,44.57%
三重區,重新里,0096,9,244,365,618,7,625,0,625,637,"1,262",49.52%
三重區,正德里,0097,8,218,271,497,4,501,0,501,516,"1,017",49.26%
三重區,正義里,0098,11,358,366,735,3,738,0,738,827,1565,47.16%
